description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Azúcar Impalpable UNIVERSAL Bolsa 200gr,S/ 3.10,vega,AZÚCAR BLANCA,2024-12-05 13:04:36.122573,200.0,g,Azúcar Impalpable UNIVERSAL Bolsa r,3.1,vega,,Universal,AZÚCAR BLANCA
Azúcar Blanca BELL'S Bolsa 1Kg,S/ 4.99 un,plaza_vea,AZÚCAR BLANCA,2024-12-05 15:42:34.079913,1.0,kg,Azúcar Blanca BELL'S Bolsa,4.99,plaza_vea,Bolsa 1kg,,AZÚCAR BLANCA
Azúcar Blanca Wong Bolsa 1 kg,S/ 5.10,wong,AZÚCAR BLANCA,2024-12-05 19:00:39.056909,1.0,kg,Azúcar Blanca Wong Bolsa,5.1,wong,,,AZÚCAR BLANCA
Azúcar Blanca VEGA Bolsa 1Kg,S/ 5.10,vega,AZÚCAR BLANCA,2024-12-05 13:04:36.122573,1.0,kg,Azúcar Blanca VEGA Bolsa,5.1,vega,,Vega,AZÚCAR BLANCA
Azúcar Blanca DULFINA Bolsa 1Kg,S/ 5.50 un,plaza_vea,AZÚCAR BLANCA,2024-12-05 15:42:34.079913,1.0,kg,Azúcar Blanca DULFINA Bolsa,5.5,plaza_vea,Bolsa 1Kg,,AZÚCAR BLANCA
Azúcar Blanca DULFINA Bolsa 1Kg,S/ 5.50,vivanda,AZÚCAR BLANCA,2024-12-05 22:19:31.547331,1.0,kg,Azúcar Blanca DULFINA Bolsa,5.5,vivanda,,DULFINA,AZÚCAR BLANCA
Azúcar Blanca Dulfina Bolsa1 kg,S/ 5.50,wong,AZÚCAR BLANCA,2024-12-05 19:00:39.056909,1.0,kg,Azúcar Blanca Dulfina Bolsa,5.5,wong,,,AZÚCAR BLANCA
Azúcar Blanca Paramonga Bolsa 1 kg,S/ 5.80,wong,AZÚCAR BLANCA,2024-12-05 19:00:39.056909,1.0,kg,Azúcar Blanca Paramonga Bolsa,5.8,wong,,,AZÚCAR BLANCA
Azúcar Blanca Dulfina Bolsa1 kg,S/ 5.80,metro,AZÚCAR BLANCA,2024-12-05 16:23:57.321344,1.0,kg,Azúcar Blanca Dulfina Bolsa,5.8,metro,,,AZÚCAR BLANCA
Azúcar Blanca Con Stevia Cuisine&Co Doypack 500 g,S/ 6.90,metro,AZÚCAR BLANCA,2024-12-05 16:23:57.321344,500.0,g,Azúcar Blanca Con Stevia Cuisine&Co Doypack,6.9,metro,,,AZÚCAR BLANCA
Azúcar blanca light Onza Con Stevia Doy Pack 500 g,S/ 7.30,wong,AZÚCAR BLANCA,2024-12-05 19:00:39.056909,500.0,g,Azúcar blanca light Onza Con Stevia Doy Pack,7.3,wong,,,AZÚCAR BLANCA
Azúcar Blanca Con Stevia Cuisine&Co Doypack 500 g,S/ 7.90,wong,AZÚCAR BLANCA,2024-12-05 19:00:39.056909,500.0,g,Azúcar Blanca Con Stevia Cuisine&Co Doypack,7.9,wong,,,AZÚCAR BLANCA
Azúcar Blanca Metro Bolsa 2 Kg,S/ 9.80,metro,AZÚCAR BLANCA,2024-12-05 16:23:57.321344,2.0,kg,Azúcar Blanca Metro Bolsa,9.8,metro,,,AZÚCAR BLANCA
Azúcar Blanca Light Incauca Bolsa 454 g,S/ 10.60,wong,AZÚCAR BLANCA,2024-12-05 19:00:39.056909,454.0,g,Azúcar Blanca Light Incauca Bolsa,10.6,wong,,,AZÚCAR BLANCA
Azúcar Morena Light Incauca Bolsa 454 g,S/ 10.60,wong,AZÚCAR BLANCA,2024-12-05 19:00:39.056909,454.0,g,Azúcar Morena Light Incauca Bolsa,10.6,wong,,,AZÚCAR BLANCA
Azúcar Blanca DULFINA Bolsa 2Kg,S/ 10.70,vivanda,AZÚCAR BLANCA,2024-12-05 22:19:31.547331,2.0,kg,Azúcar Blanca DULFINA Bolsa,10.7,vivanda,,DULFINA,AZÚCAR BLANCA
