description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Bebida Instantánea en Polvo ZUKO Piña Sobre 15...,S/ 1.20 un,plaza_vea,BEBIDA ENERGIZANTE (FLUIDA),2024-12-05 16:07:20.863211,15.0,g,Bebida Instantánea en Polvo ZUKO Piña Sobre 15,1.2,plaza_vea,Sobre 15g,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Instantánea en Polvo ZUKO Naranja Sobre...,S/ 1.20 un,plaza_vea,BEBIDA ENERGIZANTE (FLUIDA),2024-12-05 16:07:20.863211,15.0,g,Bebida Instantánea en Polvo ZUKO Naranja Sobre,1.2,plaza_vea,Sobre 15g,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Instantánea en Polvo ZUKO Fresa Sobre 1...,S/ 1.20 un,plaza_vea,BEBIDA ENERGIZANTE (FLUIDA),2024-12-05 16:07:20.863211,15.0,g,Bebida Instantánea en Polvo ZUKO Fresa Sobre 1,1.2,plaza_vea,Sobre 15g,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Instantánea en Polvo ZUKO Limonada Sobr...,S/ 1.20 un,plaza_vea,BEBIDA ENERGIZANTE (FLUIDA),2024-12-05 16:07:20.863211,15.0,g,Bebida Instantánea en Polvo ZUKO Limonada Sobr,1.2,plaza_vea,Sobre 15g,,BEBIDA ENERGIZANTE (FLUIDA)
Hierba Luisa x unidad,S/ 1.29 un,plaza_vea,BEBIDA ENERGIZANTE (FLUIDA),2024-12-05 16:07:20.863211,1.0,un,Hierba Luisa ad,1.29,plaza_vea,Paquete 1un,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida de Té Verde Sabor Limón Leaf Tea Botella 400 ml,S/ 1.70,metro,BEBIDA ENERGIZANTE (FLUIDA),2024-12-05 16:55:24.557230,400.0,ml,Bebida de Té Verde Sabor Limón Leaf Tea Botella,1.7,metro,,,BEBIDA ENERGIZANTE (FLUIDA)
Energizante Zero 220V 450 mL,S/ 1.80,tottus,BEBIDA ENERGIZANTE (FLUIDA),2024-12-05 12:48:25.060452,450.0,ml,Energizante Zero 220V,1.8,tottus,,TOTTUS,BEBIDA ENERGIZANTE (FLUIDA)
Bebida H20H Limoneto Botella 500 ml,S/ 1.80,wong,BEBIDA ENERGIZANTE (FLUIDA),2024-12-05 19:33:09.929196,500.0,ml,Bebida H20H Limoneto Botella,1.8,wong,,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida UHT Sabor Chocolate Choco Vigor Bolsa 250ml,S/ 1.80,metro,BEBIDA ENERGIZANTE (FLUIDA),2024-12-05 16:55:24.557230,250.0,ml,Bebida UHT Sabor Chocolate Choco Vigor Bolsa,1.8,metro,,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Rehidratante GATORADE Mandarina Botella...,S/ 2 un,plaza_vea,BEBIDA ENERGIZANTE (FLUIDA),2024-12-05 16:07:20.863211,500.0,ml,Bebida Rehidratante GATORADE Mandarina Botella,2.0,plaza_vea,Botella 500ml,,BEBIDA ENERGIZANTE (FLUIDA)
