description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Pepsi Black Botella 355ml,,355.0,ml,1.0,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,355.0,ml,1.0,BEBIDAS GASEOSAS
Gaseosa Pepsi Botella 355 ml,,355.0,ml,1.3,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,355.0,ml,1.3,BEBIDAS GASEOSAS
Gaseosa Cola 355 mL,PEPSI,355.0,ml,1.3,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,355.0,ml,1.3,BEBIDAS GASEOSAS
Gaseosa Cool Fresh Sabor Cola Amarilla Botella 350ml,,350.0,ml,1.3,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,350.0,ml,1.3,BEBIDAS GASEOSAS
Gaseosa Cool Fresh Sabor Cola Botella 350ml,,350.0,ml,1.3,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,350.0,ml,1.3,BEBIDAS GASEOSAS
Gaseosa Guaranita Botella 300 ml,,300.0,ml,1.5,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,300.0,ml,1.5,BEBIDAS GASEOSAS
Gaseosa Viva Backus Botella 450 ml,,450.0,ml,1.5,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,450.0,ml,1.5,BEBIDAS GASEOSAS
Gaseosa 7Up Botella 355 ml,,355.0,ml,1.5,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,355.0,ml,1.5,BEBIDAS GASEOSAS
Gaseosa Guaranita Botella 300 ml,,300.0,ml,1.6,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,300.0,ml,1.6,BEBIDAS GASEOSAS
Gaseosa Concordia Sabor Piña Botella 500 ml,,500.0,ml,1.6,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,1.6,BEBIDAS GASEOSAS
Gaseosa Sabor Piña 500 mL,CONCORDIA,500.0,ml,1.6,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,500.0,ml,1.6,BEBIDAS GASEOSAS
Bebida H20H Limoneto Botella 500 ml,,500.0,ml,1.8,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,500.0,ml,1.8,BEBIDAS GASEOSAS
Gaseosa Big Cola Botella 500ml,,500.0,ml,1.99,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,1.99,BEBIDAS GASEOSAS
Gaseosa 7Up Botella 500 ml,,500.0,ml,2.2,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,2.2,BEBIDAS GASEOSAS
Gaseosa Ginger Ale 500 mL,EVERVESS,500.0,ml,2.2,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,500.0,ml,2.2,BEBIDAS GASEOSAS
Bebida Gaseosa Backus Zero Bot X450mL,GUARANA,450.0,ml,2.2,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,450.0,ml,2.2,BEBIDAS GASEOSAS
Gaseosa Pepsi Regular Botella 500ml,,500.0,ml,2.2,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,2.2,BEBIDAS GASEOSAS
Bebida Rehidratante Blueberry 500 mL,SPORADE,500.0,ml,2.4,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,500.0,ml,2.4,BEBIDAS GASEOSAS
Gaseosa Guarana Botella 450ml,,450.0,ml,2.4,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,450.0,ml,2.4,BEBIDAS GASEOSAS
Bebida Rehidratante Sabor Mandarina 500 mL,GATORADE,500.0,ml,2.4,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,500.0,ml,2.4,BEBIDAS GASEOSAS
Bebida energizante de blueberry con maca de 300 mL,VOLT,300.0,ml,2.49,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,300.0,ml,2.49,BEBIDAS GASEOSAS
Bebida Energizante Fury Energy Gold 350 mL,TOTTUS,350.0,ml,2.5,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,350.0,ml,2.5,BEBIDAS GASEOSAS
Gaseosa Inca Kola Sin Azúcar Botella 300ml,,300.0,ml,2.5,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,300.0,ml,2.5,BEBIDAS GASEOSAS
Ginger Ale Evervess Botella 500 ml,,500.0,ml,2.5,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,500.0,ml,2.5,BEBIDAS GASEOSAS
Gaseosa sabor Naranja 500 mL,FANTA,500.0,ml,2.7,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,500.0,ml,2.7,BEBIDAS GASEOSAS
Gaseosa Fanta Botella 500ml,,500.0,ml,2.7,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,500.0,ml,2.7,BEBIDAS GASEOSAS
Gaseosa Cola 600 mL,PEPSI,600.0,ml,2.7,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,600.0,ml,2.7,BEBIDAS GASEOSAS
Gaseosa Sprite Lima Limón Botella 500ml,,500.0,ml,2.7,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,2.7,BEBIDAS GASEOSAS
Gaseosa Fanta Botella 500ml,,500.0,ml,2.7,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,2.7,BEBIDAS GASEOSAS
Gaseosa Sprite Lima Limón Botella 500ml,,500.0,ml,2.7,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,500.0,ml,2.7,BEBIDAS GASEOSAS
Gaseosa FANTA Manzana Beetlejuice Botella 500ml,FANTA,500.0,ml,2.7,vivanda,2024-12-05 22:35:01.338489,BEBIDAS GASEOSAS,500.0,ml,2.7,BEBIDAS GASEOSAS
Gaseosa Fanta Piña Botella 500ml,,500.0,ml,2.7,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,500.0,ml,2.7,BEBIDAS GASEOSAS
Gaseosa Fanta Beetlejuice Manzana Verde Botella 500ml,,500.0,ml,2.7,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,2.7,BEBIDAS GASEOSAS
Gaseosa Fanta Kola Inglesa Botella 500ml,,500.0,ml,2.7,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,2.7,BEBIDAS GASEOSAS
Gaseosa Pepsi Botella x 750 ml,,750.0,ml,2.8,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,750.0,ml,2.8,BEBIDAS GASEOSAS
Gaseosa Cola 750 mL,PEPSI,750.0,ml,2.8,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,750.0,ml,2.8,BEBIDAS GASEOSAS
Gaseosa Schweppes Citrus Botella 500ml,,500.0,ml,2.8,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,500.0,ml,2.8,BEBIDAS GASEOSAS
Gaseosa Schweppes Citrus Botella 500ml,,500.0,ml,2.8,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,2.8,BEBIDAS GASEOSAS
Gaseosa Pepsi Botella x 750 ml,,750.0,ml,2.8,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,750.0,ml,2.8,BEBIDAS GASEOSAS
Gaseosa Schweppes Ginger Ale Botella 500ml,,500.0,ml,2.8,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,2.8,BEBIDAS GASEOSAS
Gaseosa Guarana Zero Botella 450 ml,,450.0,ml,2.9,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,450.0,ml,2.9,BEBIDAS GASEOSAS
Gaseosa Coca Cola Botella 500ml,,500.0,ml,3.0,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,3.0,BEBIDAS GASEOSAS
Gaseosa Inca Kola Sabor Original Botella 500ml,,500.0,ml,3.0,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,3.0,BEBIDAS GASEOSAS
Gaseosa INCA KOLA Sabor Original Botella 500ml,INCA KOLA,500.0,ml,3.0,vivanda,2024-12-05 22:35:01.338489,BEBIDAS GASEOSAS,500.0,ml,3.0,BEBIDAS GASEOSAS
Bebida Aloe KERO Piña Botella 300ml,KERO,300.0,ml,3.0,vivanda,2024-12-05 22:35:01.338489,BEBIDAS GASEOSAS,300.0,ml,3.0,BEBIDAS GASEOSAS
Gaseosa Inca Kola Sin Azúcar Botella 500ml,,500.0,ml,3.0,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,500.0,ml,3.0,BEBIDAS GASEOSAS
Gaseosa Inca Kola Sin Azúcar Botella 500ml,,500.0,ml,3.0,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,3.0,BEBIDAS GASEOSAS
Gaseosa Coca Cola Sin Azúcar Botella 500ml,,500.0,ml,3.0,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,500.0,ml,3.0,BEBIDAS GASEOSAS
Gaseosa Coca Cola Sin Azúcar Botella 500ml,,500.0,ml,3.0,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,500.0,ml,3.0,BEBIDAS GASEOSAS
Gaseosa Sin Azúcar 500 mL,COCA COLA,500.0,ml,3.2,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,500.0,ml,3.2,BEBIDAS GASEOSAS
Gaseosa 500 mL,COCA COLA,500.0,ml,3.2,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,500.0,ml,3.2,BEBIDAS GASEOSAS
Gaseosa Cola 1 L,PEPSI,1.0,l,3.5,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,1.0,l,3.5,BEBIDAS GASEOSAS
Gaseosa Guarana Botella 1 L,,1.0,l,3.5,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,1.0,l,3.5,BEBIDAS GASEOSAS
Gaseosa Big Cola Lata 355ml,,355.0,ml,3.9,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,355.0,ml,3.9,BEBIDAS GASEOSAS
Gaseosa Big Cola Lata 355ml,,355.0,ml,3.9,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,355.0,ml,3.9,BEBIDAS GASEOSAS
Gaseosa Pepsi Zero Azúcar Botella 1.5L,,1.5,l,3.9,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,1.5,l,3.9,BEBIDAS GASEOSAS
Gaseosa Inca Kola Sabor Original Botella 1L,,1.0,l,4.0,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,1.0,l,4.0,BEBIDAS GASEOSAS
Gaseosa Coca Cola Sin Azúcar Botella 1L,,1.0,l,4.0,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,1.0,l,4.0,BEBIDAS GASEOSAS
Gaseosa Coca Cola Botella 1L,,1.0,l,4.0,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,1.0,l,4.0,BEBIDAS GASEOSAS
GASEOSA 1.7LT,BIG COLA,1.7,l,4.3,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,1.7,l,4.3,BEBIDAS GASEOSAS
Bebida FRUGOS Mango y Fresa Caja 1L,FRUGOS,1.0,l,4.5,vivanda,2024-12-05 22:35:01.338489,BEBIDAS GASEOSAS,1.0,l,4.5,BEBIDAS GASEOSAS
Gaseosa 7 Up Botella 1.5 L,,1.5,l,4.5,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,1.5,l,4.5,BEBIDAS GASEOSAS
Gaseosa Coca Cola Botella 1L,,1.0,l,4.5,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,1.0,l,4.5,BEBIDAS GASEOSAS
Gaseosa Coca Cola Sin Azúcar Botella 1L,,1.0,l,4.5,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,1.0,l,4.5,BEBIDAS GASEOSAS
Gaseosa Inca Kola Sin Azúcar Botella 1L,,1.0,l,4.5,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,1.0,l,4.5,BEBIDAS GASEOSAS
Bebida Rehidratante Tropical 1.5 L,SPORADE,1.5,l,4.9,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,1.5,l,4.9,BEBIDAS GASEOSAS
Bebida Beauti Drink Relaxing Calm 360 mL,SAPPE,360.0,ml,4.9,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,360.0,ml,4.9,BEBIDAS GASEOSAS
Bebida Beauti Drink Slim 360 mL,SAPPE,360.0,ml,4.9,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,360.0,ml,4.9,BEBIDAS GASEOSAS
Bebida sabor mango 320 mL,MOGU MOGU,320.0,ml,4.95,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,320.0,ml,4.95,BEBIDAS GASEOSAS
Gaseosa KR Guaraná Botella 3.03L,,3.03,l,4.99,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,3.03,l,4.99,BEBIDAS GASEOSAS
Gaseosa Oro Botella 3.03 L,,3.03,l,4.99,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,3.03,l,4.99,BEBIDAS GASEOSAS
Gaseosa Ginger Ale 1.5 L,EVERVESS,1.5,l,5.0,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,1.5,l,5.0,BEBIDAS GASEOSAS
Gaseosa Pepsi Botella 1.5L,,1.5,l,5.13,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,1.5,l,5.13,BEBIDAS GASEOSAS
Gaseosa Cola 1.5 L,PEPSI,1.5,l,5.2,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,1.5,l,5.2,BEBIDAS GASEOSAS
Ginger Ale Wong Botella 1.5 L,,1.5,l,5.4,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,1.5,l,5.4,BEBIDAS GASEOSAS
Gaseosa 7UP En Lata 355 ml,,355.0,ml,5.5,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,355.0,ml,5.5,BEBIDAS GASEOSAS
Gaseosa Pepsi Lata 355 ml,,355.0,ml,5.5,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,355.0,ml,5.5,BEBIDAS GASEOSAS
Gaseosa Cola 2 L,PEPSI,2.0,l,5.5,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,2.0,l,5.5,BEBIDAS GASEOSAS
Gaseosa 7UP En Lata 355 ml,,355.0,ml,5.5,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,355.0,ml,5.5,BEBIDAS GASEOSAS
Gaseosa Pepsi Lata 355 ml,,355.0,ml,5.5,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,355.0,ml,5.5,BEBIDAS GASEOSAS
Gaseosa Pepsi Black Lata 355ml,,355.0,ml,5.5,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,355.0,ml,5.5,BEBIDAS GASEOSAS
Gaseosa sabor piña en lata de 355 mL,FANTA,355.0,ml,5.5,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,355.0,ml,5.5,BEBIDAS GASEOSAS
Bebida Rehidratante SPORADE Tropical Electrolitos Botella 1.5L,SPORADE,1.5,l,5.5,vivanda,2024-12-05 22:35:01.338489,BEBIDAS GASEOSAS,1.5,l,5.5,BEBIDAS GASEOSAS
Gaseosa Crush Naranja Botella 3L,,3.0,l,5.8,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,3.0,l,5.8,BEBIDAS GASEOSAS
