description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Chocolate Bitter Sublime NESTLÉ Empaque 38gr,S/ 2.90,vega,BISTEC DE VACUNO,2024-12-05 11:56:53.626737,38.0,g,Chocolate Bitter Sublime NESTLÉ Empaque r,2.9,vega,,Sublime,BISTEC DE VACUNO
Chocolate NESTLÉ Sublime Bitter Paquete 38g,S/ 3 un,plaza_vea,BISTEC DE VACUNO,2024-12-05 14:42:17.925262,38.0,g,Chocolate NESTLÉ Sublime Bitter Paquete,3.0,plaza_vea,Paquete 38g,,BISTEC DE VACUNO
Mezcla para Apanar AJINOMIX Apanado Bolsa 96gr,S/ 3.00,vega,BISTEC DE VACUNO,2024-12-05 11:56:53.626737,96.0,g,Mezcla para Apanar AJINOMIX Apanado Bolsa r,3.0,vega,,AJINOMIX,BISTEC DE VACUNO
Mezcla para Apanar AJINOMIX Crocante Bolsa 96gr,S/ 3.00,vega,BISTEC DE VACUNO,2024-12-05 11:56:53.626737,96.0,g,Mezcla para Apanar AJINOMIX Crocante Bolsa r,3.0,vega,,AJINOMIX,BISTEC DE VACUNO
Pinceles Kids CLASS&WORK KR972329 Blíster 6un,S/ 4.50,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,6.0,un,Pinceles Kids CLASS&WORK KR972329 Blíster,4.5,vivanda,,CLASS & WORK,BISTEC DE VACUNO
Nuggets De Pollo (10 unidades),S/ 4.90,tottus,BISTEC DE VACUNO,2024-12-05 11:27:38.925215,10.0,un,Nuggets De Pollo (ades),4.9,tottus,,SAN FERNANDO,BISTEC DE VACUNO
Crispy Nuggets (10 unidades),S/ 4.95,tottus,BISTEC DE VACUNO,2024-12-05 11:27:38.925215,10.0,un,Crispy Nuggets (ades),4.95,tottus,,SAN FERNANDO,BISTEC DE VACUNO
Chocolate COSTA Vizzio Bitter Caja 69g,S/ 5 un,plaza_vea,BISTEC DE VACUNO,2024-12-05 14:42:17.925262,69.0,g,Chocolate COSTA Vizzio Bitter Caja,5.0,plaza_vea,Caja 69g,,BISTEC DE VACUNO
NUGGETS PECHUGA X 180 GR,S/ 5.50,tottus,BISTEC DE VACUNO,2024-12-05 11:27:38.925215,180.0,g,NUGGETS PECHUGA X R,5.5,tottus,,REDONDOS,BISTEC DE VACUNO
HAMB. LA REDONDITA X 6 UNIDADES,S/ 5.90,tottus,BISTEC DE VACUNO,2024-12-05 11:27:38.925215,6.0,un,HAMB. LA REDONDITA X ADES,5.9,tottus,,REDONDOS,BISTEC DE VACUNO
Cortadores NILO Jardín Blíster 8un,S/ 6.60,vivanda,BISTEC DE VACUNO,2024-12-05 21:39:20.617389,8.0,un,Cortadores NILO Jardín Blíster,6.6,vivanda,,NILO,BISTEC DE VACUNO
Dinonuggets 200 g (5 unidades),S/ 6.70,tottus,BISTEC DE VACUNO,2024-12-05 11:27:38.925215,200.0,g,Dinonuggets  (ades),6.7,tottus,,SAN FERNANDO,BISTEC DE VACUNO
Nuggets Pechuga Pollo Chia Sin Freír 180 g,S/ 6.90,tottus,BISTEC DE VACUNO,2024-12-05 11:27:38.925215,180.0,g,Nuggets Pechuga Pollo Chia Sin Freír,6.9,tottus,,SAN FERNANDO,BISTEC DE VACUNO
