description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Café Tostado y Molido CAFETAL Selecto Bolsa 50gr,S/ 2.80,vega,CAFÉ TOSTADO MOLIDO,2024-12-05 13:25:00.751097,50.0,g,Café Tostado y Molido CAFETAL Selecto Bolsa r,2.8,vega,,Cafetal,CAFÉ TOSTADO MOLIDO
Café Tostado y Molido CAFETAL Selecto Bolsa 80gr,S/ 4.00,vega,CAFÉ TOSTADO MOLIDO,2024-12-05 13:25:00.751097,80.0,g,Café Tostado y Molido CAFETAL Selecto Bolsa r,4.0,vega,,Cafetal,CAFÉ TOSTADO MOLIDO
Café Tostado y Molido CAFETAL Selecto Bolsa 200gr,S/ 9.00 17%,vega,CAFÉ TOSTADO MOLIDO,2024-12-05 13:25:00.751097,200.0,g,Café Tostado y Molido CAFETAL Selecto Bolsa r,9.0,vega,,Cafetal,CAFÉ TOSTADO MOLIDO
Café Tostado Molido BELL'S Bolsa 220g,S/ 9.90,vivanda,CAFÉ TOSTADO MOLIDO,2024-12-05 22:32:26.293399,220.0,g,Café Tostado Molido BELL'S Bolsa,9.9,vivanda,,BELL'S,CAFÉ TOSTADO MOLIDO
Café Tostado Molido BELL'S Bolsa 220g,S/ 9.90 un,plaza_vea,CAFÉ TOSTADO MOLIDO,2024-12-05 16:01:51.791307,220.0,g,Café Tostado Molido BELL'S Bolsa,9.9,plaza_vea,Bolsa 220g,,CAFÉ TOSTADO MOLIDO
Café Tostado y Molido CAFETAL Selecto Bolsa 20...,S/ 11.20 un,plaza_vea,CAFÉ TOSTADO MOLIDO,2024-12-05 16:01:51.791307,200.0,g,Café Tostado y Molido CAFETAL Selecto Bolsa 20,11.2,plaza_vea,Bolsa 200g,,CAFÉ TOSTADO MOLIDO
Café tostado y molido 200 gr,S/ 11.70,tottus,CAFÉ TOSTADO MOLIDO,2024-12-05 12:43:51.702620,200.0,g,Café tostado y molido r,11.7,tottus,,TOTTUS,CAFÉ TOSTADO MOLIDO
Café Molido y Tostado Cuisine & Co 220g,S/ 12.50,metro,CAFÉ TOSTADO MOLIDO,2024-12-05 16:48:28.460745,220.0,g,Café Molido y Tostado Cuisine & Co,12.5,metro,,,CAFÉ TOSTADO MOLIDO
Café Tostado y Molido Americano Cafetal Bolsa 140 g,S/ 14.70,metro,CAFÉ TOSTADO MOLIDO,2024-12-05 16:48:28.460745,140.0,g,Café Tostado y Molido Americano Cafetal Bolsa,14.7,metro,,,CAFÉ TOSTADO MOLIDO
Café Tostado y Molido Americano Cafetal Bolsa 140 g,S/ 14.80,wong,CAFÉ TOSTADO MOLIDO,2024-12-05 19:26:23.727372,140.0,g,Café Tostado y Molido Americano Cafetal Bolsa,14.8,wong,,,CAFÉ TOSTADO MOLIDO
Café Tostado Molido ALTOMAYO Gourmet Bolsa 200...,S/ 17.90 un,plaza_vea,CAFÉ TOSTADO MOLIDO,2024-12-05 16:01:51.791307,200.0,g,Café Tostado Molido ALTOMAYO Gourmet Bolsa 200,17.9,plaza_vea,Bolsa 200g,,CAFÉ TOSTADO MOLIDO
Café Tostado Molido ALTOMAYO Gourmet Bolsa 200g,S/ 19.30,vivanda,CAFÉ TOSTADO MOLIDO,2024-12-05 22:32:26.293399,200.0,g,Café Tostado Molido ALTOMAYO Gourmet Bolsa,19.3,vivanda,,ALTOMAYO,CAFÉ TOSTADO MOLIDO
Café Tostado Y Molido CAFETAL Selecto Bolsa 454gr,S/ 19.50 17%,vega,CAFÉ TOSTADO MOLIDO,2024-12-05 13:25:00.751097,454.0,g,Café Tostado Y Molido CAFETAL Selecto Bolsa r,19.5,vega,,Cafetal,CAFÉ TOSTADO MOLIDO
Café Molido y Tostado Cuisine & Co 500g,S/ 19.90,metro,CAFÉ TOSTADO MOLIDO,2024-12-05 16:48:28.460745,500.0,g,Café Molido y Tostado Cuisine & Co,19.9,metro,,,CAFÉ TOSTADO MOLIDO
