description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Sopa Instántanea AJINOMEN Sabor a Carne Bolsa ...,S/ 1.60 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-05 14:44:26.903739,80.0,g,Sopa Instántanea AJINOMEN Sabor a Carne Bolsa,1.6,plaza_vea,Bolsa 80g,,CARNE PARA GUISO DE VACUNO
Sopa Instántanea AJINOMEN Sabor a Carne Bolsa 80g,S/ 1.60,vivanda,CARNE PARA GUISO DE VACUNO,2024-12-05 21:40:20.776598,80.0,g,Sopa Instántanea AJINOMEN Sabor a Carne Bolsa,1.6,vivanda,,AJINOMEN,CARNE PARA GUISO DE VACUNO
Sopa de Carne BELL'S Vaso 65g,S/ 1.90,vivanda,CARNE PARA GUISO DE VACUNO,2024-12-05 21:40:20.776598,65.0,g,Sopa de Carne BELL'S Vaso,1.9,vivanda,,BELL'S,CARNE PARA GUISO DE VACUNO
Sopa Ramen NISSIN Sabor Carne Bolsa 85g,S/ 2.20 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-05 14:44:26.903739,85.0,g,Sopa Ramen NISSIN Sabor Carne Bolsa,2.2,plaza_vea,Bolsa 85g,,CARNE PARA GUISO DE VACUNO
Sopa Ramen NISSIN Sabor Carne Bolsa 85g,S/ 2.20,vivanda,CARNE PARA GUISO DE VACUNO,2024-12-05 21:40:20.776598,85.0,g,Sopa Ramen NISSIN Sabor Carne Bolsa,2.2,vivanda,,NISSIN,CARNE PARA GUISO DE VACUNO
Caldo de Carne DOÑA GUSTA Concentrado en Polvo...,S/ 2.20 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-05 14:44:26.903739,42.0,g,Caldo de Carne DOÑA GUSTA Concentrado en Polvo,2.2,plaza_vea,Caja 42g,,CARNE PARA GUISO DE VACUNO
Concentrado en Polvo Doña Gusta Sabor Carne 6un,S/ 2.20,metro,CARNE PARA GUISO DE VACUNO,2024-12-05 15:27:51.019901,6.0,un,Concentrado en Polvo Doña Gusta Sabor Carne,2.2,metro,,,CARNE PARA GUISO DE VACUNO
Caldo de Carne DOÑA GUSTA Concentrado en Polvo Caja 42g,S/ 2.20,vivanda,CARNE PARA GUISO DE VACUNO,2024-12-05 21:40:20.776598,42.0,g,Caldo de Carne DOÑA GUSTA Concentrado en Polvo Caja,2.2,vivanda,,DOÑA GUSTA,CARNE PARA GUISO DE VACUNO
Comida para Gatos RICOCAT Trocitos Carne Gatit...,S/ 3 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-05 14:44:26.903739,85.0,g,Comida para Gatos RICOCAT Trocitos Carne Gatit,3.0,plaza_vea,Paquete 85g,,CARNE PARA GUISO DE VACUNO
Comida para Gatos RICOCAT Gatitos Trocitos de Carne 85g,S/ 3.00,vega,CARNE PARA GUISO DE VACUNO,2024-12-05 11:58:43.141639,85.0,g,Comida para Gatos RICOCAT Gatitos Trocitos de Carne,3.0,vega,,Ricocat,CARNE PARA GUISO DE VACUNO
Comida para Perros RICOCAN Trocitos Adultos Ca...,S/ 3 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-05 14:44:26.903739,100.0,g,Comida para Perros RICOCAN Trocitos Adultos Ca,3.0,plaza_vea,Paquete 100g,,CARNE PARA GUISO DE VACUNO
Sopa Instantánea AJINOMEN Sabor a Carne Vaso 5...,S/ 3.30 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-05 14:44:26.903739,51.0,g,Sopa Instantánea AJINOMEN Sabor a Carne Vaso 5,3.3,plaza_vea,Vaso 51g,,CARNE PARA GUISO DE VACUNO
Sopa Instántanea de Carne AJINOMEN Vaso 51g,S/ 3.30 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-05 14:44:26.903739,51.0,g,Sopa Instántanea de Carne AJINOMEN Vaso,3.3,plaza_vea,Vaso 51g,,CARNE PARA GUISO DE VACUNO
Sopa instantánea MARUCHAN Carne Bolsa 85g,S/ 3.40,vivanda,CARNE PARA GUISO DE VACUNO,2024-12-05 21:40:20.776598,85.0,g,Sopa instantánea MARUCHAN Carne Bolsa,3.4,vivanda,,MARUCHAN,CARNE PARA GUISO DE VACUNO
