description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Cebolla Blanca Metro x kg,,1.0,kg,1.19,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),1.0,kg,1.19
Sopa instantánea AJINOMEN Gallina criolla Bols...,,80.0,g,1.6,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),80.0,g,1.6
Sopa de Gallina Criolla con Fideos Ajinomen Sobre 80 g,,80.0,g,1.6,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),80.0,g,1.6
Cebolla Blanca,,1.0,kg,1.9,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),1.0,kg,1.9
Cebolla Roja Metro x kg,,1.0,kg,1.99,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),1.0,kg,1.99
Cebolla Roja P x kg,,0.5,kg,2.09,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),0.5,kg,2.09
Canela Molida Cuisine & Co 8g,,8.0,g,2.1,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),8.0,g,2.1
Yogurt Griego LAIVE Sabor a Frutos Rojos Vaso ...,,115.0,g,2.2,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),115.0,g,2.2
Yogurt Batido GLORIA Griego Sabor Frutos Rojos...,,120.0,g,2.2,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),120.0,g,2.2
Canela China en Polvo Cuisine & Co 10g,,10.0,g,2.3,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),10.0,g,2.3
Cebolla Roja Agro Selecto 1Kg,,1.0,kg,2.38,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),1.0,kg,2.38
Tableta para Taza Sabor Canela y Clavo Tableta 80 g,,80.0,g,2.5,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),80.0,g,2.5
Cebolla Blanca Agro Selecto 1kg,,1.0,kg,2.5,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),1.0,kg,2.5
Tableta para Taza Sabor Chocolate Clavo y Canela 90g,,90.0,g,2.6,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),90.0,g,2.6
Chocolate para Taza SOL DEL CUSCO Canela y Cla...,,90.0,g,2.7,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),90.0,g,2.7
Lechuga Roja Hidropónica de Invernadero Ecologic x unid,,1.0,un,2.7,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),1.0,un,2.7
Té Canela y Clavo BELL'S Caja 20un,,20.0,un,3.2,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),20.0,un,3.2
Canela Entera Sibarita Sobre 10 g,,10.0,g,3.3,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),10.0,g,3.3
Cebolla China BELL'S Bolsa 320g,,320.0,g,3.49,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),320.0,g,3.49
Canela Entera Cuisine & Co 12g,,12.0,g,3.5,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),12.0,g,3.5
Cebolla China Manantiales 200g,,200.0,g,3.59,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),200.0,g,3.59
Canela Entera SIBARITA Sobre 10g,,10.0,g,3.59,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),10.0,g,3.59
