description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Caramelo BUBBALO Sparkies Bolsa 25gr,S/ 1.50,vega,CHIFLE (BOCADITOS),2024-12-05 13:22:59.756381,25.0,g,Caramelo BUBBALO Sparkies Bolsa r,1.5,vega,Sparkies,CHIFLE (BOCADITOS)
Sazonador Ajinomix para Chifa Ajinomoto Pack 4 Unid x 12 g,S/ 2.20,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,4.0,un,Sazonador Ajinomix para Chifa Ajinomoto Pack  x,2.2,metro,,CHIFLE (BOCADITOS)
Chifoncito de Naranja Wong 50g,S/ 2.72,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,50.0,g,Chifoncito de Naranja Wong,2.72,wong,,CHIFLE (BOCADITOS)
Marshmellows Mr. Mallo Watermelons Bolsa 100 g,S/ 2.90,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,100.0,g,Marshmellows Mr. Mallo Watermelons Bolsa,2.9,metro,,CHIFLE (BOCADITOS)
Marshmellows Mr. Mallo Fresas Bolsa 100 g,S/ 2.90,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,100.0,g,Marshmellows Mr. Mallo Fresas Bolsa,2.9,metro,,CHIFLE (BOCADITOS)
Gomitas Ambrosoli Ambrosito Ácido 90g,S/ 3.20,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,90.0,g,Gomitas Ambrosoli Ambrosito Ácido,3.2,metro,,CHIFLE (BOCADITOS)
Gomitas Ambrosito 90g,S/ 3.40,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,90.0,g,Gomitas Ambrosito,3.4,wong,,CHIFLE (BOCADITOS)
Gomitas Ambrosito 90g,S/ 3.40,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,90.0,g,Gomitas Ambrosito,3.4,metro,,CHIFLE (BOCADITOS)
Chicle Sin Azúcar Trident X Splash Fresa y Limón 9un,S/ 3.50,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,9.0,un,Chicle Sin Azúcar Trident X Splash Fresa y Limón,3.5,wong,,CHIFLE (BOCADITOS)
Chicle Sin Azúcar Trident X Splash Fresa y Limón 9un,S/ 3.50,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,9.0,un,Chicle Sin Azúcar Trident X Splash Fresa y Limón,3.5,metro,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Splash Sabor Fresa y Limón 9un,S/ 3.60,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,9.0,un,Chicles Sin Azúcar Trident Splash Sabor Fresa y Limón,3.6,metro,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Splash Sabor Fresa y Limón 9un,S/ 3.60,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,9.0,un,Chicles Sin Azúcar Trident Splash Sabor Fresa y Limón,3.6,wong,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Splash Sabor Menta y Vainilla 9un,S/ 3.60,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,9.0,un,Chicles Sin Azúcar Trident Splash Sabor Menta y Vainilla,3.6,metro,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Splash Sabor Menta y Vainilla 9un,S/ 3.60,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,9.0,un,Chicles Sin Azúcar Trident Splash Sabor Menta y Vainilla,3.6,wong,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Splash Sabor Hierbabuena y Sandía 9un,S/ 3.60,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,9.0,un,Chicles Sin Azúcar Trident Splash Sabor Hierbabuena y Sandía,3.6,metro,,CHIFLE (BOCADITOS)
Chicle TRIDENT Sin Azúcar sabor Mora Azul Envase 18un,S/ 3.70,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,18.0,un,Chicle TRIDENT Sin Azúcar sabor Mora Azul Envase,3.7,vivanda,TRIDENT,CHIFLE (BOCADITOS)
Chicle TRIDENT Sin Azúcar sabor Tutti Frutti Envase 18un,S/ 3.70,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,18.0,un,Chicle TRIDENT Sin Azúcar sabor Tutti Frutti Envase,3.7,vivanda,TRIDENT,CHIFLE (BOCADITOS)
Chicle TRIDENT Sin Azúcar sabor Menta Herbal Envase 18un,S/ 3.70,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,18.0,un,Chicle TRIDENT Sin Azúcar sabor Menta Herbal Envase,3.7,vivanda,TRIDENT,CHIFLE (BOCADITOS)
Chifles Salados 100 g,S/ 3.79,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,100.0,g,Chifles Salados,3.79,tottus,TOTTUS,CHIFLE (BOCADITOS)
Piqueo BELL'S Chifles Salados Táper 100g,S/ 3.79,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,100.0,g,Piqueo BELL'S Chifles Salados Táper,3.79,vivanda,BELL'S,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Yerbabuena 18un,S/ 4.00,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,18.0,un,Chicles Sin Azúcar Trident Evup Yerbabuena,4.0,wong,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Menta 18un,S/ 4.00,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,18.0,un,Chicles Sin Azúcar Trident Evup Menta,4.0,metro,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Menta 18un,S/ 4.00,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,18.0,un,Chicles Sin Azúcar Trident Evup Menta,4.0,wong,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Fresh Herbal 18un,S/ 4.10,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,18.0,un,Chicles Sin Azúcar Trident Evup Fresh Herbal,4.1,metro,,CHIFLE (BOCADITOS)
Chicle Trident Evup Freshmint 18un,S/ 4.10,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,18.0,un,Chicle Trident Evup Freshmint,4.1,metro,,CHIFLE (BOCADITOS)
Chicle Trident Evup Freshmint 18un,S/ 4.10,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,18.0,un,Chicle Trident Evup Freshmint,4.1,wong,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Mora Azul 30.6g,S/ 4.10,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,30.6,g,Chicles Sin Azúcar Trident Mora Azul,4.1,wong,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Fresh Herbal 18un,S/ 4.10,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,18.0,un,Chicles Sin Azúcar Trident Evup Fresh Herbal,4.1,wong,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Evup Sandia 18un,S/ 4.10,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,18.0,un,Chicles Sin Azúcar Trident Evup Sandia,4.1,wong,,CHIFLE (BOCADITOS)
Chicle FINI Huevos de Dinos Bolsa 80gr,S/ 4.20,vega,CHIFLE (BOCADITOS),2024-12-05 13:22:59.756381,80.0,g,Chicle FINI Huevos de Dinos Bolsa r,4.2,vega,Fini,CHIFLE (BOCADITOS)
Chicle FINI Sabor a Sandia Acida Bolsa 80gr,S/ 4.20,vega,CHIFLE (BOCADITOS),2024-12-05 13:22:59.756381,80.0,g,Chicle FINI Sabor a Sandia Acida Bolsa r,4.2,vega,Fini,CHIFLE (BOCADITOS)
Cancha Chullpi + Chifle Salado VEGA Pote 150g,S/ 4.30,vega,CHIFLE (BOCADITOS),2024-12-05 13:22:59.756381,150.0,g,Cancha Chullpi + Chifle Salado VEGA Pote,4.3,vega,Vega,CHIFLE (BOCADITOS)
Marshmellows Colombina Millows Navidad 145g,S/ 4.40,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,145.0,g,Marshmellows Colombina Millows Navidad,4.4,wong,,CHIFLE (BOCADITOS)
