description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Tableta de Chocolate Vizzio Crunch con Leche 24g,S/ 1.50,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,24.0,g,Tableta de Chocolate Vizzio Crunch con Leche,1.5,tottus,,COSTA,CHOCOLATE EN TABLETA
Chocolate para Taza BELL'S Tableta 90g,S/ 1.80,vivanda,CHOCOLATE EN TABLETA,2024-12-05 22:21:43.468404,90.0,g,Chocolate para Taza BELL'S Tableta,1.8,vivanda,,BELL'S,CHOCOLATE EN TABLETA
Tableta Para Taza Sabor Chocolate x 90 g,S/ 2,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,90.0,g,Tableta Para Taza Sabor Chocolate x,2.0,tottus,,TOTTUS,CHOCOLATE EN TABLETA
Tableta de Chocolate para Taza CURAZAO Cusco P...,S/ 2.49 un,plaza_vea,CHOCOLATE EN TABLETA,2024-12-05 15:46:03.563128,90.0,g,Tableta de Chocolate para Taza CURAZAO Cusco P,2.49,plaza_vea,Barra 90g,,CHOCOLATE EN TABLETA
Tableta para Taza Sabor Chocolate Tableta 80 g,S/ 2.50,metro,CHOCOLATE EN TABLETA,2024-12-05 16:28:10.058999,80.0,g,Tableta para Taza Sabor Chocolate Tableta,2.5,metro,,,CHOCOLATE EN TABLETA
Tableta para Taza Sabor Chocolate Clavo y Canela 90g,S/ 2.60,metro,CHOCOLATE EN TABLETA,2024-12-05 16:28:10.058999,90.0,g,Tableta para Taza Sabor Chocolate Clavo y Canela,2.6,metro,,,CHOCOLATE EN TABLETA
Tableta para Taza Sabor Chocolate 90g,S/ 2.60,metro,CHOCOLATE EN TABLETA,2024-12-05 16:28:10.058999,90.0,g,Tableta para Taza Sabor Chocolate,2.6,metro,,,CHOCOLATE EN TABLETA
Tableta para Taza Sabor Chocolate Clavo y Canela 90g,S/ 2.60,wong,CHOCOLATE EN TABLETA,2024-12-05 19:06:23.649350,90.0,g,Tableta para Taza Sabor Chocolate Clavo y Canela,2.6,wong,,,CHOCOLATE EN TABLETA
Tableta para Taza Sabor Chocolate 90g,S/ 2.60,wong,CHOCOLATE EN TABLETA,2024-12-05 19:06:23.649350,90.0,g,Tableta para Taza Sabor Chocolate,2.6,wong,,,CHOCOLATE EN TABLETA
Chocolate para Taza SOL DEL CUSCO Tableta 90g,S/ 2.70 un,plaza_vea,CHOCOLATE EN TABLETA,2024-12-05 15:46:03.563128,90.0,g,Chocolate para Taza SOL DEL CUSCO Tableta,2.7,plaza_vea,Tableta 90g,,CHOCOLATE EN TABLETA
Chocolate para Taza SOL DEL CUSCO Canela y Cla...,S/ 2.70 un,plaza_vea,CHOCOLATE EN TABLETA,2024-12-05 15:46:03.563128,90.0,g,Chocolate para Taza SOL DEL CUSCO Canela y Cla,2.7,plaza_vea,Tableta 90g,,CHOCOLATE EN TABLETA
Chocolate para Taza SOL DEL CUSCO Tableta 90g,S/ 2.90,vivanda,CHOCOLATE EN TABLETA,2024-12-05 22:21:43.468404,90.0,g,Chocolate para Taza SOL DEL CUSCO Tableta,2.9,vivanda,,SOL DEL CUZCO,CHOCOLATE EN TABLETA
Tableta para Taza Tableta 90g,S/ 2.90,wong,CHOCOLATE EN TABLETA,2024-12-05 19:06:23.649350,90.0,g,Tableta para Taza Tableta,2.9,wong,,,CHOCOLATE EN TABLETA
Tableta para Taza Tableta 90g,S/ 2.90,metro,CHOCOLATE EN TABLETA,2024-12-05 16:28:10.058999,90.0,g,Tableta para Taza Tableta,2.9,metro,,,CHOCOLATE EN TABLETA
Tableta para Taza Sabor Canela y Clavo Tableta 80 g,S/ 3.00,wong,CHOCOLATE EN TABLETA,2024-12-05 19:06:23.649350,80.0,g,Tableta para Taza Sabor Canela y Clavo Tableta,3.0,wong,,,CHOCOLATE EN TABLETA
Chocolate con Leche HERSHEY'S Tableta 43gr,S/ 3.60 un,plaza_vea,CHOCOLATE EN TABLETA,2024-12-05 15:46:03.563128,43.0,g,Chocolate con Leche HERSHEY'S Tableta r,3.6,plaza_vea,Bolsa 43g,,CHOCOLATE EN TABLETA
Chocolate con Leche HERSHEY'S Tableta 43gr,S/ 3.60,vivanda,CHOCOLATE EN TABLETA,2024-12-05 22:21:43.468404,43.0,g,Chocolate con Leche HERSHEY'S Tableta r,3.6,vivanda,,HERSHEY S,CHOCOLATE EN TABLETA
Chocolate HERSHEY'S Cookies N' Creme Tableta 43g,S/ 3.60,vivanda,CHOCOLATE EN TABLETA,2024-12-05 22:21:43.468404,43.0,g,Chocolate HERSHEY'S Cookies N' Creme Tableta,3.6,vivanda,,HERSHEY S,CHOCOLATE EN TABLETA
