description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Chorizo Extra GOIKOA Paquete 70g,,70.0,g,5.9,plaza_vea,2024-12-05 14:50:32.385913,CHORIZO,70.0,g,5.9
Chorizo Especial Cocktail Wong 250g,,250.0,g,9.9,wong,2024-12-05 18:06:16.930194,CHORIZO,250.0,g,9.9
Chorizo Finas Hierbas BELL'S Paquete 250g,,250.0,g,9.99,plaza_vea,2024-12-05 14:50:32.385913,CHORIZO,250.0,g,9.99
Chorizo Reserva HIBERO Paquete 80g,,80.0,g,10.9,plaza_vea,2024-12-05 14:50:32.385913,CHORIZO,80.0,g,10.9
Chorizo Cocido Parrillero San Fernando Paquete 480 g,,480.0,g,10.96,metro,2024-12-05 15:33:40.991933,CHORIZO,480.0,g,10.96
Chorizo Finas Hierbas Cocktail BRAEDT Paquete ...,,250.0,g,11.5,plaza_vea,2024-12-05 14:50:32.385913,CHORIZO,250.0,g,11.5
Chorizo Español HIBERO Pieza 140g,,140.0,g,11.9,plaza_vea,2024-12-05 14:50:32.385913,CHORIZO,140.0,g,11.9
Chorizo Español HIBERO Pieza 140g,HIBERO,140.0,g,11.9,vivanda,2024-12-05 21:44:56.244172,CHORIZO,140.0,g,11.9
Chorizo Precocido Finas Hierbas SALCHICHERÍA A...,,320.0,g,12.4,plaza_vea,2024-12-05 14:50:32.385913,CHORIZO,320.0,g,12.4
Chorizo Parrillero Precocido Coctel Braedt Paquete 250 g,,250.0,g,12.4,metro,2024-12-05 15:33:40.991933,CHORIZO,250.0,g,12.4
Salchichas Cocktail Parrilleras Zimmermann 300g,,300.0,g,12.4,wong,2024-12-05 18:06:16.930194,CHORIZO,300.0,g,12.4
Chorizo Italiano OTTO KUNZ Paquete 220g,,220.0,g,12.5,plaza_vea,2024-12-05 14:50:32.385913,CHORIZO,220.0,g,12.5
Chorizo Cocido SAN FERNANDO Paquete 480g,,480.0,g,12.5,plaza_vea,2024-12-05 14:50:32.385913,CHORIZO,480.0,g,12.5
CHORIZO MERMELADA DE ROCOTO NR TT 300GR,TOTTUS,300.0,g,12.9,tottus,2024-12-05 11:35:14.420230,CHORIZO,300.0,g,12.9
