description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Fideos Cabello de Ángel DON VITTORIO Bolsa 250g,S/ 2.00,vega,CHOROS (CON VALVA),2024-12-05 12:16:24.314898,250.0,g,Fideos Cabello de Ángel DON VITTORIO Bolsa,2.0,vega,,Don Vittorio,CHOROS (CON VALVA)
Comino con Pimienta La Sazón de Don Benito 30g,S/ 2.00,metro,CHOROS (CON VALVA),2024-12-05 15:41:38.725538,30.0,g,Comino con Pimienta La Sazón de Don Benito,2.0,metro,,,CHOROS (CON VALVA)
Yogurt Griego LAIVE con Trozos de Blueberry Va...,S/ 2.20 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,120.0,g,Yogurt Griego LAIVE con Trozos de Blueberry Va,2.2,plaza_vea,Vaso 120g,,CHOROS (CON VALVA)
Agua Mineral SAN MATEO Con Gas Botella 1.5L,S/ 2.20 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,1.5,l,Agua Mineral SAN MATEO Con Gas Botella,2.2,plaza_vea,Botella 1.5L,,CHOROS (CON VALVA)
Sazonador Tuco con Hongos y Laurel La Sazón de Don Benito 63g,S/ 2.40,metro,CHOROS (CON VALVA),2024-12-05 15:41:38.725538,63.0,g,Sazonador Tuco con Hongos y Laurel La Sazón de Don Benito,2.4,metro,,,CHOROS (CON VALVA)
Agua Con Gas Mineral San Mateo Botella 1.5 L,S/ 2.50,metro,CHOROS (CON VALVA),2024-12-05 15:41:38.725538,1.5,l,Agua Con Gas Mineral San Mateo Botella,2.5,metro,,,CHOROS (CON VALVA)
Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack 90g,S/ 2.50,metro,CHOROS (CON VALVA),2024-12-05 15:41:38.725538,90.0,g,Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack,2.5,metro,,,CHOROS (CON VALVA)
Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack 90g,S/ 2.50,wong,CHOROS (CON VALVA),2024-12-05 18:13:11.999688,90.0,g,Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack,2.5,wong,,,CHOROS (CON VALVA)
Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90gr,S/ 2.60,vega,CHOROS (CON VALVA),2024-12-05 12:16:24.314898,90.0,g,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta r,2.6,vega,,Sol Del Cuzco,CHOROS (CON VALVA)
Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90g,S/ 2.60,vega,CHOROS (CON VALVA),2024-12-05 12:16:24.314898,90.0,g,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta,2.6,vega,,Sol Del Cuzco,CHOROS (CON VALVA)
Agua Con Gas Mineral San Mateo Botella 1.5 L,S/ 2.60,wong,CHOROS (CON VALVA),2024-12-05 18:13:11.999688,1.5,l,Agua Con Gas Mineral San Mateo Botella,2.6,wong,,,CHOROS (CON VALVA)
Galletas Integrales DEL PARAÍSO Ajonjolí con M...,S/ 2.70 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,100.0,g,Galletas Integrales DEL PARAÍSO Ajonjolí con M,2.7,plaza_vea,Paquete 100g,,CHOROS (CON VALVA)
Avena GRANO DE ORO con Quinua en Bolsa 170gr,S/ 2.90,vega,CHOROS (CON VALVA),2024-12-05 12:16:24.314898,170.0,g,Avena GRANO DE ORO con Quinua en Bolsa r,2.9,vega,,Grano De Oro,CHOROS (CON VALVA)
Agua de Mesa Con Gas San Luis Botella 2.5L,S/ 2.90,metro,CHOROS (CON VALVA),2024-12-05 15:41:38.725538,2.5,l,Agua de Mesa Con Gas San Luis Botella,2.9,metro,,,CHOROS (CON VALVA)
Crema con Queso Cuisine & Co Aceituna 80g,S/ 3.00,metro,CHOROS (CON VALVA),2024-12-05 15:41:38.725538,80.0,g,Crema con Queso Cuisine & Co Aceituna,3.0,metro,,,CHOROS (CON VALVA)
Crema con Queso Cuisine & Co Tocino 80g,S/ 3.00,metro,CHOROS (CON VALVA),2024-12-05 15:41:38.725538,80.0,g,Crema con Queso Cuisine & Co Tocino,3.0,metro,,,CHOROS (CON VALVA)
Crema con Queso Cuisine & Co Aceituna 80g,S/ 3.00,wong,CHOROS (CON VALVA),2024-12-05 18:13:11.999688,80.0,g,Crema con Queso Cuisine & Co Aceituna,3.0,wong,,,CHOROS (CON VALVA)
Crema con Queso Cuisine & Co Tocino 80g,S/ 3.00,wong,CHOROS (CON VALVA),2024-12-05 18:13:11.999688,80.0,g,Crema con Queso Cuisine & Co Tocino,3.0,wong,,,CHOROS (CON VALVA)
Crema con Queso Cuisine & Co Original 80g,S/ 3.00,metro,CHOROS (CON VALVA),2024-12-05 15:41:38.725538,80.0,g,Crema con Queso Cuisine & Co Original,3.0,metro,,,CHOROS (CON VALVA)
Agua de Mesa Con Gas San Luis Botella 2.5L,S/ 3.00,wong,CHOROS (CON VALVA),2024-12-05 18:13:11.999688,2.5,l,Agua de Mesa Con Gas San Luis Botella,3.0,wong,,,CHOROS (CON VALVA)
Crema con Queso Cuisine & Co Original 80g,S/ 3.00,wong,CHOROS (CON VALVA),2024-12-05 18:13:11.999688,80.0,g,Crema con Queso Cuisine & Co Original,3.0,wong,,,CHOROS (CON VALVA)
Yogur Battimix GLORIA Vainilla con Hojuelas Va...,S/ 3.10 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,144.0,g,Yogur BattimiLORIA Vainilla con Hojuelas Va,3.1,plaza_vea,Vaso 144g,,CHOROS (CON VALVA)
Yogurt GLORIA Battimix Vainilla con Arroz Cruj...,S/ 3.10 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,146.0,g,Yogurt GLORIA Battimix Vainilla con Arroz Cruj,3.1,plaza_vea,Vaso 146g,,CHOROS (CON VALVA)
Yogurt con Chocobolitas Cuisine & Co 125g,S/ 3.20,wong,CHOROS (CON VALVA),2024-12-05 18:13:11.999688,125.0,g,Yogurt con Chocobolitas Cuisine & Co,3.2,wong,,,CHOROS (CON VALVA)
Yogurt con Hojuelas Azucaradas Cuisine & Co 125g,S/ 3.20,wong,CHOROS (CON VALVA),2024-12-05 18:13:11.999688,125.0,g,Yogurt con Hojuelas Azucaradas Cuisine & Co,3.2,wong,,,CHOROS (CON VALVA)
Yogurt con Chocobolitas Cuisine & Co 125g,S/ 3.20,metro,CHOROS (CON VALVA),2024-12-05 15:41:38.725538,125.0,g,Yogurt con Chocobolitas Cuisine & Co,3.2,metro,,,CHOROS (CON VALVA)
Yogurt con Hojuelas Azucaradas Cuisine & Co 125g,S/ 3.20,metro,CHOROS (CON VALVA),2024-12-05 15:41:38.725538,125.0,g,Yogurt con Hojuelas Azucaradas Cuisine & Co,3.2,metro,,,CHOROS (CON VALVA)
Cereal de Trigo con Miel VITA PLUSS Bolsa 140g,S/ 3.60 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,140.0,g,Cereal de Trigo con Miel VITA PLUSS Bolsa,3.6,plaza_vea,Bolsa 140g,,CHOROS (CON VALVA)
Galletas Choco Donuts COSTA Sabor a Chocolate con Leche Paquete 6un,S/ 4.19,vivanda,CHOROS (CON VALVA),2024-12-05 21:50:12.728849,6.0,un,Galletas Choco Donuts COSTA Sabor a Chocolate con Leche Paquete,4.19,vivanda,,COSTA,CHOROS (CON VALVA)
Galletas Choco Donuts COSTA Sabor a Chocolate ...,S/ 4.19 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,6.0,un,Galletas Choco Donuts COSTA Sabor a Chocolate,4.19,plaza_vea,Paquete 6un,,CHOROS (CON VALVA)
Wafer Cuadrado NIK Relleno con Crema Sabor a V...,S/ 4.20 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,6.0,un,Wafer Cuadrado NIK Relleno con Crema Sabor a V,4.2,plaza_vea,Paquete 6un,,CHOROS (CON VALVA)
Wafer Cuadrado NIK Relleno con Crema Sabor a C...,S/ 4.20 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,6.0,un,Wafer Cuadrado NIK Relleno con Crema Sabor a C,4.2,plaza_vea,Paquete 6un,,CHOROS (CON VALVA)
Trigo Atómico Original FORTE GOLPE con Miel Bo...,S/ 4.20 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,125.0,g,Trigo Atómico Original FORTE GOLPE con Miel Bo,4.2,plaza_vea,Bolsa 125g,,CHOROS (CON VALVA)
Galletas CASINO Rellenas con Crema Sabor a Fre...,S/ 4.50 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,6.0,un,Galletas CASINO Rellenas con Crema Sabor a Fre,4.5,plaza_vea,Paquete 6un,,CHOROS (CON VALVA)
Galletas CASINO Rellenas con Crema Sabor a Cho...,S/ 4.50 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,6.0,un,Galletas CASINO Rellenas con Crema Sabor a Cho,4.5,plaza_vea,Paquete 6un,,CHOROS (CON VALVA)
Bizcocho Relleno con Manjar CHOCMAN Paquete 6u...,S/ 4.50 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,6.0,un,Bizcocho Relleno con Manjar CHOCMAN Paquete 6u,4.5,plaza_vea,Paquete 6un,,CHOROS (CON VALVA)
Galletas CASINO Rellenas con Crema Sabor a Vai...,S/ 4.50 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,6.0,un,Galletas CASINO Rellenas con Crema Sabor a Vai,4.5,plaza_vea,Paquete 6un,,CHOROS (CON VALVA)
Galletas COSTA Choco Chips Paquete 6u 34g.,S/ 4.50,vega,CHOROS (CON VALVA),2024-12-05 12:16:24.314898,34.0,g,Galletas COSTA Choco Chips Paquete 6u .,4.5,vega,,Costa,CHOROS (CON VALVA)
Galletas COSTA Choco Donuts Chocolate con leche Paquete 6u 33g.,S/ 4.50,vega,CHOROS (CON VALVA),2024-12-05 12:16:24.314898,33.0,g,Galletas COSTA Choco Donuts Chocolate con leche Paquete 6u .,4.5,vega,,Costa,CHOROS (CON VALVA)
Panetón con Pasas y Frutas Confitadas TODINNIT...,S/ 4.60 un,plaza_vea,CHOROS (CON VALVA),2024-12-05 14:58:51.563693,85.0,g,Panetón con Pasas y Frutas Confitadas TODINNIT,4.6,plaza_vea,Caja 85g,,CHOROS (CON VALVA)
