description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Cocoa WINTERS Reforzada Bolsa 40g,Winter'S,40.0,g,3.7,vega,2024-12-05 13:27:03.914047,COCOA EN POLVO,1.0,kg,92.5
Bebida Instantánea en Polvo Sabor Chocolate Kiwigen Sobre 90 gr,,90.0,g,6.6,wong,2024-12-05 19:29:42.410647,COCOA EN POLVO,1.0,kg,73.33333333333333
Cocoa en Polvo Winter's La Abuelita 150g,,150.0,g,6.7,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,44.66666666666667
Cocoa Timonel Bolsa 160g,Timonel,160.0,g,8.9,vega,2024-12-05 13:27:03.914047,COCOA EN POLVO,1.0,kg,55.625
7 Semillas en Polvo Miskísimoo 184g,,184.0,g,10.1,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,54.891304347826086
7 Semillas en Polvo Miskísimoo 184g,,184.0,g,10.4,wong,2024-12-05 19:29:42.410647,COCOA EN POLVO,1.0,kg,56.52173913043479
Alimento Granulado MILO Activ - Go Doypack 190g,Milo,190.0,g,10.5,vega,2024-12-05 13:27:03.914047,COCOA EN POLVO,1.0,kg,55.26315789473685
Fortificante CHOCOLISTO Winter's Chocolate Frasco 300gr,Winter'S,300.0,g,10.9,vega,2024-12-05 13:27:03.914047,COCOA EN POLVO,1.0,kg,36.333333333333336
Fortificante NESQUIK Sabor a Chocolate Lata 380g,Nesquik,380.0,g,11.2,vega,2024-12-05 13:27:03.914047,COCOA EN POLVO,1.0,kg,29.473684210526315
Bebida Instantánea en Polvo Kiwigen Sabor Vainilla 180g,,180.0,g,12.1,wong,2024-12-05 19:29:42.410647,COCOA EN POLVO,1.0,kg,67.22222222222221
Bebida Instantánea en Polvo Kiwigen Sabor a Fresa 180g,,180.0,g,12.1,wong,2024-12-05 19:29:42.410647,COCOA EN POLVO,1.0,kg,67.22222222222221
Bebida Instantánea en Polvo Kiwigen Sabor a Fresa 180g,,180.0,g,12.1,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,67.22222222222221
Bebida Instantánea en Polvo Kiwigen Sabor Vainilla 180g,,180.0,g,12.1,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,67.22222222222221
Bebida Instantánea en Polvo Kiwigen Sabor Chocolate 180g,,180.0,g,12.1,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,67.22222222222221
Alimento En Polvo Con Avena Chocoso Cuisine&Co Doypack 380 g,,380.0,g,12.5,wong,2024-12-05 19:29:42.410647,COCOA EN POLVO,1.0,kg,32.89473684210527
Cocoa Winters 150g,WINTER'S,150.0,g,13.5,tottus,2024-12-05 12:46:05.292356,COCOA EN POLVO,1.0,kg,90.0
Alimento Granulado MILO Activ - Go Doypack 350g,Milo,350.0,g,13.9,vega,2024-12-05 13:27:03.914047,COCOA EN POLVO,1.0,kg,39.714285714285715
Cocoa Orgánica de 170 g,MACADOR,170.0,g,14.9,tottus,2024-12-05 12:46:05.292356,COCOA EN POLVO,1.0,kg,87.6470588235294
Cocoa WINTER'S Pote 180gr,Winter'S,180.0,g,15.0,vega,2024-12-05 13:27:03.914047,COCOA EN POLVO,1.0,kg,83.33333333333333
Bebida Nutricional en Polvo Andean Chocolate Nunatura Doypack 200 g,,200.0,g,16.0,wong,2024-12-05 19:29:42.410647,COCOA EN POLVO,1.0,kg,80.0
Bebida Nutricional en Polvo con Cacao Mornings Ecoandino Doypack 200 g,,200.0,g,17.4,wong,2024-12-05 19:29:42.410647,COCOA EN POLVO,1.0,kg,87.0
COCOA WINTERS X 180G,WINTER'S,180.0,g,17.5,tottus,2024-12-05 12:46:05.292356,COCOA EN POLVO,1.0,kg,97.22222222222221
Alimento Granulado MILO Activ-go Lata 380gr,Milo,380.0,g,19.2,vega,2024-12-05 13:27:03.914047,COCOA EN POLVO,1.0,kg,50.526315789473685
Cacao en Polvo Donofrio 150g,,150.0,g,19.5,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,130.0
Cacao en Polvo Donofrio 150g,,150.0,g,19.7,wong,2024-12-05 19:29:42.410647,COCOA EN POLVO,1.0,kg,131.33333333333334
Cocoa Orgánico 230 g,MACADOR,230.0,g,19.9,tottus,2024-12-05 12:46:05.292356,COCOA EN POLVO,1.0,kg,86.52173913043477
Bebida Nutricional en Polvo Andean Chocolate Nunatura Doypack 350 g,,350.0,g,20.9,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,59.71428571428571
Bebida Nutricional en Polvo Andean Chocolate Nunatura Doypack 350 g,,350.0,g,21.5,wong,2024-12-05 19:29:42.410647,COCOA EN POLVO,1.0,kg,61.42857142857143
Bebida Instantánea en Polvo Sabor Fresa Kiwigen Lata 400 gr,,400.0,g,23.1,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,57.75
Bebida Instantánea en Polvo Sabor Vainilla Kiwigen Lata 400 gr,,400.0,g,23.1,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,57.75
Bebida Instantánea en Polvo Sabor Chocolate Kiwigen Lata 400 gr,,400.0,g,23.1,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,57.75
Bebida Instantánea en Polvo Sabor Fresa Kiwigen Lata 400 gr,,400.0,g,23.5,wong,2024-12-05 19:29:42.410647,COCOA EN POLVO,1.0,kg,58.75
Cocoa Winters 360 g,WINTER'S,360.0,g,28.9,tottus,2024-12-05 12:46:05.292356,COCOA EN POLVO,1.0,kg,80.27777777777777
Bebida Instantánea en Polvo Sin Azúcar Kiwigen Golden Lata 550 g,,550.0,g,42.7,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,77.63636363636364
Cocoa WINTER'S Reforzada Display 50u Bolsa 10g,Winter'S,10.0,g,48.5,vega,2024-12-05 13:27:03.914047,COCOA EN POLVO,1.0,kg,4850.0
Cocoa en Polvo Winter's 900g,,900.0,g,62.0,metro,2024-12-05 16:51:17.464295,COCOA EN POLVO,1.0,kg,68.88888888888889
Cocoa WINTERS Doypack 900g,Winter'S,900.0,g,63.5,vega,2024-12-05 13:27:03.914047,COCOA EN POLVO,1.0,kg,70.55555555555556
