description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Culantro BELL'S Bolsa 60g,,60.0,g,1.99,plaza_vea,2024-12-05 15:49:12.214018,CULANTRO,60.0,g,1.99
Salsa de Culantro 100 g,SIBARITA,100.0,g,2.7,tottus,2024-12-05 12:33:23.145882,CULANTRO,100.0,g,2.7
Culantro BADIA Deshidratado Bolsa 7.1g,,7.1,g,4.4,plaza_vea,2024-12-05 15:49:12.214018,CULANTRO,7.1,g,4.4
Culantro molido 190 g,TOTTUS,190.0,g,5.3,tottus,2024-12-05 12:33:23.145882,CULANTRO,190.0,g,5.3
Culantro en Pasta Wong Pote 250 g,,250.0,g,7.5,metro,2024-12-05 16:32:50.409196,CULANTRO,250.0,g,7.5
Culantro en Pasta Pote 250 g,,250.0,g,8.2,metro,2024-12-05 16:32:50.409196,CULANTRO,250.0,g,8.2
Culantro en Pasta Wong Pote 250 g,,250.0,g,9.5,wong,2024-12-05 19:09:27.547472,CULANTRO,250.0,g,9.5
Salsa De Culantro Con Espinaca Culantrito Sibarita Doypack 250 g,,250.0,g,9.8,metro,2024-12-05 16:32:50.409196,CULANTRO,250.0,g,9.8
Salsa De Culantro Con Espinaca Culantrito Sibarita Doypack 250 g,,250.0,g,9.8,wong,2024-12-05 19:09:27.547472,CULANTRO,250.0,g,9.8
Salsa de Culantro SIBARITA Culantrito Doypack ...,,550.0,g,15.2,plaza_vea,2024-12-05 15:49:12.214018,CULANTRO,550.0,g,15.2
Sazonador Goya Culantro y Achiote 40g,,40.0,g,15.4,wong,2024-12-05 19:09:27.547472,CULANTRO,40.0,g,15.4
Salpimienta Culantro y Limón Badia 227g,,227.0,g,20.1,wong,2024-12-05 19:09:27.547472,CULANTRO,227.0,g,20.1
