description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Chocolate con Leche y Cereal Vizzio Crunch 24g,S/ 1.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,24.0,g,Chocolate con Leche y Cereal Vizzio Crunch,1.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche y Maní Vizzio Maní 24g,S/ 1.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,24.0,g,Chocolate con Leche y Maní Vizzio Maní,1.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolates Rellenos Vizzio Crunch 21g,S/ 1.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,21.0,g,Chocolates Rellenos Vizzio Crunch,1.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate SUBLIME Galleta y con Maní Empaque 28g,S/ 1.60,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,28.0,g,Chocolate SUBLIME Galleta y con Maní Empaque,1.6,vivanda,NESTLE,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Vizzio Costa 21g,S/ 1.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,21.0,g,Chocolate Vizzio Costa,1.7,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Sin Azúcares Añadidos Triángulo Barra 17 g (Venta x Unidad),S/ 1.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,17.0,g,Chocolate con Leche Sin Azúcares Añadidos Triángulo Barra  (Venta ad),1.7,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90g,S/ 2.60,vega,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 13:08:42.436424,90.0,g,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta,2.6,vega,Sol Del Cuzco,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90gr,S/ 2.60,vega,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 13:08:42.436424,90.0,g,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta r,2.6,vega,Sol Del Cuzco,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Triángulo Barra 30 g,S/ 2.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,30.0,g,Chocolate con Leche Triángulo Barra,2.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza SOL DEL CUSCO Canela y Clavo Tableta 90g,S/ 2.90,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,90.0,g,Chocolate para Taza SOL DEL CUSCO Canela y Clavo Tableta,2.9,vivanda,SOL DEL CUZCO,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Bitter con Maní 41% Cacao Sublime 38g,S/ 3.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,38.0,g,Chocolate Bitter con Maní 41% Cacao Sublime,3.6,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Bitter con Maní 41% Cacao Sublime 38g,S/ 3.60,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,38.0,g,Chocolate Bitter con Maní 41% Cacao Sublime,3.6,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Blanco con Maní Sublime Sonrisa 38g,S/ 3.70,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,38.0,g,Chocolate Blanco con Maní Sublime Sonrisa,3.7,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Sublime Sonrisa 38g,S/ 3.70,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,38.0,g,Chocolate con Leche Sublime Sonrisa,3.7,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Crema de Maní Princesa Tableta 30 g,S/ 3.80,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,30.0,g,Chocolate con Crema de Maní Princesa Tableta,3.8,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Sublime Sonrisa Sin Azúcares 38g,S/ 3.99,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,38.0,g,Chocolate Sublime Sonrisa Sin Azúcares,3.99,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate de Leche Snickers 53g,S/ 3.99,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,53.0,g,Chocolate de Leche Snickers,3.99,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Hershey's Tableta 40 g,S/ 3.99,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,40.0,g,Chocolate con Leche Hershey's Tableta,3.99,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Mont Blanc Mix de Nueces 50g,S/ 4.00,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,50.0,g,Chocolate con Leche Mont Blanc Mix de Nueces,4.0,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate M&M Peanut Bolsa 49.3g,S/ 4.00,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,49.3,g,Chocolate M&M Peanut Bolsa,4.0,vivanda,M&M,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Hershey's Cookies 'n' Creme 43g,S/ 4.20,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,43.0,g,Chocolate con Leche Hershey's Cookies 'n' Creme,4.2,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Hershey's 43g,S/ 4.20,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,43.0,g,Chocolate con Leche Hershey's,4.2,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Confitado Chin Chin 45g,S/ 4.40,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,45.0,g,Chocolate con Leche Confitado Chin Chin,4.4,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Vizzio Crunch 45g,S/ 4.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,45.0,g,Chocolate Vizzio Crunch,4.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Confitado m&m's Peanut 49.3g,S/ 4.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,49.3,g,Chocolate Confitado m&m's Peanut,4.6,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate de Leche Milky Way 53g,S/ 4.60,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,53.0,g,Chocolate de Leche Milky Way,4.6,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate M&M Peanut Butter Mars Contenido 46.2 g,S/ 4.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,46.2,g,Chocolate M&M Peanut Butter Mars Contenido,4.6,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
