description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Duraznos en Mitades 820 g,S/ 6.50,tottus,DURAZNO EN CONSERVA,2024-12-05 12:07:52.619285,820.0,g,Duraznos en Mitades,6.5,tottus,,TOTTUS,DURAZNO EN CONSERVA
Durazno en Mitades VEGA Lata 820g,S/ 7.20,vega,DURAZNO EN CONSERVA,2024-12-05 12:44:24.173342,820.0,g,Durazno en Mitades VEGA Lata,7.2,vega,,Vega,DURAZNO EN CONSERVA
Durazno en Mitades Metro Lata 820g,S/ 7.50,metro,DURAZNO EN CONSERVA,2024-12-05 16:06:50.512881,820.0,g,Durazno en Mitades Metro Lata,7.5,metro,,,DURAZNO EN CONSERVA
Duraznos En Almíbar Wong Lata 820 g,S/ 7.50,wong,DURAZNO EN CONSERVA,2024-12-05 18:41:55.878356,820.0,g,Duraznos En Almíbar Wong Lata,7.5,wong,,,DURAZNO EN CONSERVA
Duraznos en Almíbar Cuisine & Co 820g,S/ 7.90,metro,DURAZNO EN CONSERVA,2024-12-05 16:06:50.512881,820.0,g,Duraznos en Almíbar Cuisine & Co,7.9,metro,,,DURAZNO EN CONSERVA
Durazno en Mitades TIMONEL Lata 820g,S/ 8.30 2%,vega,DURAZNO EN CONSERVA,2024-12-05 12:44:24.173342,820.0,g,Durazno en Mitades TIMONEL Lata,8.3,vega,,Timonel,DURAZNO EN CONSERVA
Duraznos en Almíbar 820 g,S/ 8.50,tottus,DURAZNO EN CONSERVA,2024-12-05 12:07:52.619285,820.0,g,Duraznos en Almíbar,8.5,tottus,,ARICA,DURAZNO EN CONSERVA
Duraznos Deshidratados Wel-B 14g,S/ 8.70,wong,DURAZNO EN CONSERVA,2024-12-05 18:41:55.878356,14.0,g,Duraznos Deshidratados Wel-B,8.7,wong,,,DURAZNO EN CONSERVA
Duraznos Deshidratados Wel-B 14g,S/ 8.70,metro,DURAZNO EN CONSERVA,2024-12-05 16:06:50.512881,14.0,g,Duraznos Deshidratados Wel-B,8.7,metro,,,DURAZNO EN CONSERVA
Conservas De Durazno x 820 g,S/ 8.90,tottus,DURAZNO EN CONSERVA,2024-12-05 12:07:52.619285,820.0,g,Conservas De Durazno x,8.9,tottus,,PULP,DURAZNO EN CONSERVA
Duraznos en Mitades Pulp 820g,S/ 8.90,metro,DURAZNO EN CONSERVA,2024-12-05 16:06:50.512881,820.0,g,Duraznos en Mitades Pulp,8.9,metro,,,DURAZNO EN CONSERVA
Durazno En Mitades Arica Contenido 820 g,S/ 9.90,metro,DURAZNO EN CONSERVA,2024-12-05 16:06:50.512881,820.0,g,Durazno En Mitades Arica Contenido,9.9,metro,,,DURAZNO EN CONSERVA
Duraznos en Conserva PULP Lata 820gr,S/ 10.50,vega,DURAZNO EN CONSERVA,2024-12-05 12:44:24.173342,820.0,g,Duraznos en Conserva PULP Lata r,10.5,vega,,Pulp,DURAZNO EN CONSERVA
Duraznos en Almíbar Aconcagua 820g,S/ 10.90,wong,DURAZNO EN CONSERVA,2024-12-05 18:41:55.878356,820.0,g,Duraznos en Almíbar Aconcagua,10.9,wong,,,DURAZNO EN CONSERVA
Duraznos en Almíbar 822 g,S/ 10.90,tottus,DURAZNO EN CONSERVA,2024-12-05 12:07:52.619285,822.0,g,Duraznos en Almíbar,10.9,tottus,,ACONCAGUA,DURAZNO EN CONSERVA
Conserva de Durazno en Mitades ACONCAGUA en Al...,S/ 10.90 un,plaza_vea,DURAZNO EN CONSERVA,2024-12-05 15:24:55.188832,822.0,g,Conserva de Durazno en Mitades ACONCAGUA en Al,10.9,plaza_vea,Lata 822g,,DURAZNO EN CONSERVA
Duraznos en Mitades Pulp 820g,S/ 11.00,wong,DURAZNO EN CONSERVA,2024-12-05 18:41:55.878356,820.0,g,Duraznos en Mitades Pulp,11.0,wong,,,DURAZNO EN CONSERVA
Duraznos en Almíbar Dos Caballos 820g,S/ 11.50,wong,DURAZNO EN CONSERVA,2024-12-05 18:41:55.878356,820.0,g,Duraznos en Almíbar Dos Caballos,11.5,wong,,,DURAZNO EN CONSERVA
Duraznos en Almíbar Dos Caballos 820g,S/ 11.50,metro,DURAZNO EN CONSERVA,2024-12-05 16:06:50.512881,820.0,g,Duraznos en Almíbar Dos Caballos,11.5,metro,,,DURAZNO EN CONSERVA
Durazno en Mitades ACONCAGUA Lata 822g,S/ 12.30,vega,DURAZNO EN CONSERVA,2024-12-05 12:44:24.173342,822.0,g,Durazno en Mitades ACONCAGUA Lata,12.3,vega,,Aconcagua,DURAZNO EN CONSERVA
Durazno en Mitades TIMONEL Lata 3Kg,S/ 30.10,vega,DURAZNO EN CONSERVA,2024-12-05 12:44:24.173342,3.0,kg,Durazno en Mitades TIMONEL Lata,30.1,vega,,Timonel,DURAZNO EN CONSERVA
Caja Duraznos Mitades 12 Unidades x 820 gr,S/ 78,tottus,DURAZNO EN CONSERVA,2024-12-05 12:07:52.619285,12.0,un,Caja Duraznos Mitades ades x r,78.0,tottus,,TOTTUS,DURAZNO EN CONSERVA
Caja Durazno En Mitades 415 g x 24 Unidades,S/ 141.60,tottus,DURAZNO EN CONSERVA,2024-12-05 12:07:52.619285,415.0,g,Caja Durazno En Mitades  x ades,141.6,tottus,,TOTTUS,DURAZNO EN CONSERVA
