description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Azúcar Rubia Máxima 1kg,,1.0,kg,4.4,metro,2024-12-05 16:25:44.405629,EDULCORANTE,1.0,kg,4.4
Azúcar Rubia Wong 1kg,,1.0,kg,4.7,wong,2024-12-05 19:03:33.739370,EDULCORANTE,1.0,kg,4.7
Azúcar Rubia Cuisine & Co 1kg,,1.0,kg,4.8,metro,2024-12-05 16:25:44.405629,EDULCORANTE,1.0,kg,4.8
Azúcar Rubia Cuisine & Co 1kg,,1.0,kg,4.9,wong,2024-12-05 19:03:33.739370,EDULCORANTE,1.0,kg,4.9
Azúcar Blanca Metro Bolsa 1 kg,,1.0,kg,4.99,metro,2024-12-05 16:25:44.405629,EDULCORANTE,1.0,kg,4.99
Azúcar Rubia Dulfina Bolsa 1 kg,,1.0,kg,5.1,metro,2024-12-05 16:25:44.405629,EDULCORANTE,1.0,kg,5.1
Azúcar Rubia Dulfina Bolsa 1 kg,,1.0,kg,5.1,wong,2024-12-05 19:03:33.739370,EDULCORANTE,1.0,kg,5.1
Azúcar Blanca Dulfina Bolsa1 kg,,1.0,kg,5.8,metro,2024-12-05 16:25:44.405629,EDULCORANTE,1.0,kg,5.8
Azúcar Blanca Paramonga Bolsa 1 kg,,1.0,kg,5.8,wong,2024-12-05 19:03:33.739370,EDULCORANTE,1.0,kg,5.8
Azúcar blanca light Onza Con Stevia Doy Pack 500 g,,500.0,g,7.3,wong,2024-12-05 19:03:33.739370,EDULCORANTE,500.0,g,7.3
Azúcar Blanca Con Stevia Cuisine&Co Doypack 500 g,,500.0,g,7.9,wong,2024-12-05 19:03:33.739370,EDULCORANTE,500.0,g,7.9
Azúcar Rubia Onza 60un,,60.0,un,8.2,metro,2024-12-05 16:25:44.405629,EDULCORANTE,60.0,un,8.2
Azúcar Rubia Onza 60un,,60.0,un,8.3,wong,2024-12-05 19:03:33.739370,EDULCORANTE,60.0,un,8.3
Azúcar Rubia Wong Bolsa 2 kg,,2.0,kg,8.9,wong,2024-12-05 19:03:33.739370,EDULCORANTE,2.0,kg,8.9
Panela Orgánica de Piura Cuisine & Co Doypack 350 g,,350.0,g,8.9,wong,2024-12-05 19:03:33.739370,EDULCORANTE,350.0,g,8.9
Azúcar Rubia Dulfina Bolsa 2 kg,,2.0,kg,9.5,metro,2024-12-05 16:25:44.405629,EDULCORANTE,2.0,kg,9.5
Azúcar Rubia Dulfina Bolsa 2 kg,,2.0,kg,9.6,wong,2024-12-05 19:03:33.739370,EDULCORANTE,2.0,kg,9.6
Azúcar Blanca Metro Bolsa 2 Kg,,2.0,kg,9.8,metro,2024-12-05 16:25:44.405629,EDULCORANTE,2.0,kg,9.8
Azúcar Blanca Wong Bolsa 2 kg,,2.0,kg,9.9,wong,2024-12-05 19:03:33.739370,EDULCORANTE,2.0,kg,9.9
Azúcar Morena Light Incauca Bolsa 454 g,,454.0,g,10.6,wong,2024-12-05 19:03:33.739370,EDULCORANTE,454.0,g,10.6
Azúcar Blanca Light Incauca Bolsa 454 g,,454.0,g,10.6,wong,2024-12-05 19:03:33.739370,EDULCORANTE,454.0,g,10.6
Azúcar Blanca Refinada Dulfina Bolsa 2 kg,,2.0,kg,10.7,metro,2024-12-05 16:25:44.405629,EDULCORANTE,2.0,kg,10.7
Panela Orgánica Panela de Piura Caja 400 g,,400.0,g,10.8,wong,2024-12-05 19:03:33.739370,EDULCORANTE,400.0,g,10.8
Panela Orgánica Onza 50un,,50.0,un,10.9,wong,2024-12-05 19:03:33.739370,EDULCORANTE,50.0,un,10.9
Azúcar Blanca Refinada Dulfina Bolsa 2 kg,,2.0,kg,10.9,wong,2024-12-05 19:03:33.739370,EDULCORANTE,2.0,kg,10.9
Endulzante en Polvo Stevia Cuisine & Co 50un,,50.0,un,11.9,wong,2024-12-05 19:03:33.739370,EDULCORANTE,50.0,un,11.9
Endulzante en Polvo Stevia Cuisine & Co 50un,,50.0,un,11.9,metro,2024-12-05 16:25:44.405629,EDULCORANTE,50.0,un,11.9
Panela Granulada Ecopanela 1kg,,1.0,kg,13.9,metro,2024-12-05 16:25:44.405629,EDULCORANTE,1.0,kg,13.9
Panela Orgánica Cuisine & Co 1kg,,1.0,kg,14.6,wong,2024-12-05 19:03:33.739370,EDULCORANTE,1.0,kg,14.6
Stevia en Polvo Cuisine & Co Caja 50 unid,,50.0,un,15.1,wong,2024-12-05 19:03:33.739370,EDULCORANTE,50.0,un,15.1
Stevia en Polvo Cuisine & Co Caja 50 unid,,50.0,un,15.1,metro,2024-12-05 16:25:44.405629,EDULCORANTE,50.0,un,15.1
Fruto del Monje Vía 50un,,50.0,un,16.5,metro,2024-12-05 16:25:44.405629,EDULCORANTE,50.0,un,16.5
Azúcar de Coco Mi Tierra 250g,,250.0,g,17.1,wong,2024-12-05 19:03:33.739370,EDULCORANTE,250.0,g,17.1
Endulzante en Polvo Vida Stevia Libre de Calorías Caja 50 Unid,,50.0,un,17.9,metro,2024-12-05 16:25:44.405629,EDULCORANTE,50.0,un,17.9
Endulzante en Polvo Vida Stevia Libre de Calorías Caja 50 Unid,,50.0,un,18.1,wong,2024-12-05 19:03:33.739370,EDULCORANTE,50.0,un,18.1
Azúcar Morena Light Incauca 850g,,850.0,g,18.6,wong,2024-12-05 19:03:33.739370,EDULCORANTE,850.0,g,18.6
Endulzante Natural Stevita Líquido 80ml,,80.0,ml,19.1,wong,2024-12-05 19:03:33.739370,EDULCORANTE,80.0,ml,19.1
Endulzante Stevia & Panela Onza 50un,,50.0,un,19.2,wong,2024-12-05 19:03:33.739370,EDULCORANTE,50.0,un,19.2
Edulcorante BELL'S Baja en Calorías Caja 100un,,100.0,un,19.6,plaza_vea,2024-12-05 15:43:40.931773,EDULCORANTE,100.0,un,19.6
Endulzante en Polvo Stevia Cuisine & Co 50g,,50.0,g,20.1,metro,2024-12-05 16:25:44.405629,EDULCORANTE,50.0,g,20.1
Endulzante de Stevia & Yacón Onza 50un,,50.0,un,20.2,wong,2024-12-05 19:03:33.739370,EDULCORANTE,50.0,un,20.2
Stevia Nutrastevia Tableta 150 Unidades,,150.0,un,20.8,wong,2024-12-05 19:03:33.739370,EDULCORANTE,150.0,un,20.8
Azúcar Rubia Metro 5kg,,5.0,kg,20.8,metro,2024-12-05 16:25:44.405629,EDULCORANTE,5.0,kg,20.8
Azúcar Rubia Cuisine & Co 5kg,,5.0,kg,21.5,metro,2024-12-05 16:25:44.405629,EDULCORANTE,5.0,kg,21.5
Endulzante en Polvo Stevia Cuisine & Co Caja 100 unid,,100.0,un,21.7,wong,2024-12-05 19:03:33.739370,EDULCORANTE,100.0,un,21.7
Endulzante con Sucralosa Cuisine & Co 100g,,100.0,g,21.9,wong,2024-12-05 19:03:33.739370,EDULCORANTE,100.0,g,21.9
Edulcorante en Tabletas Sugafor 110un,,110.0,un,22.1,wong,2024-12-05 19:03:33.739370,EDULCORANTE,110.0,un,22.1
Endulzante Líquido Stevia Cuisine & Co Botella 100 ml,,100.0,ml,22.1,metro,2024-12-05 16:25:44.405629,EDULCORANTE,100.0,ml,22.1
Endulzante Líquido Stevia Cuisine & Co Botella 100 ml,,100.0,ml,22.1,wong,2024-12-05 19:03:33.739370,EDULCORANTE,100.0,ml,22.1
Edulcorante en Tabletas Sugafor 110un,,110.0,un,22.5,metro,2024-12-05 16:25:44.405629,EDULCORANTE,110.0,un,22.5
Azúcar Rubia Dulfina Bolsa 5 kg,,5.0,kg,22.8,metro,2024-12-05 16:25:44.405629,EDULCORANTE,5.0,kg,22.8
Endulzante en Tabletas Splenda Libre de Calorías Dispenser 100 Unid,,100.0,un,23.4,wong,2024-12-05 19:03:33.739370,EDULCORANTE,100.0,un,23.4
Azúcar Rubia Paramonga Bolsa 5 kg,,5.0,kg,23.5,wong,2024-12-05 19:03:33.739370,EDULCORANTE,5.0,kg,23.5
