description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Salsa Culantrito con Espinaca Sobre 100 g,,100.0,g,2.7,metro,2024-12-05 16:08:44.537265,ESPINACA,100.0,g,2.7,ESPINACA
Concentrado de Espinaca y Albahaca Pomarola 110g,,110.0,g,3.5,metro,2024-12-05 16:08:44.537265,ESPINACA,110.0,g,3.5,ESPINACA
Espinaca Fresca Meza atado 500g,,500.0,g,3.8,metro,2024-12-05 16:08:44.537265,ESPINACA,500.0,g,3.8,ESPINACA
Espinaca Bebé Cuisine & Co 150g,,150.0,g,3.9,metro,2024-12-05 16:08:44.537265,ESPINACA,150.0,g,3.9,ESPINACA
Espinaca BELL'S Bolsa 350g,,350.0,g,3.99,plaza_vea,2024-12-05 15:26:45.450663,ESPINACA,350.0,g,3.99,ESPINACA
Salsa Culantrito con Espinaca Sobre 93.6 g,,93.6,g,4.1,metro,2024-12-05 16:08:44.537265,ESPINACA,93.6,g,4.1,ESPINACA
Espinaca Bebé BELL'S Bolsa 150g,,150.0,g,4.39,plaza_vea,2024-12-05 15:26:45.450663,ESPINACA,150.0,g,4.39,ESPINACA
Espinaca Bebé Frescas 150g,,150.0,g,4.8,metro,2024-12-05 16:08:44.537265,ESPINACA,150.0,g,4.8,ESPINACA
"Compota Smiley Kids Pera, Zapallito, Espinaca y Arroz 90g",,90.0,g,4.9,metro,2024-12-05 16:08:44.537265,ESPINACA,90.0,g,4.9,ESPINACA
Espinaca Baby Ecologic 150g,,150.0,g,4.9,metro,2024-12-05 16:08:44.537265,ESPINACA,150.0,g,4.9,ESPINACA
Fideos Spaguetti SANTA CATALINA Mediterráneo E...,,400.0,g,5.3,plaza_vea,2024-12-05 15:26:45.450663,ESPINACA,400.0,g,5.3,ESPINACA
Espinaca Picada en Porciones Congelada Green Food 400g,,400.0,g,5.52,metro,2024-12-05 16:08:44.537265,ESPINACA,400.0,g,5.52,ESPINACA
