description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Yogurt Yoguito con Probióticos sabor Fresa de 80 g,GLORIA,80.0,g,1.2,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,15.0
Yogurt GLORIA Batti Shake Fresa Vaso 120g,GLORIA,120.0,g,1.6,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,13.333333333333336
Yogurt GLORIA Frutado Fresa Vaso 120g,GLORIA,120.0,g,1.8,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,15.000000000000002
Mermelada Fresa x 90 g,GLORIA,90.0,g,1.9,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,21.11111111111111
ZERO LACTO FRESA 180G,GLORIA,180.0,g,1.9,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,10.555555555555555
Yogurt Frutado de Fresa de 120 g,GLORIA,120.0,g,1.9,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,15.833333333333334
Aguaymanto BELL'S Bandeja 100g,,100.0,g,1.99,plaza_vea,2024-12-05 15:20:28.208237,FRESA,1.0,kg,19.9
Yogurt GLORIA Parcialmente Descremado Sabor a Fresa y Plátano Botella 180g,GLORIA,180.0,g,2.1,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,11.666666666666666
Yogurt Bebible GLORIA Sabor a Fresa Botella 180g,GLORIA,180.0,g,2.1,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,11.666666666666666
GELATINA SABOR FRESA LIGHT X 22G,TOTTUS,22.0,g,2.9,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,131.81818181818184
Blueberries BELL'S FRESCOS Bandeja 100g,,100.0,g,3.29,plaza_vea,2024-12-05 15:20:28.208237,FRESA,1.0,kg,32.9
Quadry 6pack Fresa 174g,TOTTUS,174.0,g,3.3,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,18.96551724137931
Yogurt Battimix Fresa 146 g,GLORIA,146.0,g,3.5,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,23.972602739726028
MEZCLA POLVO GELATINA FRESA BOLSA X 120G,UMSHA,120.0,g,3.7,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,30.833333333333336
Gelatina UNIVERSAL Sabor a Fresa Caja 19g,UNIVERSAL,19.0,g,3.7,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,194.73684210526318
Pulpa de Naranja D'Marco Bolsa 500 g,,500.0,g,3.83,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,7.66
Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,UNIVERSAL,130.0,g,3.99,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,30.69230769230769
Gelatina sin Azúcar Sabor Fresa 19 g,UNIVERSAL,19.0,g,4.0,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,210.5263157894737
Gelatina Fresa 130 g,UNIVERSAL,130.0,g,4.0,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,30.769230769230766
Mermelada de Fresa Fanny Pack 227 g,,227.0,g,4.0,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,17.621145374449338
Aguaymanto Pelado BELL'S Bandeja 200g,,200.0,g,4.29,plaza_vea,2024-12-05 15:20:28.208237,FRESA,1.0,kg,21.45
Yogurt Zero Lactosa GLORIA Sabor a Fresa Botella 500g,GLORIA,500.0,g,4.4,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,8.8
ZERO LACTO FRESA 500G,GLORIA,500.0,g,4.5,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,9.0
Mermelada de Fresa Pote 200g,LA FLORENCIA,200.0,g,4.6,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,23.0
Arándano Intipa Foods Bandeja 150 g,,150.0,g,4.7,metro,2024-12-05 16:02:03.681420,FRESA,1.0,kg,31.333333333333336
Gelatina ROYAL Sabor a Fresa Bolsa 160g,ROYAL,160.0,g,5.0,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,31.25
YOGURT FRUTADO FRESA X 160 G,DANLAC,160.0,g,5.0,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,31.25
Gelatina en Polvo Sabor a Fresa Sobre 160 g,ROYAL,160.0,g,5.0,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,31.25
Gelatina Extra Colágeno Sabor Fresa 30 g,UNIVERSAL,30.0,g,5.0,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,166.66666666666669
Pulpa Congelada de Piña Natifrut 250g,,250.0,g,5.2,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,20.8
Gelatina UNIVERSAL Fresa con Stevia Bolsa 19g,UNIVERSAL,19.0,g,5.2,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,273.68421052631584
Yogurt Bebible Sabor Fresa 1 Kg,YOLEIT,1.0,kg,5.5,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,5.5
Fresa Entera Green Food 400g,,400.0,g,5.59,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,13.975
Yogurt +Pro Fresa Vakimu 160 g,TOTTUS,160.0,g,5.9,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,36.875
Arándanos Hortifrut 125g,,125.0,g,5.99,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,47.92
Yogurt VAKIMU +Pro Sabor a Fresa Pote 160g,VAKIMU,160.0,g,6.0,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,37.5
