description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Trigo Mote Tesoro Del Campo Bolsa 500 g,S/ 3.70,metro,GARBANZO,2024-12-05 16:19:35.480681,500.0,g,Trigo Mote Tesoro Del Campo Bolsa,3.7,metro,,,GARBANZO
Garbanzo VEGA Bolsa 400g,S/ 3.80,vega,GARBANZO,2024-12-05 12:58:39.124131,400.0,g,Garbanzo VEGA Bolsa,3.8,vega,,Vega,GARBANZO
Trigo Mote Cuisine & Co 500g,S/ 3.90,wong,GARBANZO,2024-12-05 18:56:24.491716,500.0,g,Trigo Mote Cuisine & Co,3.9,wong,,,GARBANZO
Garbanzo TIMONEL Bolsa 400g,S/ 4.00,vega,GARBANZO,2024-12-05 12:58:39.124131,400.0,g,Garbanzo TIMONEL Bolsa,4.0,vega,,Timonel,GARBANZO
Palitos de Quinua y Garbanzo con Finas Hierbas Q Sticks Wasi Bolsa 30 g,S/ 4.10,wong,GARBANZO,2024-12-05 18:56:24.491716,30.0,g,Palitos de Quinua y Garbanzo con Finas Hierbas Q Sticks Wasi Bolsa,4.1,wong,,,GARBANZO
Trigo Mote Costeño 500g,S/ 4.40,metro,GARBANZO,2024-12-05 16:19:35.480681,500.0,g,Trigo Mote Costeño,4.4,metro,,,GARBANZO
Lenteja Máxima 500g,S/ 4.90,metro,GARBANZO,2024-12-05 16:19:35.480681,500.0,g,Lenteja Máxima,4.9,metro,,,GARBANZO
Lenteja Cuisine & Co 500g,S/ 4.90,metro,GARBANZO,2024-12-05 16:19:35.480681,500.0,g,Lenteja Cuisine & Co,4.9,metro,,,GARBANZO
Lenteja Bebé Cuisine & Co 500g,S/ 4.90,metro,GARBANZO,2024-12-05 16:19:35.480681,500.0,g,Lenteja Bebé Cuisine & Co,4.9,metro,,,GARBANZO
Garbanzos BELL'S Bolsa 500g,S/ 4.90,vivanda,GARBANZO,2024-12-05 22:15:39.204700,500.0,g,Garbanzos BELL'S Bolsa,4.9,vivanda,,BELL'S,GARBANZO
Garbanzos BELL'S Bolsa 500g,S/ 4.90 un,plaza_vea,GARBANZO,2024-12-05 15:37:07.226774,500.0,g,Garbanzos BELL'S Bolsa,4.9,plaza_vea,Bolsa 500g,,GARBANZO
Garbanzo Maixma Bolsa 500 g,S/ 4.99,metro,GARBANZO,2024-12-05 16:19:35.480681,500.0,g,Garbanzo Maixma Bolsa,4.99,metro,,,GARBANZO
Morón Costeño 500g,S/ 5.30,wong,GARBANZO,2024-12-05 18:56:24.491716,500.0,g,Morón Costeño,5.3,wong,,,GARBANZO
Garbanzo COSECHA ANDINA Bolsa 500g,S/ 5.30,vega,GARBANZO,2024-12-05 12:58:39.124131,500.0,g,Garbanzo COSECHA ANDINA Bolsa,5.3,vega,,COSECHA ANDINA,GARBANZO
