description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Granadilla Oxapampa x unidad,,1.0,un,0.9,plaza_vea,2024-12-05 15:20:45.943330,GRANADILLA,1.0,un,0.9
Granadilla Extra x unid,,1.0,un,1.29,wong,2024-12-05 18:36:46.419955,GRANADILLA,1.0,un,1.29
Citrus Granadilla TAMPICO Botella 500ml,,500.0,ml,1.7,plaza_vea,2024-12-05 15:20:45.943330,GRANADILLA,500.0,ml,1.7
Bebida Tampico Granadilla Punch Botella 500ml,,500.0,ml,1.7,wong,2024-12-05 18:36:46.419955,GRANADILLA,500.0,ml,1.7
Bebida Rehidratante Electrolight Granadilla Botella 475 ml,,475.0,ml,2.1,wong,2024-12-05 18:36:46.419955,GRANADILLA,475.0,ml,2.1
Yogurt Probiótico Laive Sbelt Granadilla y Linaza 946g,,946.0,g,6.3,wong,2024-12-05 18:36:46.419955,GRANADILLA,946.0,g,6.3
Pulpa de Granadilla Congelada Natifut 250g,,250.0,g,6.4,wong,2024-12-05 18:36:46.419955,GRANADILLA,250.0,g,6.4
Refresco ARUBA Granadilla Punch Botella 3L,,3.0,l,6.6,plaza_vea,2024-12-05 15:20:45.943330,GRANADILLA,3.0,l,6.6
Granadilla Tipo Exportación 4un.,,4.0,un,6.69,wong,2024-12-05 18:36:46.419955,GRANADILLA,4.0,un,6.69
Citrus Granadilla TAMPICO Botella 3L,,3.0,l,7.0,plaza_vea,2024-12-05 15:20:45.943330,GRANADILLA,3.0,l,7.0
Citrus Granadilla TAMPICO Botella 3L,TAMPICO,3.0,l,7.0,vivanda,2024-12-05 22:04:51.798843,GRANADILLA,3.0,l,7.0
Bebida Tampico Sabor Granadilla Punch Botella 3.78L,,3.78,l,11.9,wong,2024-12-05 18:36:46.419955,GRANADILLA,3.78,l,11.9
Pulpa de Granadilla Agro Selva 250g,,250.0,g,12.99,wong,2024-12-05 18:36:46.419955,GRANADILLA,250.0,g,12.99
Jarabe de Goma BURGOS Granadilla Botella 750ml,,750.0,ml,17.9,plaza_vea,2024-12-05 15:20:45.943330,GRANADILLA,750.0,ml,17.9
