description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Haba Verde,,0.5,kg,4.09,plaza_vea,2024-12-05 15:31:22.669503,HABA VERDE,0.5,kg,4.09
Maíz Pop Corn TESORO VERDE Bolsa 500g,TESORO VERDE,500.0,g,4.2,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,500.0,g,4.2
Salsa Roja CASA VERDE Doypack 160g,CASA VERDE,160.0,g,4.2,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,160.0,g,4.2
Aceitunas Verdes en Conserva OLIVALLE Deshuesadas Doypack 160g,OLIVALLE,160.0,g,4.2,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,160.0,g,4.2
Arveja Verde Partida INCATRAIL Bolsa 500g,INCATRAIL,500.0,g,4.29,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,500.0,g,4.29
Arveja Verde COSTEÑO Bolsa 500g,COSTENO,500.0,g,4.4,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,500.0,g,4.4
Habas Saladas BELL'S Táper 140g,BELL'S,140.0,g,4.4,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,140.0,g,4.4
Esponja Fibra Verde BOREAL Bolsa 3un,BOREAL,3.0,un,4.5,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,3.0,un,4.5
Crema De Rocoto CASA VERDE Doypack 75g,CASA VERDE,75.0,g,4.6,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,75.0,g,4.6
Ají Pollero CASA VERDE Doypack 75g,CASA VERDE,75.0,g,4.7,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,75.0,g,4.7
Frijol Panamito TESORO VERDE Bolsa 500g,TESORO VERDE,500.0,g,4.8,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,500.0,g,4.8
Arveja Verde VALLENORTE Bolsa 500g,VALLENORTE,500.0,g,4.9,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,500.0,g,4.9
Lentejita Bebé TESORO VERDE Bolsa 500g,TESORO VERDE,500.0,g,4.9,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,500.0,g,4.9
Salsa Huancaina CASA VERDE Doypack 75g,CASA VERDE,75.0,g,5.09,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,75.0,g,5.09
Quinua Bicolor CASA VERDE Listas para Comer Doypack 240g,CASAVERDE,240.0,g,7.5,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,240.0,g,7.5
Sacagrasa MR. MÚSCULO Verde Repuesto Doypack 500ml,MR MUSCULO,500.0,ml,7.7,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,500.0,ml,7.7
Habas Metro x kg,,1.0,kg,7.79,metro,2024-12-05 16:13:43.761860,HABA VERDE,1.0,kg,7.79
Salsa Verde Peruana CASA VERDE Frasco 190g,CASAVERDE,190.0,g,7.9,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,190.0,g,7.9
Bowl de Quinua con Salsa de Alcachofa y Pimiento CASA VERDE 225g,CASA VERDE,225.0,g,7.9,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,225.0,g,7.9
Habas x kg,,1.0,kg,7.99,metro,2024-12-05 16:13:43.761860,HABA VERDE,1.0,kg,7.99
Espárragos Verdes BELL'S FRESCOS Bandeja 300g,BELL'S FRESCOS,300.0,g,8.0,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,300.0,g,8.0
Aceitunas Verdes en Conserva VALDEPORRES Manzanilla con Hueso Frasco 370g,VALDEPORRES,370.0,g,8.9,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,370.0,g,8.9
