unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
,Pan para Hamburguesa 5un,S/ 3.00,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,5.0,un,Pan para Hamburguesa,3.0,wong,,HAMBURGUESA
,Arveja Partida 500 g,S/ 4,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,500.0,g,Arveja Partida,4.0,tottus,TOTTUS,HAMBURGUESA
,Arveja Partida 500 g,S/ 4.20,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,500.0,g,Arveja Partida,4.2,tottus,TESORO DEL CAMPO,HAMBURGUESA
Paquete 10un,Nuggets de Pollo San Fernando Paquete 10un,S/ 4.40 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,10.0,un,Nuggets de Pollo San Fernando Paquete,4.4,plaza_vea,,HAMBURGUESA
,CHIKI NUGGETS X 200 GR,S/ 4.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,200.0,g,CHIKI NUGGETS X R,4.9,tottus,REDONDOS,HAMBURGUESA
,Nuggets De Pollo (10 unidades),S/ 4.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,10.0,un,Nuggets De Pollo (ades),4.9,tottus,SAN FERNANDO,HAMBURGUESA
,Crispy Nuggets (10 unidades),S/ 4.95,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,10.0,un,Crispy Nuggets (ades),4.95,tottus,SAN FERNANDO,HAMBURGUESA
,Pan Hamburguesa LA FLORENCIA Bolsa 405g,S/ 5.00,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,405.0,g,Pan Hamburguesa LA FLORENCIA Bolsa,5.0,vivanda,LA FLORENCIA,HAMBURGUESA
Paquete 10un,Nuggets de Pollo Crispy San Fernando Paquete 1...,S/ 5 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,10.0,un,Nuggets de Pollo Crispy San Fernando Paquete 1,5.0,plaza_vea,,HAMBURGUESA
Bolsa 10un,Chiqui Nuggets REDONDOS Bolsa 270g,S/ 5.10 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,10.0,un,Chiqui Nuggets REDONDOS Bolsa,5.1,plaza_vea,,HAMBURGUESA
,NUGGETS PECHUGA X 180 GR,S/ 5.50,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,180.0,g,NUGGETS PECHUGA X R,5.5,tottus,REDONDOS,HAMBURGUESA
,Frijol Panamito 500 g,S/ 5.70,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,500.0,g,Frijol Panamito,5.7,tottus,TOTTUS,HAMBURGUESA
Bolsa 360g,Hamburguesa de Pollo REDONDOS Bolsa 360g,S/ 5.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,360.0,g,Hamburguesa de Pollo REDONDOS Bolsa,5.9,plaza_vea,,HAMBURGUESA
,HAMB. LA REDONDITA X 6 UNIDADES,S/ 5.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,6.0,un,HAMB. LA REDONDITA X ADES,5.9,tottus,REDONDOS,HAMBURGUESA
Bolsa 12un,Nuggets de Pechuga de Pollo REDONDOS Bolsa 12u...,S/ 5.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,12.0,un,Nuggets de Pechuga de Pollo REDONDOS Bolsa 12u,5.9,plaza_vea,,HAMBURGUESA
,Frijol Castilla Costeño 500 g,S/ 6.60,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,500.0,g,Frijol Castilla Costeño,6.6,tottus,COSTENO,HAMBURGUESA
,Dinonuggets 200 g (5 unidades),S/ 6.70,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,200.0,g,Dinonuggets  (ades),6.7,tottus,SAN FERNANDO,HAMBURGUESA
Paquete 5un,Nuggets de Pollo Dinosaurios San Fernando Paqu...,S/ 6.70 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,5.0,un,Nuggets de Pollo Dinosaurios San Fernando Paqu,6.7,plaza_vea,,HAMBURGUESA
,Nuggets Pechuga Pollo Chia Sin Freír 180 g,S/ 6.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,180.0,g,Nuggets Pechuga Pollo Chia Sin Freír,6.9,tottus,SAN FERNANDO,HAMBURGUESA
Bolsa 10un,Nuggets de Pechuga de Pollo con Chia SAN FERNA...,S/ 6.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,10.0,un,Nuggets de Pechuga de Pollo con Chia SAN FERNA,6.9,plaza_vea,,HAMBURGUESA
,Pan para Hamburguesa Cuisine & Co 400g,S/ 6.90,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,400.0,g,Pan para Hamburguesa Cuisine & Co,6.9,wong,,HAMBURGUESA
,Frijol Negro Costeño 500 g,S/ 7,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,500.0,g,Frijol Negro Costeño,7.0,tottus,COSTENO,HAMBURGUESA
,Hamburguesa de Carne x un,S/ 7.20,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,1.0,un,Hamburguesa de Carne,7.2,wong,,HAMBURGUESA
,Pan para Hamburguesa BELL’S Bolsa 8un,S/ 7.70,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,8.0,un,Pan para Hamburguesa BELL’S Bolsa,7.7,vivanda,BELL'S,HAMBURGUESA
,Frijol Canario 500 g,S/ 7.74,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,500.0,g,Frijol Canario,7.74,tottus,TOTTUS,HAMBURGUESA
Bolsa 270g,Nuggets Multigranos REDONDOS Bolsa 270g,S/ 7.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,270.0,g,Nuggets Multigranos REDONDOS Bolsa,7.9,plaza_vea,,HAMBURGUESA
Bolsa 8un,Hamburguesas Practiburguer con Carne BELL'S Bo...,S/ 7.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,8.0,un,Hamburguesas Practiburguer con Carne BELL'S Bo,7.9,plaza_vea,,HAMBURGUESA
,Pan con Hamburguesa Queso y Tocino x un,S/ 7.90,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,1.0,un,Pan con Hamburguesa Queso y Tocino,7.9,vivanda,VIVANDA,HAMBURGUESA
Paquete 15un,Nuggets de Pollo BELL'S Bolsa 15un,S/ 7.99 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,15.0,un,Nuggets de Pollo BELL'S Bolsa,7.99,plaza_vea,,HAMBURGUESA
Caja 150g,Proteína de Soya BHAKTI NATURA Pollo Vegetaria...,S/ 8 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,150.0,g,Proteína de Soya BHAKTI NATURA Pollo Vegetaria,8.0,plaza_vea,,HAMBURGUESA
Caja 150g,Hamburguesa de Soya BHAKTI NATURA Caja 150g,S/ 8 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,150.0,g,Hamburguesa de Soya BHAKTI NATURA Caja,8.0,plaza_vea,,HAMBURGUESA
,Nuggets Pavita Cereales Sin Freír 180 g,S/ 8,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,180.0,g,Nuggets Pavita Cereales Sin Freír,8.0,tottus,SAN FERNANDO,HAMBURGUESA
,Papas Peruanas INKA CHIPS Bembos Hamburguesa Bolsa 120g,S/ 8.30,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,120.0,g,Papas Peruanas INKA CHIPS Bembos Hamburguesa Bolsa,8.3,vivanda,INKA CHIPS,HAMBURGUESA
,Pan Hamburguesa Brioche Wong 4un,S/ 8.50,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,4.0,un,Pan Hamburguesa Brioche Wong,8.5,wong,,HAMBURGUESA
,Nuggets De Pechuga De Pollo 12 Un,S/ 8.60,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,12.0,un,Nuggets De Pechuga De Pollo,8.6,tottus,TOTTUS,HAMBURGUESA
,NUGGETS DE POLLO MULTIGRANOS X 270 GR,S/ 8.60,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,270.0,g,NUGGETS DE POLLO MULTIGRANOS X R,8.6,tottus,REDONDOS,HAMBURGUESA
,Hamburguesa Cerdo Duroc 360 g,S/ 8.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,360.0,g,Hamburguesa Cerdo Duroc,8.9,tottus,REDONDOS,HAMBURGUESA
,Pan Hamburguesa Brioche LA FLORENCIA Bolsa 340g,S/ 9.10,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,340.0,g,Pan Hamburguesa Brioche LA FLORENCIA Bolsa,9.1,vivanda,LA FLORENCIA,HAMBURGUESA
,Frijol Canario 500 g,S/ 9.20,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,500.0,g,Frijol Canario,9.2,tottus,TESORO DEL CAMPO,HAMBURGUESA
Bolsa 270g,Nuggets de Pollo con Quinua AVINKA Bolsa 15un,S/ 9.49 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,270.0,g,Nuggets de Pollo con Quinua AVINKA Bolsa,9.49,plaza_vea,,HAMBURGUESA
Bolsa 15un,Nuggets de Pollo con Brócoli AVINKA Bolsa 15un,S/ 9.50 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,15.0,un,Nuggets de Pollo con Brócoli AVINKA Bolsa,9.5,plaza_vea,,HAMBURGUESA
,Pan Hamburguesa Brioche Artesano 4P Bolsa 360 gr,S/ 10,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,360.0,g,Pan Hamburguesa Brioche Artesano 4P Bolsa r,10.0,tottus,BIMBO,HAMBURGUESA
Bolsa 15un,Nuggets de Pollo Precocido AVINKA Bolsa 15un,S/ 10.50 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,15.0,un,Nuggets de Pollo Precocido AVINKA Bolsa,10.5,plaza_vea,,HAMBURGUESA
,Pan Hamburguesa 480 g,S/ 10.50,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,480.0,g,Pan Hamburguesa,10.5,tottus,BIMBO,HAMBURGUESA
,Pan Hamburguesa BIMBO Artesano Brioche Bolsa 360g,S/ 10.60,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,360.0,g,Pan Hamburguesa BIMBO Artesano Brioche Bolsa,10.6,vivanda,BIMBO,HAMBURGUESA
,Hamburguesa Not Chicken Crispy 95g,S/ 10.70,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,95.0,g,Hamburguesa Not Chicken Crispy,10.7,wong,,HAMBURGUESA
,NUGGETS PECHUGA X 350 GR,S/ 10.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,350.0,g,NUGGETS PECHUGA X R,10.9,tottus,REDONDOS,HAMBURGUESA
Bolsa 15un,Nuggets de Pollo Safari SAN FERNANDO Bolsa 15u...,S/ 11.40 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,15.0,un,Nuggets de Pollo Safari SAN FERNANDO Bolsa 15u,11.4,plaza_vea,,HAMBURGUESA
Bolsa 12un,Dedos de Pollo AVINKA 270g Bolsa 12un x 270g,S/ 11.50 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,12.0,un,Dedos de Pollo AVINKA  Bolsa  x,11.5,plaza_vea,,HAMBURGUESA
,HAMB. LA REDONDITA X 14 UND.,S/ 11.50,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,14.0,un,HAMB. LA REDONDITA X D.,11.5,tottus,REDONDOS,HAMBURGUESA
,Pan para Hamburguesa Bimbo Bolsa 8 unid,S/ 11.50,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,8.0,un,Pan para Hamburguesa Bimbo Bolsa,11.5,wong,,HAMBURGUESA
Bolsa 14un,La Súper Rica San Fernando Bolsa 14un,S/ 11.60 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,14.0,un,La Súper Rica San Fernando Bolsa,11.6,plaza_vea,,HAMBURGUESA
Bolsa 300g,Chicken Pop Empanizados REDONDOS Bolsa 300g,S/ 11.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,300.0,g,Chicken Pop Empanizados REDONDOS Bolsa,11.9,plaza_vea,,HAMBURGUESA
Bolsa 504g,Hamburguesa de Pollo LOS HIERROS Bolsa 8un x 6...,S/ 11.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,504.0,g,Hamburguesa de Pollo LOS HIERROS Bolsa  x 6,11.9,plaza_vea,,HAMBURGUESA
Paquete 14un,Hamburguesa de pollo REDONDOS Bolsa 14un,S/ 11.99 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,14.0,un,Hamburguesa de pollo REDONDOS Bolsa,11.99,plaza_vea,,HAMBURGUESA
,Hamburguesa de pollo REDONDOS Bolsa 14un,S/ 11.99,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,14.0,un,Hamburguesa de pollo REDONDOS Bolsa,11.99,vivanda,REDONDOS,HAMBURGUESA
Bolsa 300g,Deditos de Pechuga de Pollo REDONDOS Bolsa 300...,S/ 11.99 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,300.0,g,Deditos de Pechuga de Pollo REDONDOS Bolsa 300,11.99,plaza_vea,,HAMBURGUESA
,Hamburguesa San Fernando La Super Rica 14un,S/ 12.45,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,14.0,un,Hamburguesa San Fernando La Super Rica,12.45,wong,,HAMBURGUESA
,Hamburguesa de Pollo La Magnífica 14un,S/ 12.49,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,14.0,un,Hamburguesa de Pollo La Magnífica,12.49,wong,,HAMBURGUESA
,Nugget De Pollo Con Brocoli Y Queso 12 Un,S/ 12.50,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,12.0,un,Nugget De Pollo Con Brocoli Y Queso,12.5,tottus,TOTTUS,HAMBURGUESA
,Hamburguesa Casera De Pollo x 14 Unidades,S/ 12.50,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,14.0,un,Hamburguesa Casera De Pollo x ades,12.5,tottus,TOTTUS,HAMBURGUESA
Bolsa 910g,Hamburguesa de Carne La Casera SAN FERNANDO Bo...,S/ 12.60 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,910.0,g,Hamburguesa de Carne La Casera SAN FERNANDO Bo,12.6,plaza_vea,,HAMBURGUESA
Bolsa 910g,Hamburguesa La Casera de Pollo SAN FERNANDO Bo...,S/ 12.69 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,910.0,g,Hamburguesa La Casera de Pollo SAN FERNANDO Bo,12.69,plaza_vea,,HAMBURGUESA
Bolsa 850g,Hamburguesa de Carne La Super SAN FERNANDO Bol...,S/ 12.70 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,850.0,g,Hamburguesa de Carne La Super SAN FERNANDO Bol,12.7,plaza_vea,,HAMBURGUESA
,Hamburguesa de Carne La Super SAN FERNANDO Bolsa 850g,S/ 12.70,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,850.0,g,Hamburguesa de Carne La Super SAN FERNANDO Bolsa,12.7,vivanda,SAN FERNANDO,HAMBURGUESA
,Hamburguesas Pollo 12 unds 600 g,S/ 12.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,12.0,un,Hamburguesas Pollo ds,12.9,tottus,NATURAL HOME,HAMBURGUESA
,Hamburguesas de Pollo Natural Home 600g,S/ 12.99,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,600.0,g,Hamburguesas de Pollo Natural Home,12.99,wong,,HAMBURGUESA
Bolsa 14un,Hamburguesas Practiburguer con Carne BELL'S Bo...,S/ 12.99 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,14.0,un,Hamburguesas Practiburguer con Carne BELL'S Bo,12.99,plaza_vea,,HAMBURGUESA
,Queso para Hamburguesa President en Tajadas 200g,S/ 13.20,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,200.0,g,Queso para Hamburguesa President en Tajadas,13.2,wong,,HAMBURGUESA
,Pan para Hamburguesa Brioche Don Mamino 600g,S/ 13.30,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,600.0,g,Pan para Hamburguesa Brioche Don Mamino,13.3,wong,,HAMBURGUESA
,Nuggets Pechuga 550 g,S/ 13.40,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,550.0,g,Nuggets Pechuga,13.4,tottus,REDONDOS,HAMBURGUESA
Bolsa 340g,Hamburguesa de Res LOS HIERROS Bolsa 4un x 85g,S/ 13.49 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,340.0,g,Hamburguesa de Res LOS HIERROS Bolsa  x,13.49,plaza_vea,,HAMBURGUESA
,Hamburguesas de Pollo Redondos 14un,S/ 13.50,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,14.0,un,Hamburguesas de Pollo Redondos,13.5,wong,,HAMBURGUESA
Bolsa 300g,Strips de Pollo OREGON FOODS Bolsa 300g,S/ 13.50 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,300.0,g,Strips de Pollo OREGON FOODS Bolsa,13.5,plaza_vea,,HAMBURGUESA
Bolsa 300g,Chicken Bites OREGON FOODS Bolsa 300g,S/ 13.50 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,300.0,g,Chicken Bites OREGON FOODS Bolsa,13.5,plaza_vea,,HAMBURGUESA
,La Casera 910 g 14 Un,S/ 13.50,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,910.0,g,La Casera,13.5,tottus,SAN FERNANDO,HAMBURGUESA
