description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Agua de Mesa San Carlos Botella 500ml,S/ 0.90,wong,HARINA DE TRIGO SIN PREPARAR,2024-12-05 17:35:55.171135,500.0,ml,Agua de Mesa San Carlos Botella,0.9,wong,,,HARINA DE TRIGO SIN PREPARAR
Agua de Mesa San Carlos Botella 500ml,S/ 0.90,metro,HARINA DE TRIGO SIN PREPARAR,2024-12-05 15:08:18.576983,500.0,ml,Agua de Mesa San Carlos Botella,0.9,metro,,,HARINA DE TRIGO SIN PREPARAR
Agua de Mesa Sin Gas San Luis Botella 750ml,S/ 1.70,metro,HARINA DE TRIGO SIN PREPARAR,2024-12-05 15:08:18.576983,750.0,ml,Agua de Mesa Sin Gas San Luis Botella,1.7,metro,,,HARINA DE TRIGO SIN PREPARAR
Agua de Mesa Sin Gas San Luis Botella 750ml,S/ 1.70,wong,HARINA DE TRIGO SIN PREPARAR,2024-12-05 17:35:55.171135,750.0,ml,Agua de Mesa Sin Gas San Luis Botella,1.7,wong,,,HARINA DE TRIGO SIN PREPARAR
Agua con Gas Mineral San Mateo Botella 600ml,S/ 1.80,metro,HARINA DE TRIGO SIN PREPARAR,2024-12-05 15:08:18.576983,600.0,ml,Agua con Gas Mineral San Mateo Botella,1.8,metro,,,HARINA DE TRIGO SIN PREPARAR
Agua Sin Gas Mineral San Mateo Botella 600ml,S/ 1.80,metro,HARINA DE TRIGO SIN PREPARAR,2024-12-05 15:08:18.576983,600.0,ml,Agua Sin Gas Mineral San Mateo Botella,1.8,metro,,,HARINA DE TRIGO SIN PREPARAR
Agua Sin Gas Mineral San Mateo Botella 600ml,S/ 1.80,wong,HARINA DE TRIGO SIN PREPARAR,2024-12-05 17:35:55.171135,600.0,ml,Agua Sin Gas Mineral San Mateo Botella,1.8,wong,,,HARINA DE TRIGO SIN PREPARAR
Agua Sin Gas San Luis Botella 1L,S/ 2.20,metro,HARINA DE TRIGO SIN PREPARAR,2024-12-05 15:08:18.576983,1.0,l,Agua Sin Gas San Luis Botella,2.2,metro,,,HARINA DE TRIGO SIN PREPARAR
Bebida de Agua San Luis Sabor Limón Botella 625ml,S/ 2.20,metro,HARINA DE TRIGO SIN PREPARAR,2024-12-05 15:08:18.576983,625.0,ml,Bebida de Agua San Luis Sabor Limón Botella,2.2,metro,,,HARINA DE TRIGO SIN PREPARAR
Agua Sin Gas San Luis Botella 1L,S/ 2.20,wong,HARINA DE TRIGO SIN PREPARAR,2024-12-05 17:35:55.171135,1.0,l,Agua Sin Gas San Luis Botella,2.2,wong,,,HARINA DE TRIGO SIN PREPARAR
Bebida Sabor Piña con Kión San Luis Botella 625ml,S/ 2.20,metro,HARINA DE TRIGO SIN PREPARAR,2024-12-05 15:08:18.576983,625.0,ml,Bebida Sabor Piña con Kión San Luis Botella,2.2,metro,,,HARINA DE TRIGO SIN PREPARAR
