description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Jamonada de Pollo Redondos 85g,S/ 1.60,metro,JAMONADA,2024-12-05 15:34:56.441939,85.0,g,Jamonada de Pollo Redondos,1.6,metro,,,JAMONADA
Jamonada de Pavita San Fernando Paquete 85 g,S/ 1.84,metro,JAMONADA,2024-12-05 15:34:56.441939,85.0,g,Jamonada de Pavita San Fernando Paquete,1.84,metro,,,JAMONADA
Jamonada de Pollo BELL'S Paquete 100g,S/ 2.20 un,plaza_vea,JAMONADA,2024-12-05 14:52:13.231549,100.0,g,Jamonada de Pollo BELL'S Paquete,2.2,plaza_vea,Paquete 100g,,JAMONADA
Jamonada de Pavita SAN FERNANDO Paquete 85g,S/ 2.30,vivanda,JAMONADA,2024-12-05 21:45:46.897748,85.0,g,Jamonada de Pavita SAN FERNANDO Paquete,2.3,vivanda,,SAN FERNANDO,JAMONADA
Jamonada con Pollo Cerdeña Paquete 100 g,S/ 2.30,metro,JAMONADA,2024-12-05 15:34:56.441939,100.0,g,Jamonada con Pollo Cerdeña Paquete,2.3,metro,,,JAMONADA
Jamonada de Pavita San Fernando Paquete 85 g,S/ 2.30,wong,JAMONADA,2024-12-05 18:04:18.916527,85.0,g,Jamonada de Pavita San Fernando Paquete,2.3,wong,,,JAMONADA
Mortadela Lonchera La Segoviana Paquete 100 g,S/ 2.50,metro,JAMONADA,2024-12-05 15:34:56.441939,100.0,g,Mortadela Lonchera La Segoviana Paquete,2.5,metro,,,JAMONADA
Jamonada de Pavita BELL'S Paquete 100g,S/ 2.60 un,plaza_vea,JAMONADA,2024-12-05 14:52:13.231549,100.0,g,Jamonada de Pavita BELL'S Paquete,2.6,plaza_vea,Paquete 100g,,JAMONADA
Jamonada Especial BELL'S Paquete 100g,S/ 2.60 un,plaza_vea,JAMONADA,2024-12-05 14:52:13.231549,100.0,g,Jamonada Especial BELL'S Paquete,2.6,plaza_vea,Paquete 100g,,JAMONADA
Chicharrón de Prensa San Fernando 85g,S/ 2.72,metro,JAMONADA,2024-12-05 15:34:56.441939,85.0,g,Chicharrón de Prensa San Fernando,2.72,metro,,,JAMONADA
