description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Bebida Piña Kión de 625 mL,SAN LUIS,625.0,ml,2.2,tottus,2024-12-05 12:35:21.119068,KION (ESPECIAS),625.0,ml,2.2
Bebida SAN LUIS Sin Gas Sabor Piña y Kión Botella 625ml,SAN LUIS,625.0,ml,2.2,vivanda,2024-12-05 22:25:50.574832,KION (ESPECIAS),625.0,ml,2.2
Bebida SAN LUIS Sin Gas Sabor Piña y Kión Bote...,,625.0,ml,2.2,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),625.0,ml,2.2
Bebida Sabor Piña con Kión San Luis Botella 625ml,,625.0,ml,2.2,metro,2024-12-05 16:34:56.044819,KION (ESPECIAS),625.0,ml,2.2
Bebida Sabor Piña con Kión San Luis Botella 625ml,,625.0,ml,2.2,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),625.0,ml,2.2
Pan Baguette Especial LA FLORENCIA 1un,,1.0,un,2.2,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1.0,un,2.2
Esencia de Vainilla UNIVERSAL Frasco 100ml,,100.0,ml,2.3,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),100.0,ml,2.3
Salsa 2 BANDERAS Base de Ostión y Especias Bol...,,100.0,g,2.69,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),100.0,g,2.69
Jamonada Especial BRAEDT Paquete 100g,,100.0,g,2.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),100.0,g,2.9
Tornillo Especial MOLITALIA Pasta para Ensalad...,,235.0,g,3.1,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),235.0,g,3.1
Kion en Polvo Toña 18g,,18.0,g,3.5,metro,2024-12-05 16:34:56.044819,KION (ESPECIAS),18.0,g,3.5
"Palitos de Ajonjolí UNIÓN Chia, Kión y Ajo Bol...",,65.0,g,3.69,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),65.0,g,3.69
Aderezo tipo Oriental 2 BANDERAS con Soya y Es...,,85.0,g,3.8,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),85.0,g,3.8
Palitos Kion y Ajo Unión 65g,,65.0,g,3.9,metro,2024-12-05 16:34:56.044819,KION (ESPECIAS),65.0,g,3.9
"Palitos de Ajonjolí UNIÓN Chia, Kión y Ajo Bolsa 65g",UNIÓN,65.0,g,3.9,vivanda,2024-12-05 22:25:50.574832,KION (ESPECIAS),65.0,g,3.9
Palitos Kion y Ajo Unión 65g,,65.0,g,3.99,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),65.0,g,3.99
Salsa de Soya con Ajo y Kión Kikko 350ml,,350.0,ml,4.9,metro,2024-12-05 16:34:56.044819,KION (ESPECIAS),350.0,ml,4.9
Salsa de Soya con Ajo y Kión Kikko 350ml,,350.0,ml,5.2,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),350.0,ml,5.2
Kion en Polvo Alida Chiang 10g,,10.0,g,5.7,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),10.0,g,5.7
Kion en Polvo Alida Chiang 10g,,10.0,g,5.7,metro,2024-12-05 16:34:56.044819,KION (ESPECIAS),10.0,g,5.7
Aderezo BELL'S Con ají panca molido y especias...,,250.0,g,5.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),250.0,g,5.9
Jamonada Especial SALCHICHERÍA SUIZA Paquete 2...,,200.0,g,6.2,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),200.0,g,6.2
Jamonada Especial SALCHICHERÍA ALEMANA Paquete...,,200.0,g,6.8,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),200.0,g,6.8
Kión en Polvo Max & Mix Frasco 38 g,,38.0,g,7.5,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),38.0,g,7.5
Ají Especial FERYMAR Envase 250g,,250.0,g,8.7,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),250.0,g,8.7
Salsa Acevichada ADELMI a base de Mayonesa y E...,,240.0,g,9.1,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),240.0,g,9.1
Kión Molido Frasco 42.5 g,BADIA,42.5,g,9.4,tottus,2024-12-05 12:35:21.119068,KION (ESPECIAS),42.5,g,9.4
Manjar Blanco BELL'S Especial Bolsa 500g,,500.0,g,9.4,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),500.0,g,9.4
Kión en Polvo Badía Frasco 1.5 Onzas,,1.5,oz,9.6,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),1.5,oz,9.6
Sal de Maras GOURMET Especial Bolsa 500g,,500.0,g,9.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),500.0,g,9.9
Kion,,0.3,kg,9.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),0.3,kg,9.9
Té Negro NATURE'S HEART Chai con Especias Caja...,,20.0,un,9.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),20.0,un,9.9
Kombucha Veda Kión y Limón Botella 260ml,,260.0,ml,10.75,metro,2024-12-05 16:34:56.044819,KION (ESPECIAS),260.0,ml,10.75
Kombucha Veda Kión y Limón Botella 260ml,,260.0,ml,10.75,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),260.0,ml,10.75
Pack Jamonada Especial SUIZA Paquete 400g,,400.0,g,10.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),400.0,g,10.9
Sixpack Agua Sin Gas Sabor Piña con Kión San Luis Botella 625ml,,625.0,ml,11.0,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),625.0,ml,11.0
Sixpack Agua Sin Gas Sabor Piña con Kión San Luis Botella 625ml,,625.0,ml,11.0,metro,2024-12-05 16:34:56.044819,KION (ESPECIAS),625.0,ml,11.0
Chocolate NESTLÉ Sublime Bombones Especial Caj...,,16.0,un,12.0,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),16.0,un,12.0
Desatorados para Cocinas DIAMANTE Fórmula Espe...,,1000.0,g,12.89,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1000.0,g,12.89
Desatorador para Baños DIAMANTE Fórmula Especi...,,1000.0,g,12.89,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1000.0,g,12.89
Sixpack Bebida Sabor Piña con Kión San Luis Botella 625ml,,625.0,ml,13.2,metro,2024-12-05 16:34:56.044819,KION (ESPECIAS),625.0,ml,13.2
Sixpack Bebida Sabor Piña con Kión San Luis Botella 625ml,,625.0,ml,13.2,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),625.0,ml,13.2
Espumante TABERNERO Semi Seco Especial Botella...,,750.0,ml,14.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,14.9
Espumante TABERNERO Rosé Especial Botella 750m...,,750.0,ml,14.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,14.9
Kión x kg,,1.0,kg,14.99,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),1.0,kg,14.99
Kión x kg,,1.0,kg,14.99,metro,2024-12-05 16:34:56.044819,KION (ESPECIAS),1.0,kg,14.99
Pierna Especial de Pollo Empacada al vacío SAN...,,1.2,kg,15.49,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1.2,kg,15.49
Esencias FRATELLO Sabores Variados Paquete 4un,,4.0,un,15.8,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),4.0,un,15.8
Sal MARAS GOURMET con Especies Moledor Frasco ...,,100.0,g,15.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),100.0,g,15.9
Manjar Blanco BELL'S Especial Bolsa 1Kg,,1.0,kg,16.2,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1.0,kg,16.2
Pechuga Especial de Pollo Empacada al vacío SA...,,1.5,kg,17.5,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1.5,kg,17.5
Mix Sales y Especias GOR BARMAN Micheladas & T...,,90.0,g,19.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),90.0,g,19.9
Pechuga Especial de Pavo REDONDOS,,5.0,kg,19.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),5.0,kg,19.9
Mix Sales y Especias GO BARMAN Bloody & Mary L...,,90.0,g,19.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),90.0,g,19.9
Mix Sales y Especias GO BARMAN Margarita & Mic...,,90.0,g,19.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),90.0,g,19.9
Alimento Seco para Gatos FRISKIES Adultos Sele...,,1.0,kg,19.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1.0,kg,19.9
Infusión de Kión y Durazno Bigelow - 38 filtrantes,BIGELOW BENEFITS,38.0,filtrantes,21.2,tottus,2024-12-05 12:35:21.119068,KION (ESPECIAS),38.0,filtrantes,21.2
Pechuga Especial de Pavita SAN FERNANDO,,5.0,kg,22.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),5.0,kg,22.9
Papel Higiénico SUAVE Esencias Elegance Paquet...,,8.0,un,25.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),8.0,un,25.9
Infusión BIGELOW Kion y Durazno Caja 18un,BIGELOW,18.0,un,26.1,vivanda,2024-12-05 22:25:50.574832,KION (ESPECIAS),18.0,un,26.1
Infusión BIGELOW Kion y Durazno Caja 18un,,18.0,un,26.5,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),18.0,un,26.5
Té Verde con Kión Bigelow 18un,,18.0,un,26.9,wong,2024-12-05 19:12:40.241367,KION (ESPECIAS),18.0,un,26.9
Tinte para Cabello KOLESTON Kit 121 Rubio Ceni...,,1.0,un,29.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1.0,un,29.9
Máquina de Afeitar Recargable GILLETTE Venus E...,,1.0,un,32.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1.0,un,32.9
Repuestos Para Afeitar GILLETTE Venus Especial...,,2.0,un,32.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),2.0,un,32.9
Papel Higiénico SUAVE Esencias Elegance Paquet...,,32.0,un,34.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),32.0,un,34.9
Frigon Guiso Especial x Kg,,1.0,kg,34.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1.0,kg,34.9
Anís NAJAR Semi Dulce Especial Botella 750ml,,750.0,ml,36.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,36.9
Anís NAJAR Seco Especial Botella 750ml,,750.0,ml,36.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,36.9
Guiso Especial de Res EL BUEN CORTE,,0.8,kg,38.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),0.8,kg,38.9
Ron HAVANA CLUB Añejo Especial Botella 700ml,,700.0,ml,42.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),700.0,ml,42.9
Ron ABUELO Reserva Especial Añejo Botella 750m...,,750.0,ml,42.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,42.9
Vino Tinto TACAMA Selección Especial Blend Bot...,,750.0,ml,44.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,44.9
Vino Tinto TACAMA Malbec Selección Especial Bo...,,750.0,ml,44.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,44.9
Vino Tinto TACAMA Selección Especial Carmenere...,,750.0,ml,44.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,44.9
Pack Whisky SOMETHING Botella 750ml + Whisky S...,,2.0,un,48.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),2.0,un,48.9
Whisky SOMETHING SPECIAL Botella 750ml,,750.0,ml,48.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,48.9
Sal Belga Especial BONI para Máquinas Lavavaji...,,4.0,kg,49.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),4.0,kg,49.9
Ron HAVANA CLUB Especial Botella 1L,,1.0,l,59.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),1.0,l,59.9
Tequila JOSÉ CUERVO Especial Silver Botella 75...,,750.0,ml,63.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,63.9
Tequila JOSÉ CUERVO Especial Reposado Botella ...,,750.0,ml,63.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,63.9
Vino Blanco UNO SPECIAL Reserve Sauvignon Blan...,,750.0,un,69.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,un,69.9
Ron CENTENARIO N° 7 Añejo Especial Botella 750...,,750.0,ml,78.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,78.9
Pack Whisky SOMETHING SPECIAL Botella 750ml + ...,,2.0,un,88.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),2.0,un,88.9
Vino Tinto SEPTIMA Lote Especial Malbec Botell...,,750.0,ml,119.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,119.9
Whisky BUCHANAN'S Special Reserve 18 Años Bote...,,750.0,ml,259.9,plaza_vea,2024-12-05 15:53:23.257730,KION (ESPECIAS),750.0,ml,259.9
