description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Bebida UHT Sabor Chocolate Choco Vigor Bolsa 250ml,,250.0,ml,1.8,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,250.0,ml,1.8
Leche LAIVE Sabor Chocolate Caja 170ml Sixpack,Laive,170.0,ml,1.8,vega,2024-12-05 12:19:42.649745,LECHE FRESCA UHT,170.0,ml,1.8
Bebida UHT con Avena Vigor Bolsa 250ml,,250.0,ml,1.9,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,250.0,ml,1.9
Bebida Láctea Sabor Chocolate Bonlé Bolsa 800 ml,,800.0,ml,3.2,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,800.0,ml,3.2
Bebida con Avena y Canela Laive Deli Avena 250ml,,250.0,ml,3.2,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,250.0,ml,3.2
Bebida Láctea Sabor Chocolate Bonlé Bolsa 800 ml,,800.0,ml,3.3,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,800.0,ml,3.3
Bebida Yofresh Lúcuma Botella 320g,,320.0,g,3.3,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,320.0,g,3.3
Bebida Sabor Capuccino Laive Muuu Shake 230ml,,230.0,ml,3.3,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,230.0,ml,3.3
Bebida Sabor Chocolate Laive Muuu Shake 230ml,,230.0,ml,3.3,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,230.0,ml,3.3
Bebida Sabor Chocolate Laive Muuu Shake 230ml,,230.0,ml,3.4,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,230.0,ml,3.4
Alimento Lácteo Fresa Yofresh Botella 330 gr,,330.0,g,3.4,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,330.0,g,3.4
Alimento Lácteo Durazno Yofresh Botella 330 gr,,330.0,g,3.4,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,330.0,g,3.4
Alimento Lácteo Vainilla Yofresh Botella 330g,,330.0,g,3.4,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,330.0,g,3.4
Alimento Lácteo Fresa Yofresh Botella 330 gr,,330.0,g,3.5,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,330.0,g,3.5
Bebida Gloria Shake Capuccino Botella 320ml,,320.0,ml,3.5,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,320.0,ml,3.5
Gloria Shake Cookies & Cream 320ml,,320.0,ml,3.5,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,320.0,ml,3.5
Bebida Gloria Shake Mocaccino Botella 320ml,,320.0,ml,3.5,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,320.0,ml,3.5
Gloria Shake Cookies & Cream 320ml,,320.0,ml,3.5,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,320.0,ml,3.5
Bebida Gloria Shake Capuccino Botella 320ml,,320.0,ml,3.5,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,320.0,ml,3.5
Mezcla Láctea UHT Bonlé 800ml,,800.0,ml,3.8,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,800.0,ml,3.8
Leche Entera UHT Laive 900ml,,900.0,ml,3.9,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,900.0,ml,3.9
Leche LAIVE Entera UTH Bolsa 900ml,Laive,900.0,ml,4.4,vega,2024-12-05 12:19:42.649745,LECHE FRESCA UHT,900.0,ml,4.4
Leche Entera UHT Laive 900ml,,900.0,ml,4.4,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,900.0,ml,4.4
Leche Uht Vigor Bolsa 800ml,,800.0,ml,4.4,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,800.0,ml,4.4
Leche Entera Deslactosada con Café Danlac Capuccino Botella 250ml,,250.0,ml,4.5,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,250.0,ml,4.5
Leche Entera Deslactosada con Café Danlac Capuccino Botella 250ml,,250.0,ml,4.5,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,250.0,ml,4.5
Leche UHT Vigor Light Bolsa 800ml,,800.0,ml,4.6,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,800.0,ml,4.6
Leche Fresca GLORIA UHT Entera Bolsa 900ml,Gloria,900.0,ml,4.9,vega,2024-12-05 12:19:42.649745,LECHE FRESCA UHT,900.0,ml,4.9
Batido con Proteínas Sin Lactosa Gloria Pro Chocolate Botella 320ml,,320.0,ml,4.9,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,320.0,ml,4.9
Leche Entera UHT Gloria Bolsa 900ml,,900.0,ml,4.9,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,900.0,ml,4.9
Leche Entera UHT Gloria Bolsa 900ml,,900.0,ml,4.9,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,900.0,ml,4.9
Leche Semidescremada UHT Laive Light 900ml,,900.0,ml,4.99,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,900.0,ml,4.99
Leche Parcialmente Descremada Gloria Light Bolsa 900ml,,900.0,ml,5.1,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,900.0,ml,5.1
Leche Semidescremada UHT Laive Sin Lactosa 900ml,,900.0,ml,5.3,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,900.0,ml,5.3
Leche UHT Laive Light Sin Lactosa Bolsa 900ml,,900.0,ml,5.3,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,900.0,ml,5.3
Leche UHT Laive Light Sin Lactosa Bolsa 900ml,,900.0,ml,5.4,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,900.0,ml,5.4
Leche UHT Light Cuisine & Co Caja 1 lt,,1.0,l,5.5,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,1.0,l,5.5
Leche UHT Entera Cuisine & Co Caja 1 lt,,1.0,l,5.5,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,5.5
Bebida UHT con Avena Vigor Bolsa 800ml,,800.0,ml,5.5,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,800.0,ml,5.5
Leche UHT Light Cuisine & Co Caja 1 lt,,1.0,l,5.5,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,5.5
Bebida Sabor Chocolate Laive 900ml,,900.0,ml,5.6,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,900.0,ml,5.6
Bebida Sabor Chocolate Laive 900ml,,900.0,ml,5.7,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,900.0,ml,5.7
Leche LAIVE UHT Entera Caja 946ml,Laive,946.0,ml,5.7,vega,2024-12-05 12:19:42.649745,LECHE FRESCA UHT,946.0,ml,5.7
Leche Semidescremada UHT Laive Sin Lactosa Light Caja 946ml,,946.0,ml,5.99,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,946.0,ml,5.99
Leche Semidescremada UHT Laive Sin Lactosa Caja 946ml,,946.0,ml,5.99,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,946.0,ml,5.99
Leche LAIVE UHT Light Caja 946ml,Laive,946.0,ml,5.99,vega,2024-12-05 12:19:42.649745,LECHE FRESCA UHT,946.0,ml,5.99
Leche Chocolatada GLORIA UHT Caja 1L,Gloria,1.0,l,6.0,vega,2024-12-05 12:19:42.649745,LECHE FRESCA UHT,1.0,l,6.0
Leche Entera UHT Laive Caja 946ml,,946.0,ml,6.1,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,946.0,ml,6.1
Leche Semidescremada UHT Laive Light Caja 946ml,,946.0,ml,6.1,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,946.0,ml,6.1
Leche Parcialmente Descremada Gloria Light Caja 1L,,1.0,l,6.2,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,6.2
Leche UHT Sin Lactosa Gloria Zero Lacto Caja 1L,,1.0,l,6.2,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,6.2
Leche Entera UHT Gloria Caja 1L,,1.0,l,6.3,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,6.3
Leche Entera UHT Gloria Caja 1L,,1.0,l,6.4,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,1.0,l,6.4
Leche Descremada UHT Gloria Slim Triple Zero Caja 1L,,1.0,l,6.4,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,6.4
Leche Descremada UHT Gloria Slim Triple Zero Caja 1L,,1.0,l,6.5,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,1.0,l,6.5
Bebida con Avena Gloria Acti Avena Caja 1L,,1.0,l,6.5,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,6.5
Leche Sabor Chocolate Laive Caja 946ml,,946.0,ml,6.5,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,946.0,ml,6.5
Leche Parcialmente Descremada Gloria Niños Caja 1L,,1.0,l,6.5,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,1.0,l,6.5
Leche Parcialmente Descremada Gloria Sabor Chocolate Caja 1L,,1.0,l,7.0,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,1.0,l,7.0
Leche Fresca Piamonte Bolsa 950 ml,,950.0,ml,7.4,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,950.0,ml,7.4
Leche Entera Pasteurizada Danlac Botella 900ml,,900.0,ml,7.6,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,900.0,ml,7.6
Leche Entera Pasteurizada Danlac Botella 900ml,,900.0,ml,7.6,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,900.0,ml,7.6
Leche Deslactosada Danlac Light Botella 900ml,,900.0,ml,8.1,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,900.0,ml,8.1
Sixpack Bebida Láctea Yopi Sabor Avena y Canela Caja 170ml,,170.0,ml,8.5,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,170.0,ml,8.5
Sixpack Bebida Láctea Yopi Sabor Chocolate Caja 170ml,,170.0,ml,8.5,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,170.0,ml,8.5
Sixpack Bebida Láctea Yopi Sabor Avena y Canela Caja 170ml,,170.0,ml,8.5,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,170.0,ml,8.5
Leche Entera Pasteurizada Danlac Sabor Chocolate Botella 900ml,,900.0,ml,8.6,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,900.0,ml,8.6
Leche Entera Pasteurizada Danlac Sabor Chocolate Botella 900ml,,900.0,ml,8.8,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,900.0,ml,8.8
Pack x6 Bebida Sabor Chocolate Bonlé Caja 180ml,,180.0,ml,8.9,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,180.0,ml,8.9
Leche Deslactosada Sabor Chocolate Danlac Botella 900ml,,900.0,ml,9.1,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,900.0,ml,9.1
Leche Deslactosada Sabor Chocolate Danlac Botella 900ml,,900.0,ml,9.1,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,900.0,ml,9.1
Leche GLORIA Niños Sabor a Chocolate UHT Caja 180ml Paquete 6u,Gloria,180.0,ml,9.7,vega,2024-12-05 12:19:42.649745,LECHE FRESCA UHT,180.0,ml,9.7
Sixpack Leche con Avena y Canela Gloria Acti Avena Caja 180ml,,180.0,ml,10.9,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,180.0,ml,10.9
Sixpack Leche Parcialmente Descremada Gloria Niños Sabor Chocolate Caja 180ml,,180.0,ml,11.6,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,180.0,ml,11.6
Sixpack Leche Parcialmente Descremada Gloria Niños Sabor Chocolate Caja 180ml,,180.0,ml,11.8,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,180.0,ml,11.8
Sixpack Leche Parcialmente Descremada Gloria Niños Sabor Vainilla Caja 180ml,,180.0,ml,11.8,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,180.0,ml,11.8
Leche Fresca de Chocolate Piamonte Botella 950 ml,,950.0,ml,13.3,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,950.0,ml,13.3
Tripack Leche Entera UHT Gloria Bolsa 900ml,,900.0,ml,13.9,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,900.0,ml,13.9
Leche Fresca GLORIA UHT Light Bolsa 900ml Pack 3u,Gloria,900.0,ml,14.2,vega,2024-12-05 12:19:42.649745,LECHE FRESCA UHT,900.0,ml,14.2
Bebida en Base de Vegetales Sabor Chocolate Not Milk Caja 1 Litro,,1.0,l,15.9,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,1.0,l,15.9
Bebida en Base de Vegetales Sabor Chocolate Not Milk Caja 1 Litro,,1.0,l,15.9,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,15.9
Tripack Leche Entera UHT Gloria Caja 1L,,1.0,l,16.2,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,16.2
Tripack Leche UHT Sin Lactosa Gloria Zero Lacto Caja 1L,,1.0,l,16.4,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,16.4
Tripack Leche Parcialmente Descremada Gloria Light Caja 1L,,1.0,l,16.4,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,16.4
Tripack Leche Entera UHT Gloria Caja 1L,,1.0,l,16.7,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,1.0,l,16.7
Tripack Leche Parcialmente Descremada Gloria Niños Caja 1L,,1.0,l,16.9,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,1.0,l,16.9
Tripack Leche UHT Sin Lactosa Gloria Zero Lacto Caja 1L,,1.0,l,16.9,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,1.0,l,16.9
Tripack Leche Parcialmente Descremada Gloria Light Caja 1L,,1.0,l,16.9,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,1.0,l,16.9
Tripack Leche Parcialmente Descremada Gloria Niños Caja 1L,,1.0,l,16.9,wong,2024-12-05 18:15:03.276970,LECHE FRESCA UHT,1.0,l,16.9
Sixpack Leche UHT Gloria Shake Sabor Capuccino Botella 320ml,,320.0,ml,17.9,metro,2024-12-05 15:43:19.644531,LECHE FRESCA UHT,320.0,ml,17.9
