description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Lentejas Confitado Chocolate 30 g,S/ 2,tottus,LENTEJA,2024-12-05 12:21:18.632603,30.0,g,Lentejas Confitado Chocolate,2.0,tottus,,,LENTEJA
Trigo Mote Tesoro del Campo 350g,S/ 2.90,metro,LENTEJA,2024-12-05 16:20:39.442346,350.0,g,Trigo Mote Tesoro del Campo,2.9,metro,,,LENTEJA
Trigo Mote Tesoro Del Campo Bolsa 500 g,S/ 3.70,metro,LENTEJA,2024-12-05 16:20:39.442346,500.0,g,Trigo Mote Tesoro Del Campo Bolsa,3.7,metro,,,LENTEJA
Lenteja VEGA Bolsa 400g,S/ 3.80,vega,LENTEJA,2024-12-05 12:59:24.033637,400.0,g,Lenteja VEGA Bolsa,3.8,vega,,Vega,LENTEJA
Lenteja Bebé VEGA Bolsa 400g,S/ 3.90,vega,LENTEJA,2024-12-05 12:59:24.033637,400.0,g,Lenteja Bebé VEGA Bolsa,3.9,vega,,Vega,LENTEJA
Lenteja TIMONEL Bolsa 400g,S/ 4.00,vega,LENTEJA,2024-12-05 12:59:24.033637,400.0,g,Lenteja TIMONEL Bolsa,4.0,vega,,Timonel,LENTEJA
Lenteja Bebé TIMONEL Bolsa 400g,S/ 4.10,vega,LENTEJA,2024-12-05 12:59:24.033637,400.0,g,Lenteja Bebé TIMONEL Bolsa,4.1,vega,,Timonel,LENTEJA
Trigo Mote Costeño 500g,S/ 4.40,metro,LENTEJA,2024-12-05 16:20:39.442346,500.0,g,Trigo Mote Costeño,4.4,metro,,,LENTEJA
Lentejón Bolsa 350 g,S/ 4.75,metro,LENTEJA,2024-12-05 16:20:39.442346,350.0,g,Lentejón Bolsa,4.75,metro,,,LENTEJA
Morón Costeño 500g,S/ 4.80,metro,LENTEJA,2024-12-05 16:20:39.442346,500.0,g,Morón Costeño,4.8,metro,,,LENTEJA
Lenteja x 350 g,S/ 4.85,tottus,LENTEJA,2024-12-05 12:21:18.632603,350.0,g,Lenteja x,4.85,tottus,,TESORO DEL CAMPO,LENTEJA
Lenteja Bebé Cuisine & Co 500g,S/ 4.90,metro,LENTEJA,2024-12-05 16:20:39.442346,500.0,g,Lenteja Bebé Cuisine & Co,4.9,metro,,,LENTEJA
Lentejón Cuisine & Co 500g,S/ 4.90,metro,LENTEJA,2024-12-05 16:20:39.442346,500.0,g,Lentejón Cuisine & Co,4.9,metro,,,LENTEJA
Lentejón Máxima 500g,S/ 4.90,metro,LENTEJA,2024-12-05 16:20:39.442346,500.0,g,Lentejón Máxima,4.9,metro,,,LENTEJA
Lentejas BELL'S Bolsa 500g,S/ 4.90 un,plaza_vea,LENTEJA,2024-12-05 15:38:09.579376,500.0,g,Lentejas BELL'S Bolsa,4.9,plaza_vea,Bolsa 500g,,LENTEJA
