description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
YOG. GRIEGO PIE DE LIMON LAIVE VASO 115G,,115.0,g,2.0,metro,2024-12-05 15:54:16.337263,LIMÓN,1.0,kg,17.391304347826086
Caramelos Masticables MENTOS Limón Paquete 29.04g,MENTOS,29.04,g,2.0,vivanda,2024-12-05 21:58:17.082670,LIMÓN,1.0,kg,68.87052341597796
Yogurt Griego LAIVE Sabor a Pie de Limón Vaso ...,,115.0,g,2.2,plaza_vea,2024-12-05 15:11:58.736950,LIMÓN,1.0,kg,19.130434782608695
Bebida Instantánea en Polvo CLIGHT Limón con Splenda Sobre 7g,CLIGHT,7.0,g,2.3,vivanda,2024-12-05 21:58:17.082670,LIMÓN,1.0,kg,328.57142857142856
Bebida en Polvo Clight Sin Calorías Sabor Limón 14g,,14.0,g,2.3,metro,2024-12-05 15:54:16.337263,LIMÓN,1.0,kg,164.28571428571428
Marshmellows Mr. Mallo Limones Bolsa 100 g,,100.0,g,2.9,metro,2024-12-05 15:54:16.337263,LIMÓN,1.0,kg,29.0
Limón x kg,,1.0,kg,2.99,metro,2024-12-05 15:54:16.337263,LIMÓN,1.0,kg,2.99
Limón Sutil x kg,,1.0,kg,2.99,metro,2024-12-05 15:54:16.337263,LIMÓN,1.0,kg,2.99
Limón Sútil x kg,,1.0,kg,2.99,metro,2024-12-05 15:54:16.337263,LIMÓN,1.0,kg,2.99
Jabón Aroma Limón BOLÍVAR Cuidado Total Paquete 190g,BOLÍVAR,190.0,g,3.2,vivanda,2024-12-05 21:58:17.082670,LIMÓN,1.0,kg,16.842105263157897
Jabón para Ropa Bolívar Limón 190g,,190.0,g,3.2,wong,2024-12-05 18:25:57.978847,LIMÓN,1.0,kg,16.842105263157897
Limón Ácido,,0.5,kg,3.29,plaza_vea,2024-12-05 15:11:58.736950,LIMÓN,1.0,kg,6.58
Limón x kg,,1.0,kg,3.59,wong,2024-12-05 18:25:57.978847,LIMÓN,1.0,kg,3.59
Gelatina UMSHA Sabor a Limón Bolsa 120g,,120.0,g,3.7,plaza_vea,2024-12-05 15:11:58.736950,LIMÓN,1.0,kg,30.833333333333336
Gelatina UMSHA Sabor a Limón Bolsa 120g,UMSHA,120.0,g,3.7,vivanda,2024-12-05 21:58:17.082670,LIMÓN,1.0,kg,30.833333333333336
Gelatina Sabor Limón Diet Universal 19g,,19.0,g,3.7,metro,2024-12-05 15:54:16.337263,LIMÓN,1.0,kg,194.73684210526318
Gelatina Sabor Limón Diet Universal 19g,,19.0,g,3.8,wong,2024-12-05 18:25:57.978847,LIMÓN,1.0,kg,200.0
Gelatina Universal de Limón Sobre 130g,,130.0,g,3.99,metro,2024-12-05 15:54:16.337263,LIMÓN,1.0,kg,30.69230769230769
Limón Tahiti Metro x kg,,1.0,kg,3.99,metro,2024-12-05 15:54:16.337263,LIMÓN,1.0,kg,3.99
Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,UNIVERSAL,130.0,g,3.99,vivanda,2024-12-05 21:58:17.082670,LIMÓN,1.0,kg,30.69230769230769
Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,,130.0,g,3.99,plaza_vea,2024-12-05 15:11:58.736950,LIMÓN,1.0,kg,30.69230769230769
Limón Acido x kg,VIVANDA,1.0,kg,3.99,vivanda,2024-12-05 21:58:17.082670,LIMÓN,1.0,kg,3.99
Limón Tahíti x kg,,1.0,kg,4.19,metro,2024-12-05 15:54:16.337263,LIMÓN,1.0,kg,4.19
Limón Tahíti x kg,,1.0,kg,4.19,wong,2024-12-05 18:25:57.978847,LIMÓN,1.0,kg,4.19
Limón Tahití x kg,,1.0,kg,4.2,plaza_vea,2024-12-05 15:11:58.736950,LIMÓN,1.0,kg,4.2
Lejía BOREAL Limón Botella 2000g,BOREAL,2000.0,g,4.2,vivanda,2024-12-05 21:58:17.082670,LIMÓN,1.0,kg,2.1
Caramelos de Limón BELL'S Bolsa 250g,BELL'S,250.0,g,4.5,vivanda,2024-12-05 21:58:17.082670,LIMÓN,1.0,kg,18.0
Lavavajillas en Pasta Home Care Limón 800g,,800.0,g,4.5,wong,2024-12-05 18:25:57.978847,LIMÓN,1.0,kg,5.625
Tortillas de Queso DORITOS Dinamita Limón Bolsa 80g,DORITOS,80.0,g,5.0,vivanda,2024-12-05 21:58:17.082670,LIMÓN,1.0,kg,62.5
Sixpack Galleta con Crema Casino Pie de Limón 43g,,43.0,g,5.0,wong,2024-12-05 18:25:57.978847,LIMÓN,1.0,kg,116.27906976744187
