description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Chuleta Punta de Lomo x kg,S/ 14.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Chuleta Punta de Lomo,14.9,metro,,LOMO DE CERDO
Chuleta de Lomo con Piel de Cerdo x kg,S/ 18.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Chuleta de Lomo con Piel de Cerdo,18.9,metro,,LOMO DE CERDO
Chuleta de Lomo de Cerdo con Piel Porcionado x kg,S/ 22.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Chuleta de Lomo de Cerdo con Piel Porcionado,22.9,wong,,LOMO DE CERDO
Chuleta Parrillera de Cerdo con Piel x kg,S/ 22.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Chuleta Parrillera de Cerdo con Piel,22.9,wong,,LOMO DE CERDO
Chuleta Parrillera de Cerdo x kg,S/ 22.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Chuleta Parrillera de Cerdo,22.9,wong,,LOMO DE CERDO
Chuleta de Lomo de Cerdo Sin Piel x kg,S/ 23.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Chuleta de Lomo de Cerdo Sin Piel,23.9,wong,,LOMO DE CERDO
Chuleta de Lomo de Cerdo Sin Piel Porcionado x kg,S/ 23.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Chuleta de Lomo de Cerdo Sin Piel Porcionado,23.9,wong,,LOMO DE CERDO
Bife de Lomo de Cerdo x kg,S/ 27.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Bife de Lomo de Cerdo,27.9,wong,,LOMO DE CERDO
Chuleta de Lomo Duroc Redondos x kg,S/ 28.80 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Chuleta de Lomo Duroc Redondos,28.8,wong,,LOMO DE CERDO
Bife de Lomo de Cerdo x kg,S/ 28.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Bife de Lomo de Cerdo,28.9,metro,,LOMO DE CERDO
Pulpa de Bondiola San Fernando x Kg,S/ 31.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Pulpa de Bondiola San Fernando,31.9,wong,,LOMO DE CERDO
Chuleta de Lomo Duroc Redondos x kg,S/ 31.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Chuleta de Lomo Duroc Redondos,31.9,metro,,LOMO DE CERDO
Enrollado de Bondiola San Fernando x Kg,S/ 33.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Enrollado de Bondiola San Fernando,33.9,wong,,LOMO DE CERDO
Enrollado de Bondiola San Fernando x Kg,S/ 33.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Enrollado de Bondiola San Fernando,33.9,metro,,LOMO DE CERDO
Bife de Bondiola de Cerdo Duroc Redondos x kg,S/ 36.00 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Bife de Bondiola de Cerdo Duroc Redondos,36.0,wong,,LOMO DE CERDO
Picaña de Cerdo Duroc Redondos x kg,S/ 37.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Picaña de Cerdo Duroc Redondos,37.9,metro,,LOMO DE CERDO
Lomo Fino de Cerdo Duroc Redondos x kg,S/ 38.60 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Lomo Fino de Cerdo Duroc Redondos,38.6,wong,,LOMO DE CERDO
Bife de Lomo de Cerdo x kg,S/ 38.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Bife de Lomo de Cerdo,38.9,metro,,LOMO DE CERDO
Lomo Fino de Cerdo x kg,S/ 38.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Lomo Fino de Cerdo,38.9,metro,,LOMO DE CERDO
T-Bone de Cerdo Redondos Duroc x kg,S/ 39.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,T-Bone de Cerdo Redondos Duroc,39.9,wong,,LOMO DE CERDO
Bife de Bondiola de Cerdo Duroc Redondos x kg,S/ 39.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Bife de Bondiola de Cerdo Duroc Redondos,39.9,metro,,LOMO DE CERDO
Lomo Fino de Cerdo Duroc Redondos x kg,S/ 41.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Lomo Fino de Cerdo Duroc Redondos,41.9,metro,,LOMO DE CERDO
Lomo Fino de Cerdo Otto Kunz x kg,S/ 43.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Lomo Fino de Cerdo Otto Kunz,43.9,wong,,LOMO DE CERDO
Tomahawk de Cerdo Duroc Redondos x kg,S/ 43.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Tomahawk de Cerdo Duroc Redondos,43.9,wong,,LOMO DE CERDO
Bife de Lomo Marinado Zimmermann Mediterráneo x kg,S/ 43.90 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Bife de Lomo Marinado Zimmermann Mediterráneo,43.9,metro,,LOMO DE CERDO
Bife de Lomo Griego Zimmermann x kg,S/ 44.90 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Bife de Lomo Griego Zimmermann,44.9,wong,,LOMO DE CERDO
Lomo Ahumado Zimmermann x kg,S/ 62.99 x kg,metro,LOMO DE CERDO,2024-12-05 15:23:14.860774,1.0,kg,Lomo Ahumado Zimmermann,62.99,metro,,LOMO DE CERDO
Lomo Ahumado Zimmermann x kg,S/ 68.00 x kg,wong,LOMO DE CERDO,2024-12-05 17:51:51.176358,1.0,kg,Lomo Ahumado Zimmermann,68.0,wong,,LOMO DE CERDO
