description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Bebida Frugos Fresh Manzana Botella 500ml,,500.0,ml,1.6,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,500.0,ml,1.6
Agua Socosani Saborizada Manzana Botella 500 ml,,500.0,ml,1.99,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,500.0,ml,1.99
Bebida Con Gas San Luis Manzana Botella 625ml,,625.0,ml,2.2,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,625.0,ml,2.2
Gaseosa Fanta Beetlejuice Manzana Verde Botella 500ml,,500.0,ml,2.7,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,500.0,ml,2.7
Marshmellows Mr. Mallo Manzanas Bolsa 100 g,,100.0,g,2.9,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,100.0,g,2.9
Manzana Israel Añawi Metro x kg,,1.0,kg,3.39,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,1.0,kg,3.39
Manzana Rayada Metro x kg,,1.0,kg,3.59,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,1.0,kg,3.59
"Bebida de Manzana, Aguaymanto y Carambola Bio Amayu Botella 300ml",,300.0,ml,3.6,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,300.0,ml,3.6
"Jugo de Arándano, Uva y Manzana Bio Botella 300ml",,300.0,ml,3.6,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,300.0,ml,3.6
Jugo de Manzana y Camu Camu Bio Botella 300ml,,300.0,ml,3.6,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,300.0,ml,3.6
"Bebida de Manzana, Aguaje y Cocona Bio Botella 300ml",,300.0,ml,3.6,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,300.0,ml,3.6
Bebida de Manzana Frugos del Valle Caja 970ml,,970.0,ml,3.9,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,970.0,ml,3.9
Compota de Manzana Agú 113g,,113.0,g,3.99,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,113.0,g,3.99
Compota Sabor Manzana Agú 113g,,113.0,g,3.99,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,113.0,g,3.99
Ambientador Glade en Gel bolsa Manzana Canela 30g,,30.0,g,4.3,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,30.0,g,4.3
Bebida de Manzana Naturale Botella 500 ml,,500.0,ml,4.6,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,500.0,ml,4.6
Puré de Frutas Orgánico Manzana y Mango AMA Pouch 90 g,,90.0,g,4.9,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,90.0,g,4.9
Mermelada de Manzana y Canela Aconcagua 200g,,200.0,g,4.9,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,200.0,g,4.9
Puré de Frutas Orgánico Manzana y Plátano AMA Pouch 90 g,,90.0,g,4.9,metro,2024-12-05 15:58:08.591480,MANZANA CORRIENTE,90.0,g,4.9
