description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Jugo en polvo sabor a maracuyá sobre de 15 g,ZUKO,15.0,g,1.2,tottus,2024-12-05 11:55:20.597379,MARACUYÁ,1.0,kg,80.0
Refresco Instantáneo Sabor Maracuyá Sobre 15 g,,15.0,g,1.2,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,80.0
Refresco Instantáneo Umsha Frutísimos Sabor Maracuyá 20g,,20.0,g,1.6,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,80.0
Refresco Instantáneo Umsha Frutísimos Sabor Maracuyá 20g,,20.0,g,1.6,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,80.0
Yogurt Griego Maracuyá Descremado 120 g,GLORIA,120.0,g,1.8,tottus,2024-12-05 11:55:20.597379,MARACUYÁ,1.0,kg,15.000000000000002
Yogurt Gloria Slim Sabor Maracuyá 120g,,120.0,g,2.0,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,16.666666666666668
Yogurt Gloria Griego Sabor Maracuyá 120g,,120.0,g,2.2,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,18.333333333333336
Chocolate Relleno con Jalea de Maracuyá Britt 28g,,28.0,g,4.99,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,178.21428571428572
Yogurt Bebible Gloria Slim Maracuyá Botella 1kg,,1.0,kg,5.99,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,5.99
Mix para Pisco Sour de Maracuyá sobre de 125 g,3 2 1 SOUR,125.0,g,6.9,tottus,2024-12-05 11:55:20.597379,MARACUYÁ,1.0,kg,55.2
Yogurt Gloria Griego Sabor Maracuyá 800g,,800.0,g,6.9,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,8.625
Maracuyá Metro x kg,,1.0,kg,7.79,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,7.79
Tripack Jabón de Glicerina Family Care Maracuyá 100g,,100.0,g,7.8,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,78.0
Paleta de Helado Cuisine & Co Cheesecake Maracuyá 108g,,108.0,g,7.9,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,73.14814814814815
Paleta de Helado Cuisine & Co Cheesecake Maracuyá 108g,,108.0,g,7.9,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,73.14814814814815
Maracuyá x kg,,1.0,kg,7.99,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,7.99
Chupetines Maracuyá 456 g,BON BON BUM,456.0,g,8.0,tottus,2024-12-05 11:55:20.597379,MARACUYÁ,1.0,kg,17.543859649122805
Chupetin Colorado Maracuyá 425g,,425.0,g,8.5,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,20.0
Yogurt Bebible Gloria Slim Maracuyá Galonera 1.7kg,,1.7,kg,9.2,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,5.411764705882352
Yogurt Bebible Gloria Slim Maracuyá Galonera 1.7kg,,1.7,kg,9.2,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,5.411764705882352
Base para Maracuyá Sour Wasska 125g,,125.0,g,9.4,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,75.2
Pulpa de Maracuyá Congelada El Frutero 500g,,500.0,g,9.44,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,18.88
Triple Zero Yogurt Maracuya 1.7Kg,GLORIA,1.7,kg,9.5,tottus,2024-12-05 11:55:20.597379,MARACUYÁ,1.0,kg,5.588235294117648
Paleta de Helado de Yogurt Berries del Perú Aguaymanto y Maracuyá 80g,,80.0,g,9.9,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,123.75
Yogurt Batido Laive Griego Sabor Mango Maracuyá 800g,,800.0,g,9.9,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,12.375
Yogurt Batido Laive Griego Sabor Mango Maracuyá 800g,,800.0,g,9.9,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,12.375
Yogurt Griego Mango Maracuyá 800 g,LAIVE,800.0,g,10.5,tottus,2024-12-05 11:55:20.597379,MARACUYÁ,1.0,kg,13.125
Mermelada Dietética D'Marco De Maracuyá/Papaya Frasco 210 g,,210.0,g,12.9,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,61.42857142857143
Helado Lift Maracuya & Mango 110g,,110.0,g,12.9,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,117.27272727272728
Pulpa de Maracuyá Congelada FIFU Bolsa 500g,,500.0,g,12.9,plaza_vea,2024-12-05 15:12:52.210383,MARACUYÁ,1.0,kg,25.8
Pulpa de Maracuyá Congelada EL FRUTERO Bolsa 5...,,500.0,g,12.9,plaza_vea,2024-12-05 15:12:52.210383,MARACUYÁ,1.0,kg,25.8
Concentrado de Maracuya Agro Selva 500g,,500.0,g,12.99,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,25.98
Pulpa de Maracuyá Agroselva Doypack 250g,,250.0,g,12.99,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,51.96
Mermelada Kusi Maracuyá con Quinua y Stevia Frasco 230 gr,,230.0,g,14.4,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,62.608695652173914
Salsa Chimichurri Maracuyá Parrillero Premium 190g,,190.0,g,14.5,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,76.31578947368422
Yogurt Griego 0% Grasas Tigo Premium Mango - Maracuyá 1kg,,1.0,kg,16.0,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,16.0
Yogurt Griego 0% Grasas Tigo Premium Mango - Maracuyá 1kg,,1.0,kg,18.3,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,18.3
Mermelada Dietética D'Marco Maracuyá y Papaya Frasco 470 g,,470.0,g,21.8,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,46.38297872340426
Concentrado de Maracuya Agro Selva 500g,,500.0,g,22.0,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,44.0
Ambientador Glade en Vela Maracuyá + Hawaiian Breeze 96g,,96.0,g,24.1,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,251.04166666666666
Ambientador Glade en Vela Maracuyá + Hawaiian Breeze 96g,,96.0,g,24.1,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,251.04166666666666
Ambientador En Vela Maracuyá + Hawaiian Breeze 96 g,GLADE,96.0,g,26.5,tottus,2024-12-05 11:55:20.597379,MARACUYÁ,1.0,kg,276.04166666666663
Helado Wong Premium Maracuyá 500g,,500.0,g,32.5,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,65.0
Helado Maracuyá y Mango Lift 390g,,390.0,g,33.5,wong,2024-12-05 18:27:56.405023,MARACUYÁ,1.0,kg,85.89743589743588
Helado Maracuyá y Mango Lift 390g,,390.0,g,33.5,metro,2024-12-05 15:54:43.103743,MARACUYÁ,1.0,kg,85.89743589743588
Cajonazo de Maracuya 6 kg,GRANEL,6.0,kg,36.0,tottus,2024-12-05 11:55:20.597379,MARACUYÁ,1.0,kg,6.0
