description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Caigua x un,S/ 0.59,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,1.0,un,Caigua,0.59,metro,,,MARGARINA ENVASADA
Poro x un,S/ 1.49,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,1.0,un,Poro,1.49,metro,,,MARGARINA ENVASADA
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 500 ml",S/ 1.70,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,500.0,ml,"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella",1.7,metro,,,MARGARINA ENVASADA
Zapallo Macre x kg,S/ 1.99 x kg,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,1.0,kg,Zapallo Macre,1.99,metro,,,MARGARINA ENVASADA
Bebida Rehidratante GATORADE Mandarina Botella...,S/ 2 un,plaza_vea,MARGARINA ENVASADA,2024-12-05 15:10:58.273034,500.0,ml,Bebida Rehidratante GATORADE Mandarina Botella,2.0,plaza_vea,Botella 500ml,,MARGARINA ENVASADA
Bebida Rehidratante SPORADE Mandarina Botella 500ml,S/ 2.00,vega,MARGARINA ENVASADA,2024-12-05 12:30:06.852302,500.0,ml,Bebida Rehidratante SPORADE Mandarina Botella,2.0,vega,,Sporade,MARGARINA ENVASADA
Bebida en Polvo Clight Sin Calorías Sabor Mandarina 14g,S/ 2.30,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,14.0,g,Bebida en Polvo Clight Sin Calorías Sabor Mandarina,2.3,metro,,,MARGARINA ENVASADA
Margarina Manty Pote 90 g,S/ 2.38,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,90.0,g,Margarina Manty Pote,2.38,metro,,,MARGARINA ENVASADA
Bebida Rehidratante Gatorade Mandarina Botella 500ml,S/ 2.40,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,500.0,ml,Bebida Rehidratante Gatorade Mandarina Botella,2.4,metro,,,MARGARINA ENVASADA
Bebida Rehidratante SPORADE Mandarina Botella 500ml,S/ 2.40,vivanda,MARGARINA ENVASADA,2024-12-05 21:58:18.644221,500.0,ml,Bebida Rehidratante SPORADE Mandarina Botella,2.4,vivanda,,SPORADE,MARGARINA ENVASADA
Bebida Rehidratante SPORADE Mandarina Botella ...,S/ 2.40 un,plaza_vea,MARGARINA ENVASADA,2024-12-05 15:10:58.273034,500.0,ml,Bebida Rehidratante SPORADE Mandarina Botella,2.4,plaza_vea,Botella 500ml,,MARGARINA ENVASADA
Zapallito Italiano x un,S/ 2.79,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,1.0,un,Zapallito Italiano,2.79,metro,,,MARGARINA ENVASADA
Margarina MANTY Pote 90g,S/ 2.80,vivanda,MARGARINA ENVASADA,2024-12-05 21:58:18.644221,90.0,g,Margarina MANTY Pote,2.8,vivanda,,MANTY,MARGARINA ENVASADA
