description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Trigo mote VEGA Bolsa 400g,S/ 2.60,vega,MENESTRAS SANCOCHADAS,2024-12-05 13:21:06.451040,400.0,g,Trigo mote VEGA Bolsa,2.6,vega,,Vega,MENESTRAS SANCOCHADAS
Alverja Verde Tesoro del Campo Bolsa 350 g,S/ 2.90,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,350.0,g,Alverja Verde Tesoro del Campo Bolsa,2.9,metro,,,MENESTRAS SANCOCHADAS
Trigo Mote Tesoro del Campo 350g,S/ 2.90,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,350.0,g,Trigo Mote Tesoro del Campo,2.9,metro,,,MENESTRAS SANCOCHADAS
Arveja Cuisine & Co 500g,S/ 3.50,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,500.0,g,Arveja Cuisine & Co,3.5,metro,,,MENESTRAS SANCOCHADAS
Arveja COSTEÑO Bolsa 500g,S/ 3.50,vega,MENESTRAS SANCOCHADAS,2024-12-05 13:21:06.451040,500.0,g,Arveja COSTEÑO Bolsa,3.5,vega,,Costeño,MENESTRAS SANCOCHADAS
Arveja Partida Máxima 500g,S/ 3.50,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,500.0,g,Arveja Partida Máxima,3.5,metro,,,MENESTRAS SANCOCHADAS
Maíz Pop Corn Cuisine & Co 500g,S/ 3.50,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,500.0,g,Maíz Pop Corn Cuisine & Co,3.5,metro,,,MENESTRAS SANCOCHADAS
Trigo Mote Cuisine & Co 500g,S/ 3.50,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,500.0,g,Trigo Mote Cuisine & Co,3.5,metro,,,MENESTRAS SANCOCHADAS
Arveja Partida Máxima 500g,S/ 3.50,wong,MENESTRAS SANCOCHADAS,2024-12-05 19:21:21.905275,500.0,g,Arveja Partida Máxima,3.5,wong,,,MENESTRAS SANCOCHADAS
Maíz Pop Corn x 350 g,S/ 3.65,tottus,MENESTRAS SANCOCHADAS,2024-12-05 12:41:01.886961,350.0,g,Maíz Pop Corn x,3.65,tottus,,TESORO DEL CAMPO,MENESTRAS SANCOCHADAS
Trigo Mote Tesoro Del Campo Bolsa 500 g,S/ 3.70,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,500.0,g,Trigo Mote Tesoro Del Campo Bolsa,3.7,metro,,,MENESTRAS SANCOCHADAS
Arveja Bolsa 500g,S/ 3.70,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,500.0,g,Arveja Bolsa,3.7,metro,,,MENESTRAS SANCOCHADAS
Trigo Mote Maxima Bolsa 500 g,S/ 3.70,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,500.0,g,Trigo Mote Maxima Bolsa,3.7,metro,,,MENESTRAS SANCOCHADAS
Garbanzo VEGA Bolsa 400g,S/ 3.80,vega,MENESTRAS SANCOCHADAS,2024-12-05 13:21:06.451040,400.0,g,Garbanzo VEGA Bolsa,3.8,vega,,Vega,MENESTRAS SANCOCHADAS
Maíz Pop Corn Bolsa 350 g,S/ 3.80,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,350.0,g,Maíz Pop Corn Bolsa,3.8,metro,,,MENESTRAS SANCOCHADAS
Arveja Partida Costeño 500g,S/ 3.80,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,500.0,g,Arveja Partida Costeño,3.8,metro,,,MENESTRAS SANCOCHADAS
Arveja Verde Tesoro Del Campo Bolsa 500 g,S/ 3.80,metro,MENESTRAS SANCOCHADAS,2024-12-05 16:44:16.448046,500.0,g,Arveja Verde Tesoro Del Campo Bolsa,3.8,metro,,,MENESTRAS SANCOCHADAS
Lenteja VEGA Bolsa 400g,S/ 3.80,vega,MENESTRAS SANCOCHADAS,2024-12-05 13:21:06.451040,400.0,g,Lenteja VEGA Bolsa,3.8,vega,,Vega,MENESTRAS SANCOCHADAS
Arveja Partida Costeño 500g,S/ 3.80,wong,MENESTRAS SANCOCHADAS,2024-12-05 19:21:21.905275,500.0,g,Arveja Partida Costeño,3.8,wong,,,MENESTRAS SANCOCHADAS
Arroz Extra Integral 750 g,S/ 3.89,tottus,MENESTRAS SANCOCHADAS,2024-12-05 12:41:01.886961,750.0,g,Arroz Extra Integral,3.89,tottus,,TOTTUS,MENESTRAS SANCOCHADAS
Arroz Superior 750 g,S/ 3.90,tottus,MENESTRAS SANCOCHADAS,2024-12-05 12:41:01.886961,750.0,g,Arroz Superior,3.9,tottus,,TOTTUS,MENESTRAS SANCOCHADAS
Lenteja Bebé VEGA Bolsa 400g,S/ 3.90,vega,MENESTRAS SANCOCHADAS,2024-12-05 13:21:06.451040,400.0,g,Lenteja Bebé VEGA Bolsa,3.9,vega,,Vega,MENESTRAS SANCOCHADAS
Arveja partida VALLENORTE Bolsa 500gr,S/ 3.90,vega,MENESTRAS SANCOCHADAS,2024-12-05 13:21:06.451040,500.0,g,Arveja partida VALLENORTE Bolsa r,3.9,vega,,VALLENORTE,MENESTRAS SANCOCHADAS
Trigo Mote Cuisine & Co 500g,S/ 3.90,wong,MENESTRAS SANCOCHADAS,2024-12-05 19:21:21.905275,500.0,g,Trigo Mote Cuisine & Co,3.9,wong,,,MENESTRAS SANCOCHADAS
Arveja Cuisine & Co 500g,S/ 3.99,wong,MENESTRAS SANCOCHADAS,2024-12-05 19:21:21.905275,500.0,g,Arveja Cuisine & Co,3.99,wong,,,MENESTRAS SANCOCHADAS
