description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 170g,S/ 2.50,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-05 18:16:10.714092,170.0,g,Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata,2.5,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea en Polvo Bonlé 96g,S/ 2.69,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,96.0,g,Mezcla Láctea en Polvo Bonlé,2.69,metro,,,MEZCLA LÁCTEA EVAPORADA
Gloria Leche Light 170g,S/ 2.80,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-05 18:16:10.714092,170.0,g,Gloria Leche Light,2.8,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla para Apanar AJINOMIX Crocante Bolsa 96g,S/ 3.00,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-05 21:52:58.303741,96.0,g,Mezcla para Apanar AJINOMIX Crocante Bolsa,3.0,vivanda,,AJINOMIX,MEZCLA LÁCTEA EVAPORADA
Mezcla para apanar AJI-NO-MIX Apanado Bolsa 96...,S/ 3 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,96.0,g,Mezcla para apanar AJI-NO-MIX Apanado Bolsa 96,3.0,plaza_vea,Bolsa 96g,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Bonlé Familiar Lata 390g,S/ 3.00,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Mezcla Láctea Bonlé Familiar Lata,3.0,metro,,,MEZCLA LÁCTEA EVAPORADA
Mezcla para apanar AJI-NO-MIX Apanado Bolsa 96Gr,S/ 3.20,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-05 21:52:58.303741,96.0,g,Mezcla para apanar AJI-NO-MIX Apanado Bolsa r,3.2,vivanda,,AJINOMOTO,MEZCLA LÁCTEA EVAPORADA
Mezcla para Apanar AJINOMIX Picante Bolsa 80g,S/ 3.30,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-05 21:52:58.303741,80.0,g,Mezcla para Apanar AJINOMIX Picante Bolsa,3.3,vivanda,,AJINOMIX,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Laive Nutrilac Botella 390g,S/ 3.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Mezcla Láctea Laive Nutrilac Botella,3.4,metro,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Cremosa Bonlé Lata 390g,S/ 3.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Mezcla Láctea Cremosa Bonlé Lata,3.5,metro,,,MEZCLA LÁCTEA EVAPORADA
