description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Refresco Instantáneo Sabor Naranja Sobre 15 g,S/ 1.20,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,15.0,g,Refresco Instantáneo Sabor Naranja Sobre,1.2,wong,,,NARANJA DE JUGO
Jugo en polvo sabor a naranja de 15 g,S/ 1.20,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,15.0,g,Jugo en polvo sabor a naranja de,1.2,tottus,,ZUKO,NARANJA DE JUGO
Refresco Instantáneo Sabor Naranja Sobre 15 g,S/ 1.20,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,15.0,g,Refresco Instantáneo Sabor Naranja Sobre,1.2,metro,,,NARANJA DE JUGO
Refresco Instantáneo Umsha Frutísimos Sabor Naranja 20g,S/ 1.60,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,20.0,g,Refresco Instantáneo Umsha Frutísimos Sabor Naranja,1.6,wong,,,NARANJA DE JUGO
Refresco Instantáneo Umsha Frutísimos Sabor Naranja 20g,S/ 1.60,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,20.0,g,Refresco Instantáneo Umsha Frutísimos Sabor Naranja,1.6,metro,,,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 500 ml",S/ 1.70,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,500.0,ml,"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella",1.7,wong,,,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 500 ml",S/ 1.70,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,500.0,ml,"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella",1.7,metro,,,NARANJA DE JUGO
"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja 500ml",S/ 2.10,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,500.0,ml,"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja",2.1,wong,,,NARANJA DE JUGO
Naranja para Jugo Chanchamayo x kg,S/ 2.29 x kg,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,1.0,kg,Naranja para Jugo Chanchamayo,2.29,metro,,,NARANJA DE JUGO
Bebida en Polvo Clight Sin Calorías Sabor Naranja 14g,S/ 2.30,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,14.0,g,Bebida en Polvo Clight Sin Calorías Sabor Naranja,2.3,metro,,,NARANJA DE JUGO
Bebida en Polvo Clight Sin Calorías Sabor Naranja 14g,S/ 2.30,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,14.0,g,Bebida en Polvo Clight Sin Calorías Sabor Naranja,2.3,wong,,,NARANJA DE JUGO
Naranja para Jugo,S/ 2.39 x kg,plaza_vea,NARANJA DE JUGO,2024-12-05 15:12:47.057074,1.0,kg,Naranja para Jugo,2.39,plaza_vea,Presentación 1 kg aprox.,,NARANJA DE JUGO
Gaseosa sabor Naranja 500 mL,S/ 2.70,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,500.0,ml,Gaseosa sabor Naranja,2.7,tottus,,FANTA,NARANJA DE JUGO
Puré De Camote Jugo Naranja Granada Y Miel x 40 g,S/ 2.90,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,40.0,g,Puré De Camote Jugo Naranja Granada Y Miel x,2.9,tottus,,CAMOFIT,NARANJA DE JUGO
Naranja para Jugo Chanchamayo x kg,S/ 2.99 x kg,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,1.0,kg,Naranja para Jugo Chanchamayo,2.99,wong,,,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 600 ml",S/ 2.99,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,600.0,ml,"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella",2.99,metro,,,NARANJA DE JUGO
BEBIDA NARANJA X 970ML,S/ 3.90,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,970.0,ml,BEBIDA NARANJA X,3.9,tottus,,FRUGOS DEL VALLE,NARANJA DE JUGO
Bebida Sabor Naranja 1 L,S/ 3.90,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,1.0,l,Bebida Sabor Naranja,3.9,tottus,,WATTS,NARANJA DE JUGO
Bebida de Naranja Gloria Caja 1L,S/ 3.90,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,1.0,l,Bebida de Naranja Gloria Caja,3.9,wong,,,NARANJA DE JUGO
Bebida de Naranja Frugos del Valle Caja 970ml,S/ 3.90,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,970.0,ml,Bebida de Naranja Frugos del Valle Caja,3.9,metro,,,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 1.5 lt",S/ 4.00,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,1.5,l,"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella",4.0,wong,,,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 1.5 lt",S/ 4.00,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,1.5,l,"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella",4.0,metro,,,NARANJA DE JUGO
Bebida sabor naranja 475 mL,S/ 4.40,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,475.0,ml,Bebida sabor naranja,4.4,tottus,,KERO,NARANJA DE JUGO
BEBIDAS DE NARANJA CAJA 946ML,S/ 4.50,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,946.0,ml,BEBIDAS DE NARANJA CAJA,4.5,tottus,,WATTS,NARANJA DE JUGO
Bebida de Naranja Watts Caja 1L,S/ 4.50,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,1.0,l,Bebida de Naranja Watts Caja,4.5,wong,,,NARANJA DE JUGO
Bebida de Naranja Frugos del Valle Botella 1L,S/ 4.50,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,1.0,l,Bebida de Naranja Frugos del Valle Botella,4.5,wong,,,NARANJA DE JUGO
Bebida de Naranja Watts Caja 1L,S/ 4.50,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,1.0,l,Bebida de Naranja Watts Caja,4.5,metro,,,NARANJA DE JUGO
Bebida de Naranja Gloria Caja 1.5L,S/ 4.90,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,1.5,l,Bebida de Naranja Gloria Caja,4.9,metro,,,NARANJA DE JUGO
"Bebida GLORIA Naranja Caja 1,5L",S/ 5.00,vega,NARANJA DE JUGO,2024-12-05 12:31:53.248242,5.0,l,"Bebida GLORIA Naranja Caja 1,",5.0,vega,,Gloria,NARANJA DE JUGO
Tripack Bebida Instantánea Clight Sin Calorías Sabor Naranja 14g,S/ 5.00,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,14.0,g,Tripack Bebida Instantánea Clight Sin Calorías Sabor Naranja,5.0,wong,,,NARANJA DE JUGO
Bebida de Naranja Frugos del Valle Caja 1.5L,S/ 5.50,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,1.5,l,Bebida de Naranja Frugos del Valle Caja,5.5,wong,,,NARANJA DE JUGO
Bebida de Naranja Frugos del Valle Caja 1.5L,S/ 5.50,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,1.5,l,Bebida de Naranja Frugos del Valle Caja,5.5,metro,,,NARANJA DE JUGO
Cola naranja Fresh 3 L,S/ 5.50,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,3.0,l,Cola naranja Fresh,5.5,tottus,,TOTTUS,NARANJA DE JUGO
Naranja 591 mL,S/ 5.50,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,591.0,ml,Naranja,5.5,tottus,,GATORADE,NARANJA DE JUGO
Jugo KING FRUITS Mix fresa y naranja Botella 5...,S/ 5.60 un,plaza_vea,NARANJA DE JUGO,2024-12-05 15:12:47.057074,500.0,ml,Jugo KING FRUITS Mix fresa y naranja Botella 5,5.6,plaza_vea,Botella 500ml,,NARANJA DE JUGO
Jugo de Fruta KERO Naranja y Piña Botella 475ml,S/ 5.70,vivanda,NARANJA DE JUGO,2024-12-05 21:59:34.715754,475.0,ml,Jugo de Fruta KERO Naranja y Piña Botella,5.7,vivanda,,KERO,NARANJA DE JUGO
Jugo KING FRUITS Naranja Pasteurizado Botella ...,S/ 5.80 un,plaza_vea,NARANJA DE JUGO,2024-12-05 15:12:47.057074,500.0,ml,Jugo KING FRUITS Naranja Pasteurizado Botella,5.8,plaza_vea,Botella 500ml,,NARANJA DE JUGO
"Bebida de Naranja, Piña y Camu Camu Kero Botella 475 ml",S/ 5.80,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,475.0,ml,"Bebida de Naranja, Piña y Camu Camu Kero Botella",5.8,metro,,,NARANJA DE JUGO
Jugo de Naranja Florida's Nature Lata 340ml,S/ 5.90,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,340.0,ml,Jugo de Naranja Florida's Nature Lata,5.9,wong,,,NARANJA DE JUGO
"Bebida de Naranja, Piña y Camu Camu Kero Botella 475ml",S/ 5.90,wong,NARANJA DE JUGO,2024-12-05 18:27:56.939269,475.0,ml,"Bebida de Naranja, Piña y Camu Camu Kero Botella",5.9,wong,,,NARANJA DE JUGO
Gaseosa Sabor Naranja 3 L,S/ 5.90,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,3.0,l,Gaseosa Sabor Naranja,5.9,tottus,,CONCORDIA,NARANJA DE JUGO
Jugo de Naranja Florida's Nature Lata 340ml,S/ 5.90,metro,NARANJA DE JUGO,2024-12-05 15:54:50.245108,340.0,ml,Jugo de Naranja Florida's Nature Lata,5.9,metro,,,NARANJA DE JUGO
Bebida Frugos Fresh Naranja de 3 L,S/ 5.90,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,3.0,l,Bebida Frugos Fresh Naranja de,5.9,tottus,,FRUGOS DEL VALLE,NARANJA DE JUGO
BEBIDA DE NARANJA CAJA 1.5L,S/ 5.90,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,1.5,l,BEBIDA DE NARANJA CAJA,5.9,tottus,,GLORIA,NARANJA DE JUGO
Rehidratante Naranja Mandarina 630 mL,S/ 6.50,tottus,NARANJA DE JUGO,2024-12-05 11:55:34.122084,630.0,ml,Rehidratante Naranja Mandarina,6.5,tottus,,SUEROX,NARANJA DE JUGO
Jugo de Naranja ECOFRESH Botella 400ml,S/ 6.59,vivanda,NARANJA DE JUGO,2024-12-05 21:59:34.715754,400.0,ml,Jugo de Naranja ECOFRESH Botella,6.59,vivanda,,ECOFRESH,NARANJA DE JUGO
