description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Pan Árabe Integral 5un,S/ 2.50,wong,PAN INTEGRAL,2024-12-05 17:40:46.815376,5.0,un,Pan Árabe Integral,2.5,wong,,,PAN INTEGRAL
Pan Integral 5un,S/ 2.80,wong,PAN INTEGRAL,2024-12-05 17:40:46.815376,5.0,un,Pan Integral,2.8,wong,,,PAN INTEGRAL
Pita Chips Integrales El Cedro 50g,S/ 3.60,wong,PAN INTEGRAL,2024-12-05 17:40:46.815376,50.0,g,Pita Chips Integrales El Cedro,3.6,wong,,,PAN INTEGRAL
Pan Integral 5un,S/ 3.90,metro,PAN INTEGRAL,2024-12-05 15:12:18.029541,5.0,un,Pan Integral,3.9,metro,,,PAN INTEGRAL
Pan Árabe Integral EL CEDRO con Salvado de Tri...,S/ 4 un,plaza_vea,PAN INTEGRAL,2024-12-05 14:32:19.619099,5.0,un,Pan Árabe Integral EL CEDRO con Salvado de Tri,4.0,plaza_vea,Bolsa 5un,,PAN INTEGRAL
Pan Árabe Integral El Cedro 5un,S/ 4.30,wong,PAN INTEGRAL,2024-12-05 17:40:46.815376,5.0,un,Pan Árabe Integral El Cedro,4.3,wong,,,PAN INTEGRAL
Pan Árabe Integral LA FLORENCIA Bolsa 380g,S/ 4.90 un,plaza_vea,PAN INTEGRAL,2024-12-05 14:32:19.619099,380.0,g,Pan Árabe Integral LA FLORENCIA Bolsa,4.9,plaza_vea,Bolsa 380g,,PAN INTEGRAL
Pan De La Casa Integral 350 g,S/ 5.20,tottus,PAN INTEGRAL,2024-12-05 11:16:43.357332,350.0,g,Pan De La Casa Integral,5.2,tottus,,TOTTUS,PAN INTEGRAL
Pan Pita Integral BELL'S Bolsa 300g,S/ 5.70 un,plaza_vea,PAN INTEGRAL,2024-12-05 14:32:19.619099,300.0,g,Pan Pita Integral BELL'S Bolsa,5.7,plaza_vea,Bolsa 300g,,PAN INTEGRAL
Pan Pita Integral 10 unidades,S/ 6,tottus,PAN INTEGRAL,2024-12-05 11:16:43.357332,10.0,un,Pan Pita Integral ades,6.0,tottus,,BIMBO,PAN INTEGRAL
