description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Sopa Instántanea AJINOMEN Sabor a Carne Bolsa ...,,80.0,g,1.6,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,20.0
Ají Panca Molido RICASA Doypack 100g,,100.0,g,2.2,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,22.0
Ají panca PIKI Molido Doypack 120Gr,,120.0,g,2.9,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,24.166666666666668
Comida para Gatos RICOCAT Trocitos Carne Gatit...,,85.0,g,3.0,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,35.29411764705882
Hojuelas al Ajo EL CEDRO con Pan Árabe Bolsa 50g,EL CEDRO,50.0,g,3.7,vivanda,2024-12-05 21:38:47.207025,PANCETA (CARNE DE CERDO),1.0,kg,74.0
Paté de Cerdo BRAEDT Paquete 100g,,100.0,g,3.9,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,39.0
Alimento Húmedo para Gatos FELIX Classic con C...,,85.0,g,3.9,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,45.882352941176464
Caldo en Cubitos MAGGI sabor Carne Caja 75.2g,,75.2,g,4.5,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,59.84042553191489
Tostadas Integrales BIMBO Cero Cero Bolsa 140g,,140.0,g,5.8,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,41.42857142857142
Comida para Perros RICOCAN Adulto Todas las Ra...,,290.0,g,5.9,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,20.3448275862069
Comida para Perros RICOCAN Adultos Paté con Ca...,,330.0,g,5.9,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,17.87878787878788
Pan Pita BIMBO Cero Cero Bolsa 240g,,240.0,g,6.8,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,28.333333333333336
Panela Granulada Orgánica BELL'S Doypack 500g,BELL'S,500.0,g,8.2,vivanda,2024-12-05 21:38:47.207025,PANCETA (CARNE DE CERDO),1.0,kg,16.4
Panela Granulada Orgánica BELL'S Doypack 500g,,500.0,g,8.2,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,16.4
Ají Panca Molido SIBARITA Panquita Doypack 250...,,250.0,g,8.4,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,33.6
Paleta Choco Golden BELL'S 6un caja 372 g,,372.0,g,8.49,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,22.82258064516129
Salsa PIKI Ají panca molido Doypack 350g,,350.0,g,8.69,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,24.82857142857143
Ají Panca FERYMAR Envase 250g,,250.0,g,8.7,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,34.8
Tortillas BIMBO Cero Cero Bolsa 280g,,280.0,g,8.9,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,31.785714285714285
Panela Orgánica ONZA Doypack 500g,,500.0,g,10.0,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,20.0
Pan Blanco BIMBO Cero Cero Bolsa 530g,,530.0,g,10.5,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,19.81132075471698
Pan Integral BIMBO Cero Cero Bolsa 560g,,560.0,g,10.8,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,19.285714285714285
Carne Molida Congelada LOS HIERROS 500g,,500.0,g,10.9,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,21.8
Ravioles de Carne y Verdura BELL'S Paquete 500...,,500.0,g,10.9,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,21.8
