description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Kekitos Todinno 2un,,2.0,un,2.5,wong,2024-12-05 17:42:09.348768,PANETÓN,2.0,un,2.5
Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack 90g,,90.0,g,2.5,metro,2024-12-05 15:15:01.156214,PANETÓN,90.0,g,2.5
Kekitos Bipack 55 g,TODINNO,55.0,g,2.5,tottus,2024-12-05 11:17:35.295222,PANETÓN,55.0,g,2.5
Kekitos Todinno 2un,,2.0,un,2.5,metro,2024-12-05 15:15:01.156214,PANETÓN,2.0,un,2.5
Panetón Todinnito con Frutas Confitadas y Pasas 85g,TODINNO,85.0,g,3.3,tottus,2024-12-05 11:17:35.295222,PANETÓN,85.0,g,3.3
Mini Panetón Minions Caja 80g Surtido,,80.0,g,3.5,wong,2024-12-05 17:42:09.348768,PANETÓN,80.0,g,3.5
Pasteles Pingüino Triple Sabor Chocolate 80g,,80.0,g,3.5,metro,2024-12-05 15:15:01.156214,PANETÓN,80.0,g,3.5
Mini Panetón Minions Caja 80g Surtido,,80.0,g,3.5,metro,2024-12-05 15:15:01.156214,PANETÓN,80.0,g,3.5
Keke Sabor Chocolate Relleno con Crema Pingüinos Marinela Paquete 2 unid,,2.0,un,3.5,metro,2024-12-05 15:15:01.156214,PANETÓN,2.0,un,3.5
Keke Sabor Naranja PYC Kekitos 3un,,3.0,un,3.7,metro,2024-12-05 15:15:01.156214,PANETÓN,3.0,un,3.7
Keke Sabor Vainilla PYC Kekitos 3un,,3.0,un,3.7,wong,2024-12-05 17:42:09.348768,PANETÓN,3.0,un,3.7
Keke Sabor Naranja PYC Kekitos 3un,,3.0,un,3.7,wong,2024-12-05 17:42:09.348768,PANETÓN,3.0,un,3.7
Panetón GLORIA Mini Bolsa 80g,Gloria,80.0,g,3.7,vega,2024-12-05 11:46:23.316719,PANETÓN,80.0,g,3.7
Panetón GLORIA MiniChoco Bolsa 90g,Gloria,90.0,g,3.7,vega,2024-12-05 11:46:23.316719,PANETÓN,90.0,g,3.7
Keke Sabor Chocolate Relleno con Crema Pingüinos Marinela Paquete 2 unid,,2.0,un,3.8,wong,2024-12-05 17:42:09.348768,PANETÓN,2.0,un,3.8
Keke Bimboletes Chispas Sabor Chocolate 3un,,3.0,un,3.8,wong,2024-12-05 17:42:09.348768,PANETÓN,3.0,un,3.8
Keke Bimboletes Chispas Sabor Chocolate 3un,,3.0,un,3.9,metro,2024-12-05 15:15:01.156214,PANETÓN,3.0,un,3.9
Panetón Donofrio Panetoncito Bolsa x 80 g,D'ONOFRIO,80.0,g,3.9,tottus,2024-12-05 11:17:35.295222,PANETÓN,80.0,g,3.9
Bizcocho Chocotoncito Bolsa 80 gr,DONOFRIO,80.0,g,3.9,tottus,2024-12-05 11:17:35.295222,PANETÓN,80.0,g,3.9
Keke Bimbo Bimbolete Marmoleado 3un,,3.0,un,3.9,metro,2024-12-05 15:15:01.156214,PANETÓN,3.0,un,3.9
Mini Panetón GLORIA Bolsa 80g,,80.0,g,3.99,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,80.0,g,3.99
Mini Panetón Gloria con Chispas Sabor Chocolate Doypack 90g,,90.0,g,4.0,metro,2024-12-05 15:15:01.156214,PANETÓN,90.0,g,4.0
Keke Bimbo Bimbolete Marmoleado 3un,,3.0,un,4.0,wong,2024-12-05 17:42:09.348768,PANETÓN,3.0,un,4.0
Keke Sabor Vainilla Bimbolete Bimbo Paquete 3 unid,,3.0,un,4.0,wong,2024-12-05 17:42:09.348768,PANETÓN,3.0,un,4.0
Mini Panetón Gloria Doypack 80g,,80.0,g,4.0,metro,2024-12-05 15:15:01.156214,PANETÓN,80.0,g,4.0
Mini Panetón ARCOR Sapito Bolsa 75g,,75.0,g,4.3,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,75.0,g,4.3
Mini Panetón ARCOR Sapito Bolsa 75g,ARCOR,75.0,g,4.3,vivanda,2024-12-05 21:34:08.513451,PANETÓN,75.0,g,4.3
Mini Panetón Donofrio Chocotoncito Bolsa 80g,,80.0,g,4.4,wong,2024-12-05 17:42:09.348768,PANETÓN,80.0,g,4.4
Mini Panetón Donofrio Chocotoncito Bolsa 80g,,80.0,g,4.4,metro,2024-12-05 15:15:01.156214,PANETÓN,80.0,g,4.4
Mini Panetón Sapito Doypack 75g,,75.0,g,4.5,wong,2024-12-05 17:42:09.348768,PANETÓN,75.0,g,4.5
Panetón D'onofrio Panetoncito Caja 90g,,90.0,g,4.5,metro,2024-12-05 15:15:01.156214,PANETÓN,90.0,g,4.5
Mini Panetón Sapito Doypack 75g,,75.0,g,4.5,metro,2024-12-05 15:15:01.156214,PANETÓN,75.0,g,4.5
Panetón D'onofrio Panetoncito Caja 90g,,90.0,g,4.5,wong,2024-12-05 17:42:09.348768,PANETÓN,90.0,g,4.5
Panetón con Trozos de Chocolate TODINNO Ciocco...,,80.0,g,4.6,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,80.0,g,4.6
