description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Papa Blanca x kg,,1.0,kg,1.59,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,1.59
Galletas FIELD Doña Pepa Travesuras Bolsa 50g,,50.0,g,1.9,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),50.0,g,1.9
Papa Blanca Cocktail x kg,,1.0,kg,1.99,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,1.99
Agua sin Gas CIELO Tapa Sport Botella 1L,,1.0,l,2.4,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),1.0,l,2.4
Papas Artesanales LAYS BBQ Bolsa 34g,LAY'S,34.0,g,2.49,vivanda,2024-12-05 22:31:30.086091,PAPA FRITA (BOCADITOS),34.0,g,2.49
Papas Artesanales LAYS Sal Marina Bolsa 34g,LAY'S,34.0,g,2.49,vivanda,2024-12-05 22:31:30.086091,PAPA FRITA (BOCADITOS),34.0,g,2.49
44 g,CHEESE TRIS,44.0,g,2.49,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),44.0,g,2.49
Compota de Fruta BELL'S Pera Frasco 113g,,113.0,g,2.5,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),113.0,g,2.5
Compota de Fruta BELL'S Durazno Frasco 113g,,113.0,g,2.5,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),113.0,g,2.5
Papas Lay's Clásicas 36g,LAYS,36.0,g,2.5,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),36.0,g,2.5
Doritos Queso Atrevido 45g,SOLGAR,45.0,g,2.5,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),45.0,g,2.5
Papa Blanca Metro x kg,,1.0,kg,2.6,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,2.6
Papas Fritas Lay's Naturales 36g,,36.0,g,2.7,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),36.0,g,2.7
Papas Fritas Lay's Naturales 34g,,34.0,g,2.7,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),34.0,g,2.7
Papas Fritas Lay's Naturales 34g,,34.0,g,2.7,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),34.0,g,2.7
Papas LAY'S Clásicas Bolsa 36g,LAY'S,36.0,g,2.7,vivanda,2024-12-05 22:31:30.086091,PAPA FRITA (BOCADITOS),36.0,g,2.7
Papas Fritas Lay's Naturales 36g,,36.0,g,2.7,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),36.0,g,2.7
Papas PAPI RICAS Sabor Picante Bolsa 70gr,PAPI RICAS,70.0,g,2.8,vega,2024-12-05 13:23:14.917685,PAPA FRITA (BOCADITOS),70.0,g,2.8
Hojuelas de Papas Nativas TIYAPUY Mix Fritas B...,,40.0,g,2.9,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),40.0,g,2.9
Papas Fritas Lays Artesanas Alitas BBQ 34g,,34.0,g,2.9,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),34.0,g,2.9
Papas Fritas Lays Artesanas Sal Marina 34g,,34.0,g,2.9,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),34.0,g,2.9
Papas Fritas Lays Artesanas Alitas BBQ 34g,,34.0,g,2.9,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),34.0,g,2.9
Papa Canchán Procesada x kg,,1.0,kg,2.96,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,2.96
Papa Blanca Yungay x kg,,1.0,kg,2.99,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),1.0,kg,2.99
Papa Canchán Procesada Especial x kg,,1.0,kg,3.29,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,3.29
Papa Blanca Cocktail x kg,,1.0,kg,3.29,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),1.0,kg,3.29
Papa Blanca Canchán Procesada x kgs,,1.0,kg,3.39,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,3.39
Papa Blanca Canchán Procesada x kgs,,1.0,kg,3.39,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),1.0,kg,3.39
Takis Fuego 1P 56 g Flow Bar Exp,BIMBO,56.0,g,3.6,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),56.0,g,3.6
Papas Fritas BELL'S Sabor Original Lata 60g,BELL'S,60.0,g,3.7,vivanda,2024-12-05 22:31:30.086091,PAPA FRITA (BOCADITOS),60.0,g,3.7
Papa Canchán Procesada Agro Selecto 1Kg,,1.0,kg,3.8,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,3.8
Quinoa Chips Sabor Finas Hierbas 35g,QFOODS,35.0,g,3.9,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),35.0,g,3.9
Papa Canchán Procesada Agro Selecto 1Kg,,1.0,kg,4.0,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),1.0,kg,4.0
Papas LAY'S Clásicas Bolsa 70g,LAY'S,70.0,g,4.0,vivanda,2024-12-05 22:31:30.086091,PAPA FRITA (BOCADITOS),70.0,g,4.0
Papas al Hilo BELL'S Bolsa 125g,BELL'S,125.0,g,4.2,vivanda,2024-12-05 22:31:30.086091,PAPA FRITA (BOCADITOS),125.0,g,4.2
Papa Yungay Agro Selecto 1Kg,,1.0,kg,4.28,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,4.28
Papas Papi Ricas Picante 70g,,70.0,g,4.3,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),70.0,g,4.3
Papa seca VEGA Bolsa 400g,Vega,400.0,g,4.3,vega,2024-12-05 13:23:14.917685,PAPA FRITA (BOCADITOS),400.0,g,4.3
Piqueo BELL'S Maní con Pasas Táper 140g,,140.0,g,4.3,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),140.0,g,4.3
Puré de Papa KNORR Bolsa 125g,,125.0,g,4.3,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),125.0,g,4.3
Papas en Hojuelas Papi Ricas Pollo a la Brasa 70g,,70.0,g,4.4,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),70.0,g,4.4
Papa Rellena x un,,1.0,un,4.4,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,un,4.4
Papa Negra Andina Procesada Metro x kg,,1.0,kg,4.49,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,4.49
Papa Huayro Metro x kg,,1.0,kg,4.49,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,4.49
Pasas Morenas BELL'S Bolsa 180g,,180.0,g,4.5,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),180.0,g,4.5
Papa Yungay Agro Selecto 1Kg,,1.0,kg,4.5,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),1.0,kg,4.5
Camotes Fritos 160 g,TIYAPUY,160.0,g,4.65,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),160.0,g,4.65
Papa Negra Andina Procesada x kg,,1.0,kg,4.69,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,4.69
Papa Recta Green Food 400g,,400.0,g,4.72,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),400.0,g,4.72
Papa Recta Green Food 400g,,400.0,g,4.72,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),400.0,g,4.72
Papa Blanca Perricholi Procesada Wong x kg,,1.0,kg,4.79,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),1.0,kg,4.79
Papa Perricholi Agroselecto 1kg,,1.0,kg,4.8,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),1.0,kg,4.8
Maíz Gigante Original 100 g,INKA CORN,100.0,g,4.88,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),100.0,g,4.88
Papas al Hilo BELL'S Bolsa 125g,,125.0,g,4.9,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),125.0,g,4.9
Galleta Doña Pepa FIELD Paquete 6un,,6.0,un,4.9,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),6.0,un,4.9
Tortilla Chips Mexi Nachos 100 g,GENERICO,100.0,g,4.9,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),100.0,g,4.9
Villa Maiz Gigante Original 80g,VILLA NATURA,80.0,g,4.9,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),80.0,g,4.9
Nachos de Maíz Morado Perú Nachos 90 g,,90.0,g,4.9,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),90.0,g,4.9
Papa Rellena Frita x un,,1.0,un,4.9,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,un,4.9
Piqueo VILLA NATURA Papas fritas al hilo Bolsa...,,150.0,g,5.0,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),150.0,g,5.0
BOLIQUESO 110G,CHEETOS,110.0,g,5.0,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),110.0,g,5.0
Tortees Picante 138g,,138.0,g,5.0,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),138.0,g,5.0
Flamin' Hot 120g,CHEETOS,120.0,g,5.0,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),120.0,g,5.0
Tortees Salado 138g,,138.0,g,5.0,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),138.0,g,5.0
CHEESE SNACKS X 200G,BUCKY,200.0,g,5.1,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),200.0,g,5.1
Papa Ondulada Green Food 400g,,400.0,g,5.2,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),400.0,g,5.2
Papa Ondulada Green Food 400g,,400.0,g,5.2,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),400.0,g,5.2
Papa Amarilla Cocktail Comcen 1kg,,1.0,kg,5.23,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),1.0,kg,5.23
Papa Amarilla Cocktail Comcen 1kg,,1.0,kg,5.3,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,5.3
Maní Tostado Frito BELL'S Táper 200g,,200.0,g,5.4,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),200.0,g,5.4
Papas LAY'S Clásicas Bolsa 150g,LAY'S,150.0,g,5.4,vivanda,2024-12-05 22:31:30.086091,PAPA FRITA (BOCADITOS),150.0,g,5.4
Papas LAY'S Clásicas Bolsa 150g,,150.0,g,5.4,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),150.0,g,5.4
Papa Nativa x kg,,1.0,kg,5.49,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),1.0,kg,5.49
Papas LAY'S Ondas Clásicas Bolsa 140g,,140.0,g,5.5,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),140.0,g,5.5
Papas LAY'S Ondas Picante Bolsa 140g,,140.0,g,5.5,plaza_vea,2024-12-05 16:00:53.382192,PAPA FRITA (BOCADITOS),140.0,g,5.5
Papas al Hilo Lay's 155g,,155.0,g,5.5,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),155.0,g,5.5
Papas Lays Clásicas 150g,,150.0,g,5.5,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),150.0,g,5.5
Papas Fritas Lay's Ondas Clásicas 140g,,140.0,g,5.5,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),140.0,g,5.5
Papa Negra Andina Agro Selecto 1Kg,,1.0,kg,5.5,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),1.0,kg,5.5
Papas Fritas Lay's Ondas Sabor a Mayonesa 140g,,140.0,g,5.5,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),140.0,g,5.5
Papa Negra Andina Agro Selecto 1Kg,,1.0,kg,5.5,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),1.0,kg,5.5
MAYONESA 140G,LAYS,140.0,g,5.5,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),140.0,g,5.5
Papas Ondas LAY'S con Mayonesa Bolsa 140g,LAY'S,140.0,g,5.5,vivanda,2024-12-05 22:31:30.086091,PAPA FRITA (BOCADITOS),140.0,g,5.5
Papas al Hilo Lay's 155g,,155.0,g,5.5,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),155.0,g,5.5
Papas Fritas Lay's Ondas Clásicas 140g,,140.0,g,5.5,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),140.0,g,5.5
Papas Lays Clásicas 150g,,150.0,g,5.5,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),150.0,g,5.5
Papas Fritas Lay's Ondas Sabor a Mayonesa 140g,,140.0,g,5.5,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),140.0,g,5.5
Papas Fritas Onduladas Saladas Cuisine & Co Bolsa 150 gr,,150.0,g,5.5,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),150.0,g,5.5
Papas Al Hilo Lay's 155g,LAYS,155.0,g,5.5,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),155.0,g,5.5
Papas Lay's Ondas Picante 140g,LAYS,140.0,g,5.5,tottus,2024-12-05 12:42:36.072557,PAPA FRITA (BOCADITOS),140.0,g,5.5
Papas en Hojuelas Lay's Ondas Picante 140g,,140.0,g,5.5,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),140.0,g,5.5
Papa Recta Cuisine & Co 400g,,400.0,g,5.52,wong,2024-12-05 19:25:26.260905,PAPA FRITA (BOCADITOS),400.0,g,5.52
Papa Recta Cuisine & Co 400g,,400.0,g,5.52,metro,2024-12-05 16:47:55.737032,PAPA FRITA (BOCADITOS),400.0,g,5.52
