description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Teja de Pecana Helena 30g,S/ 5.99,metro,PECANAS,2024-12-05 16:07:29.663138,30.0,g,Teja de Pecana Helena,5.99,metro,,,PECANAS
Chocoteja de Pecana Helena 30g,S/ 5.99,metro,PECANAS,2024-12-05 16:07:29.663138,30.0,g,Chocoteja de Pecana Helena,5.99,metro,,,PECANAS
Pecana Pelada Villa Natura 60g,S/ 6.90,metro,PECANAS,2024-12-05 16:07:29.663138,60.0,g,Pecana Pelada Villa Natura,6.9,metro,,,PECANAS
PECANA PELADA 60 GR,S/ 6.90,tottus,PECANAS,2024-12-05 12:09:06.084418,60.0,g,PECANA PELADA R,6.9,tottus,,VILLA NATURA,PECANAS
Pecana Pelada VILLA NATURA Bolsa 60g,S/ 7.90 un,plaza_vea,PECANAS,2024-12-05 15:25:51.464030,60.0,g,Pecana Pelada VILLA NATURA Bolsa,7.9,plaza_vea,Bolsa 60g,,PECANAS
Chocolate en Barra LA IBÉRICA Milky Pecanas y ...,S/ 8.50 un,plaza_vea,PECANAS,2024-12-05 15:25:51.464030,50.0,g,Chocolate en Barra LA IBÉRICA Milky Pecanas y,8.5,plaza_vea,Paquete 50g,,PECANAS
Chocolate con Leche Milky Pecanas y Pasas 40% Cacao 50g,S/ 8.50,wong,PECANAS,2024-12-05 18:43:13.260318,50.0,g,Chocolate con Leche Milky Pecanas y Pasas 40% Cacao,8.5,wong,,,PECANAS
Chocolate en Barra LA IBÉRICA Milky Pecanas y Pasas Paquete 50g,S/ 8.50,vivanda,PECANAS,2024-12-05 22:08:06.344343,50.0,g,Chocolate en Barra LA IBÉRICA Milky Pecanas y Pasas Paquete,8.5,vivanda,,LA IBERICA,PECANAS
Bolitas de Cereal TRUBALLS Pecanas y Naranja D...,S/ 8.80 un,plaza_vea,PECANAS,2024-12-05 15:25:51.464030,90.0,g,Bolitas de Cereal TRUBALLS Pecanas y Naranja D,8.8,plaza_vea,Doypack 90g,,PECANAS
Pecanas Peladas Vallealto 90g,S/ 10.90,wong,PECANAS,2024-12-05 18:43:13.260318,90.0,g,Pecanas Peladas Vallealto,10.9,wong,,,PECANAS
