description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Pepinillo,S/ 2.39 x kg,plaza_vea,PEPINILLO,2024-12-05 15:31:12.208096,1.0,kg,Pepinillo,2.39,plaza_vea,Presentación 1 kg aprox.,,PEPINILLO
Pepinillo x un,S/ 2.80,metro,PEPINILLO,2024-12-05 16:12:30.028794,1.0,un,Pepinillo,2.8,metro,,,PEPINILLO
Pepinillo Hidropónico Ecologic x un,S/ 3.70,wong,PEPINILLO,2024-12-05 18:48:31.219500,1.0,un,Pepinillo Hidropónico Ecologic,3.7,wong,,,PEPINILLO
Baby Pepinillo BELL'S FRESCOS x un,S/ 3.99,vivanda,PEPINILLO,2024-12-05 22:11:25.511172,1.0,un,Baby Pepinillo BELL'S FRESCOS,3.99,vivanda,,BELL'S FRESCOS,PEPINILLO
Pepinillo Holandés Frescas x un,S/ 4.70,wong,PEPINILLO,2024-12-05 18:48:31.219500,1.0,un,Pepinillo Holandés Frescas,4.7,wong,,,PEPINILLO
Pepinillo Pickles Hidropónico de Invernadero Ecologic Bandeja 300g,S/ 5.40,wong,PEPINILLO,2024-12-05 18:48:31.219500,300.0,g,Pepinillo Pickles Hidropónico de Invernadero Ecologic Bandeja,5.4,wong,,,PEPINILLO
Pepinillo Premium La Huerta x unid,S/ 6.00,wong,PEPINILLO,2024-12-05 18:48:31.219500,1.0,un,Pepinillo Premium La Huerta,6.0,wong,,,PEPINILLO
Pepinillo Japonés La Huerta 420g,S/ 6.20,wong,PEPINILLO,2024-12-05 18:48:31.219500,420.0,g,Pepinillo Japonés La Huerta,6.2,wong,,,PEPINILLO
Pepinillo Sin Pepas TODO SANO x un,S/ 6.49 un,plaza_vea,PEPINILLO,2024-12-05 15:31:12.208096,1.0,un,Pepinillo Sin Pepas TODO SANO,6.49,plaza_vea,Paquete 1un,,PEPINILLO
Pepinillos ASPERIO Frasco 370g,S/ 6.90,vivanda,PEPINILLO,2024-12-05 22:11:25.511172,370.0,g,Pepinillos ASPERIO Frasco,6.9,vivanda,,ASPERIO,PEPINILLO
Pepinillo Encurtido 220g,S/ 8.32,metro,PEPINILLO,2024-12-05 16:12:30.028794,220.0,g,Pepinillo Encurtido,8.32,metro,,,PEPINILLO
Pepinillos ASPERIO Sabor Anchoa Frasco 370g,S/ 8.50,vivanda,PEPINILLO,2024-12-05 22:11:25.511172,370.0,g,Pepinillos ASPERIO Sabor Anchoa Frasco,8.5,vivanda,,ASPERIO,PEPINILLO
Pepinillos ASPERIO Sabor Anchoa Frasco 370g,S/ 8.50 un,plaza_vea,PEPINILLO,2024-12-05 15:31:12.208096,370.0,g,Pepinillos ASPERIO Sabor Anchoa Frasco,8.5,plaza_vea,Frasco 370g,,PEPINILLO
Pepinillos Encurtidos en Vinagre CALÉ Frasco 2...,S/ 8.60 un,plaza_vea,PEPINILLO,2024-12-05 15:31:12.208096,240.0,g,Pepinillos Encurtidos en Vinagre CALÉ Frasco 2,8.6,plaza_vea,Frasco 240g,,PEPINILLO
