description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Hojuelas al Ajo EL CEDRO con Pan Árabe Bolsa 50g,EL CEDRO,50.0,g,3.7,vivanda,2024-12-05 21:39:35.651677,PIERNA (CARNE DE CERDO),1.0,kg,74.0
Pina Picada BELL'S FRESCOS Bandeja 500g,BELL'S FRESCOS,500.0,g,9.89,vivanda,2024-12-05 21:39:35.651677,PIERNA (CARNE DE CERDO),1.0,kg,19.78
Jamón de Pierna SANT DALMAI Paquete 150g,SANT DALMAI,150.0,g,11.9,vivanda,2024-12-05 21:39:35.651677,PIERNA (CARNE DE CERDO),1.0,kg,79.33333333333334
Jamón de Pierna Ahumado SANT DALMAI Paquete 150g,SANT DALMAI,150.0,g,11.9,vivanda,2024-12-05 21:39:35.651677,PIERNA (CARNE DE CERDO),1.0,kg,79.33333333333334
Jamón de Pierna Ahumado SALCHICHERÍA ALEMANA Paquete 150g,SALCHICHERÍA ALEMANA,150.0,g,13.7,vivanda,2024-12-05 21:39:35.651677,PIERNA (CARNE DE CERDO),1.0,kg,91.33333333333333
Carne Molida de Pavita x 500g,VIVANDA,500.0,g,15.9,vivanda,2024-12-05 21:39:35.651677,PIERNA (CARNE DE CERDO),1.0,kg,31.8
Pollada Criolla REDONDOS Pierna con Encuentro Bolsa 780g,REDONDOS,780.0,g,16.5,vivanda,2024-12-05 21:39:35.651677,PIERNA (CARNE DE CERDO),1.0,kg,21.153846153846153
Piernas y Muslos Aderezo Oriental REDONDOS Bolsa 780g,REDONDOS,780.0,g,16.5,vivanda,2024-12-05 21:39:35.651677,PIERNA (CARNE DE CERDO),1.0,kg,21.153846153846153
Jamón de Pierna BRAEDT Paquete 200g,BRAEDT,200.0,g,16.6,vivanda,2024-12-05 21:39:35.651677,PIERNA (CARNE DE CERDO),1.0,kg,83.0
Pernil de Cerdo con Piel x kg,,1.0,kg,16.9,wong,2024-12-05 17:53:09.479817,PIERNA (CARNE DE CERDO),1.0,kg,16.9
Pierna de Cerdo con Piel y con Hueso x kg,,1.0,kg,16.9,wong,2024-12-05 17:53:09.479817,PIERNA (CARNE DE CERDO),1.0,kg,16.9
Pierna de Cerdo con Piel y con Hueso x kg,,1.0,kg,16.9,metro,2024-12-05 15:24:21.534606,PIERNA (CARNE DE CERDO),1.0,kg,16.9
Chuleta de Pierna de Cerdo con Piel Porcionada x kg,,1.0,kg,18.9,metro,2024-12-05 15:24:21.534606,PIERNA (CARNE DE CERDO),1.0,kg,18.9
Chuleta de Brazuelo de Cerdo Con Piel Metro x kg,,1.0,kg,21.9,metro,2024-12-05 15:24:21.534606,PIERNA (CARNE DE CERDO),1.0,kg,21.9
Chuleta de Pierna con Piel de Cerdo x kg,,1.0,kg,21.9,wong,2024-12-05 17:53:09.479817,PIERNA (CARNE DE CERDO),1.0,kg,21.9
Chuleta de Pierna con Piel de Cerdo x kg,,1.0,kg,21.9,metro,2024-12-05 15:24:21.534606,PIERNA (CARNE DE CERDO),1.0,kg,21.9
Chuleta de Brazuelo con Piel de Cerdo x kg,,1.0,kg,21.9,metro,2024-12-05 15:24:21.534606,PIERNA (CARNE DE CERDO),1.0,kg,21.9
Chuleta de Brazuelo con Piel de Cerdo x kg,,1.0,kg,21.9,wong,2024-12-05 17:53:09.479817,PIERNA (CARNE DE CERDO),1.0,kg,21.9
