description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Papas PAPI RICAS Sabor Pollo a la Brasa Bolsa 24gr,S/ 1.50,vega,PIERNA DE POLLO,2024-12-05 12:02:04.919554,24.0,g,Papas PAPI RICAS Sabor Pollo a la Brasa Bolsa r,1.5,vega,,PAPI RICAS,PIERNA DE POLLO
Sopa Instantánea AJINOMEN Sabor a Pollo Bolsa 80g,S/ 1.60,vega,PIERNA DE POLLO,2024-12-05 12:02:04.919554,80.0,g,Sopa Instantánea AJINOMEN Sabor a Pollo Bolsa,1.6,vega,,Ajinomen,PIERNA DE POLLO
Jamonada de Pollo 85 g,S/ 1.80,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,85.0,g,Jamonada de Pollo,1.8,tottus,,REDONDOS,PIERNA DE POLLO
Sopa Instantánea Ajinomen Sabor Pollo 80 g,S/ 1.90,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,80.0,g,Sopa Instantánea Ajinomen Sabor Pollo,1.9,tottus,,AJINOMOTO,PIERNA DE POLLO
Sopa Instantánea Ajinomen Sabor Pollo Verduras 80 g,S/ 1.90,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,80.0,g,Sopa Instantánea Ajinomen Sabor Pollo Verduras,1.9,tottus,,AJINOMOTO,PIERNA DE POLLO
SOPA DE FIDEOS POLLO TOTTUSX 70 GR,S/ 2.40,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,70.0,g,SOPA DE FIDEOS POLLO TOTTUSX R,2.4,tottus,,TOTTUS,PIERNA DE POLLO
JAMONADA DE POLLO PQTE X 100GR,S/ 2.80,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,100.0,g,JAMONADA DE POLLO PQTE X R,2.8,tottus,,SUIZA,PIERNA DE POLLO
Papas PAPI RICAS Sabor Pollo a la Brasa Bolsa 70gr,S/ 2.80,vega,PIERNA DE POLLO,2024-12-05 12:02:04.919554,70.0,g,Papas PAPI RICAS Sabor Pollo a la Brasa Bolsa r,2.8,vega,,PAPI RICAS,PIERNA DE POLLO
Crema de Pollo 72 g,S/ 2.90,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,72.0,g,Crema de Pollo,2.9,tottus,,TOTTUS,PIERNA DE POLLO
Comida para Gatos RICOCAT Adulto Sabor a Pollo 85g,S/ 3.00,vega,PIERNA DE POLLO,2024-12-05 12:02:04.919554,85.0,g,Comida para Gatos RICOCAT Adulto Sabor a Pollo,3.0,vega,,Ricocat,PIERNA DE POLLO
