description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Refresco Instantáneo Sabor Piña Sobre 15 g,,15.0,g,1.2,wong,2024-12-05 18:41:50.640007,PIÑA,15.0,g,1.2
Gelatina Bebible Umsha Frutísimos Sabor Piña 20g,,20.0,g,1.6,wong,2024-12-05 18:41:50.640007,PIÑA,20.0,g,1.6
"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja 500ml",,500.0,ml,2.1,wong,2024-12-05 18:41:50.640007,PIÑA,500.0,ml,2.1
Bebida Sabor Piña con Kión San Luis Botella 625ml,,625.0,ml,2.2,wong,2024-12-05 18:41:50.640007,PIÑA,625.0,ml,2.2
Gelatina Yopi Sabor Piña 120g,,120.0,g,2.2,wong,2024-12-05 18:41:50.640007,PIÑA,120.0,g,2.2
Bebida SAN LUIS Sin Gas Sabor Piña y Kión Botella 625ml,SAN LUIS,625.0,ml,2.2,vivanda,2024-12-05 22:06:05.286350,PIÑA,625.0,ml,2.2
Bebida en Polvo Clight Sin Calorías Sabor Piña 14g,,14.0,g,2.3,wong,2024-12-05 18:41:50.640007,PIÑA,14.0,g,2.3
Piña para Jugo x kg,,1.0,kg,2.42,metro,2024-12-05 16:05:11.408424,PIÑA,1.0,kg,2.42
Gelatina Light BELL'S Piña Bolsa 19g,BELL'S,19.0,g,2.5,vivanda,2024-12-05 22:06:05.286350,PIÑA,19.0,g,2.5
Gelatina Universal de Piña 38g,,38.0,g,2.6,wong,2024-12-05 18:41:50.640007,PIÑA,38.0,g,2.6
Piña Hawai,,2.0,kg,2.69,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,2.0,kg,2.69
Gaseosa Fanta Piña Botella 500ml,,500.0,ml,2.7,wong,2024-12-05 18:41:50.640007,PIÑA,500.0,ml,2.7
Gelatina Sin Azúcar Cuisine & Co Sabor Piña 19g,,19.0,g,2.9,wong,2024-12-05 18:41:50.640007,PIÑA,19.0,g,2.9
Bebida Aloe KERO Piña Botella 300ml,KERO,300.0,ml,3.0,vivanda,2024-12-05 22:06:05.286350,PIÑA,300.0,ml,3.0
Bebida Kero Aloe Vera Sabor Piña Botella 300ml,,300.0,ml,3.2,wong,2024-12-05 18:41:50.640007,PIÑA,300.0,ml,3.2
Mazamorra UMSHA de Piña Bolsa 125g,UMSHA,125.0,g,3.4,vivanda,2024-12-05 22:06:05.286350,PIÑA,125.0,g,3.4
Gelatina UMSHA Sabor a Piña Bolsa 120g,UMSHA,120.0,g,3.4,vivanda,2024-12-05 22:06:05.286350,PIÑA,120.0,g,3.4
Gelatina Umsha Sabor Piña 120g,,120.0,g,3.5,wong,2024-12-05 18:41:50.640007,PIÑA,120.0,g,3.5
Papaya,,1.5,kg,3.5,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,1.5,kg,3.5
Gelatina Cuisine & Co Sabor Piña 130g,,130.0,g,3.5,wong,2024-12-05 18:41:50.640007,PIÑA,130.0,g,3.5
Gelatina Sin Azúcar Cuisine & Co Sabor Piña 19g,,19.0,g,3.5,wong,2024-12-05 18:41:50.640007,PIÑA,19.0,g,3.5
