description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Shampoo SEDAL Duo 2 en 1 Sachet 40ml 6u,S/ 1.30,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,40.0,ml,Shampoo SEDAL Duo 2 en 1 Sachet  6u,1.3,vega,,Sedal,PLÁTANO DE SEDA
Shampoo SEDAL Ceramidas Sachet 40ml 6u,S/ 1.30,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,40.0,ml,Shampoo SEDAL Ceramidas Sachet  6u,1.3,vega,,Sedal,PLÁTANO DE SEDA
Plátano de Seda,S/ 2.79 x kg,plaza_vea,PLÁTANO DE SEDA,2024-12-05 15:17:54.679219,1.0,kg,Plátano de Seda,2.79,plaza_vea,Presentación 1 kg aprox.,,PLÁTANO DE SEDA
Plátano de Seda Metro x kg,S/ 2.99 x kg,metro,PLÁTANO DE SEDA,2024-12-05 15:59:38.116212,1.0,kg,Plátano de Seda Metro,2.99,metro,,,PLÁTANO DE SEDA
Platano de Seda x kg,S/ 2.99 x kg,metro,PLÁTANO DE SEDA,2024-12-05 15:59:38.116212,1.0,kg,Platano de Seda,2.99,metro,,,PLÁTANO DE SEDA
Plátano de Seda Wong x kg,S/ 4.49 x kg,wong,PLÁTANO DE SEDA,2024-12-05 18:34:56.654077,1.0,kg,Plátano de Seda Wong,4.49,wong,,,PLÁTANO DE SEDA
Cancha con Chifle VEGA Pote 150g,S/ 5.80,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,150.0,g,Cancha con Chifle VEGA Pote,5.8,vega,,Vega,PLÁTANO DE SEDA
YOG PARC DESC 1KG FRESA C PLATANO,S/ 5.90,tottus,PLÁTANO DE SEDA,2024-12-05 12:01:11.155708,1.0,kg,YOG PARC DESC  FRESA C PLATANO,5.9,tottus,,GLORIA,PLÁTANO DE SEDA
Plátano de Seda Tipo Exportación en Bolsa x kg,S/ 6.39 x kg,metro,PLÁTANO DE SEDA,2024-12-05 15:59:38.116212,1.0,kg,Plátano de Seda Tipo Exportación en Bolsa,6.39,metro,,,PLÁTANO DE SEDA
Plátano de Seda Tipo Exportación en Bolsa x kg,S/ 6.39 x kg,wong,PLÁTANO DE SEDA,2024-12-05 18:34:56.654077,1.0,kg,Plátano de Seda Tipo Exportación en Bolsa,6.39,wong,,,PLÁTANO DE SEDA
