description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Caigua x unidad,,1.0,un,0.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,0.99,PORO
Rocoto x unidad,,1.0,un,0.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,0.99,PORO
Manzanilla x unidad,,1.0,un,1.19,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,1.19,PORO
Poro Entero un,,1.0,un,1.29,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,1.29,PORO
Hierba Luisa x unidad,,1.0,un,1.29,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,1.29,PORO
Hierba Buena x unidad,,1.0,un,1.39,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,1.39,PORO
Huacatay Atado,,1.0,un,1.49,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,1.49,PORO
Poro x un,,1.0,un,1.49,metro,2024-12-05 16:16:07.305742,PORO,1.0,un,1.49,PORO
Nabo x unidad,,1.0,un,1.49,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,1.49,PORO
Zanahoria,,0.5,kg,1.68,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,1.68,PORO
Poro x un,,1.0,un,1.79,wong,2024-12-05 18:51:52.034765,PORO,1.0,un,1.79,PORO
Papa Cocktail,,1.0,kg,1.8,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,1.8,PORO
Apio Atado,,1.0,un,1.89,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,1.89,PORO
Choclo Entero un,,1.0,un,1.89,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,1.89,PORO
Cebolla Blanca,,1.0,kg,1.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,1.9,PORO
Perejil BELL'S Bolsa 60g,,60.0,g,1.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,60.0,g,1.99,PORO
Zapallo Italiano x unidad,,1.0,un,1.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,1.99,PORO
Lechuga Americana BELL's Bolsa 300g,,300.0,g,1.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,300.0,g,1.99,PORO
Culantro BELL'S Bolsa 60g,,60.0,g,1.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,60.0,g,1.99,PORO
Cebolla Roja P x kg,,0.5,kg,2.09,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,2.09,PORO
Lechuga Crespa BELL'S,,1.0,un,2.19,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,2.19,PORO
Pepinillo,,1.0,kg,2.39,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,2.39,PORO
Albahaca BELL'S Bolsa 80g,,80.0,g,2.49,plaza_vea,2024-12-05 15:35:20.873418,PORO,80.0,g,2.49,PORO
Camote Morado,,1.0,kg,2.69,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,2.69,PORO
Papa Blanca,,0.5,kg,2.79,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,2.79,PORO
Camote Amarillo Procesado,,1.0,kg,2.79,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,2.79,PORO
Chía Avena GRANO DE ORO Hojuelas Precocidas Bolsa 170g,GRANO DE ORO,170.0,g,2.9,vivanda,2024-12-05 22:13:54.568659,PORO,170.0,g,2.9,PORO
Quinua Avena GRANO DE ORO Hojuelas Precocidas Bolsa 170g,GRANO ORO,170.0,g,2.9,vivanda,2024-12-05 22:13:54.568659,PORO,170.0,g,2.9,PORO
Beterraga x Atado,,1.0,un,2.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,2.99,PORO
Berenjena un,,1.0,un,2.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,2.99,PORO
Papa Blanca Yungay,,1.0,kg,3.19,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,3.19,PORO
Lechuga Crespa Hidropónica BELL'S Bolsa 200g,,200.0,g,3.29,plaza_vea,2024-12-05 15:35:20.873418,PORO,200.0,g,3.29,PORO
Limón Ácido,,0.5,kg,3.29,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,3.29,PORO
Mix de Emoliente GUVA Bolsa 100g,,100.0,g,3.3,plaza_vea,2024-12-05 15:35:20.873418,PORO,100.0,g,3.3,PORO
Pepino Holandés BELL'S,,1.0,un,3.39,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,3.39,PORO
Lechuga Seda Hidropónica BELL'S Bolsa 200g,,200.0,g,3.39,plaza_vea,2024-12-05 15:35:20.873418,PORO,200.0,g,3.39,PORO
Cebolla China BELL'S Bolsa 320g,,320.0,g,3.49,plaza_vea,2024-12-05 15:35:20.873418,PORO,320.0,g,3.49,PORO
Lechuga Crespa Entera VERDE PURO Bolsa 200g,,200.0,g,3.69,plaza_vea,2024-12-05 15:35:20.873418,PORO,200.0,g,3.69,PORO
Lechuga Roja Hidropónica BELL'S Bolsa 200g,,200.0,g,3.69,plaza_vea,2024-12-05 15:35:20.873418,PORO,200.0,g,3.69,PORO
Papa Cocktail Amarilla,,1.0,kg,3.69,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,3.69,PORO
Coliflor Un,,1.0,un,3.7,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,3.7,PORO
Col Corazón,,1.0,un,3.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,3.9,PORO
Acelga BELL'S Bolsa 300g,,300.0,g,3.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,300.0,g,3.99,PORO
Rabanito BELL'S Bolsa 400g,,400.0,g,3.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,400.0,g,3.99,PORO
Espinaca BELL'S Bolsa 350g,,350.0,g,3.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,350.0,g,3.99,PORO
Haba Verde,,0.5,kg,4.09,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,4.09,PORO
Avena GRANO DE ORO Hojuelas Precocidas Bolsa 370g,GRANO ORO,370.0,g,4.19,vivanda,2024-12-05 22:13:54.568659,PORO,370.0,g,4.19,PORO
Limón Tahití x kg,,1.0,kg,4.2,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,4.2,PORO
Poro Fitz x unid,,1.0,un,4.39,metro,2024-12-05 16:16:07.305742,PORO,1.0,un,4.39,PORO
Espinaca Bebé BELL'S Bolsa 150g,,150.0,g,4.39,plaza_vea,2024-12-05 15:35:20.873418,PORO,150.0,g,4.39,PORO
Brócoli,,0.6,kg,4.49,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.6,kg,4.49,PORO
Yuca,,1.0,kg,4.49,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,4.49,PORO
Maca Avena GRANO DE ORO Hojuelas Precocidas Bolsa 370g,GRANO ORO,370.0,g,4.5,vivanda,2024-12-05 22:13:54.568659,PORO,370.0,g,4.5,PORO
Quinua Avena GRANO DE ORO Hojuelas Precocidas Bolsa 370g,GRANO ORO,370.0,g,4.5,vivanda,2024-12-05 22:13:54.568659,PORO,370.0,g,4.5,PORO
Kiwicha Avena GRANO DE ORO Hojuelas Precocidas Bolsa 370g,GRANO ORO,370.0,g,4.5,vivanda,2024-12-05 22:13:54.568659,PORO,370.0,g,4.5,PORO
Chía Avena GRANO DE ORO Hojuelas Precocidas Bolsa 370g,GRANO DE ORO,370.0,g,4.5,vivanda,2024-12-05 22:13:54.568659,PORO,370.0,g,4.5,PORO
Ensalada Col Zanahoria BELL'S FRESCOS Bolsa 25...,,250.0,g,4.69,plaza_vea,2024-12-05 15:35:20.873418,PORO,250.0,g,4.69,PORO
Maíz Dulce FRUTO DE ORO Lata 184g,FRUTO DE ORO,184.0,g,4.9,vivanda,2024-12-05 22:13:54.568659,PORO,184.0,g,4.9,PORO
Masa para Wantán SAN SEN Bolsa 500g,,500.0,g,4.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,500.0,g,4.9,PORO
Mix Verduras FRUTO DE ORO Lata 184g,FRUTO DE ORO,184.0,g,4.9,vivanda,2024-12-05 22:13:54.568659,PORO,184.0,g,4.9,PORO
Tomate Redondo x kg,,1.0,kg,4.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,4.99,PORO
Albahaca Deshojada BELL'S FRESCOS 120g,,120.0,g,4.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,120.0,g,4.99,PORO
Lechuga Americana de Verano VIVA Bolsa Unidad,,1.0,un,4.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,4.99,PORO
Papa Andina Procesada,,0.5,kg,4.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,4.99,PORO
Champiñon Entero BELL'S Bandeja 200g,,200.0,g,4.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,200.0,g,4.99,PORO
Frejol Chino,,0.25,kg,4.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.25,kg,4.99,PORO
Champiñon Picado BELL'S Bandeja 200g,,200.0,g,5.19,plaza_vea,2024-12-05 15:35:20.873418,PORO,200.0,g,5.19,PORO
Ají Amarillo x kg,,0.25,kg,5.49,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.25,kg,5.49,PORO
Fideo Chino SAN SEN Paquete 500g,,500.0,g,5.49,plaza_vea,2024-12-05 15:35:20.873418,PORO,500.0,g,5.49,PORO
Ensalada Jardinera BELL'S Bolsa 500g,,500.0,g,5.5,plaza_vea,2024-12-05 15:35:20.873418,PORO,500.0,g,5.5,PORO
Tomate Italiano,,0.5,kg,5.6,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,5.6,PORO
Arveja,,0.25,kg,6.19,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.25,kg,6.19,PORO
Pimiento Morrón,,0.3,kg,6.29,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.3,kg,6.29,PORO
Arverja Congelada BELL'S Bolsa 500g,,500.0,g,6.5,plaza_vea,2024-12-05 15:35:20.873418,PORO,500.0,g,6.5,PORO
Champiñones Enteros PACCU Bandeja 200g,,200.0,g,6.5,plaza_vea,2024-12-05 15:35:20.873418,PORO,200.0,g,6.5,PORO
Salvatrigo GRANO DE ORO Salvado de Trigo Doypack 400g,GRANO ORO,400.0,g,6.7,vivanda,2024-12-05 22:13:54.568659,PORO,400.0,g,6.7,PORO
Papa Amarilla Tumbay,,0.25,kg,6.79,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.25,kg,6.79,PORO
Olluco,,0.5,kg,6.79,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,6.79,PORO
Tomate Cherry BELL'S Bandeja,,1.0,un,6.89,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,6.89,PORO
Zanahoria Congelada BELL'S Bolsa 500g,,500.0,g,6.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,500.0,g,6.9,PORO
Maíz Dulce FRUTO DE ORO Lata 425g,FRUTO DE ORO,425.0,g,6.9,vivanda,2024-12-05 22:13:54.568659,PORO,425.0,g,6.9,PORO
Tomate Italiano BELL'S Bolsa 1Kg,,1.0,kg,6.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,6.99,PORO
Vainita Americana,,0.5,kg,6.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,6.99,PORO
Champiñon Entero PACCU Crimmini Bandeja 200g,,200.0,g,6.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,200.0,g,6.99,PORO
Papa Amarilla Peruanita,,0.5,kg,7.49,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,7.49,PORO
Arveja Precocida GREEN FOOD Bolsa 400g,,400.0,g,7.5,plaza_vea,2024-12-05 15:35:20.873418,PORO,400.0,g,7.5,PORO
Apio VIVA x un,,1.0,un,7.59,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,7.59,PORO
Mix de Lechuga VERDE PURO Bolsa Unidad,,1.0,un,7.59,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,7.59,PORO
Arúgula VERDE PURO Paquete 160g,,160.0,g,7.6,plaza_vea,2024-12-05 15:35:20.873418,PORO,160.0,g,7.6,PORO
Holantao,,0.25,kg,7.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.25,kg,7.9,PORO
Maíz Morado x Kg,,0.5,kg,7.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.5,kg,7.99,PORO
Pimiento Verde,,0.3,kg,7.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.3,kg,7.99,PORO
Lechuga Entera VERDE PURO,,1.0,un,7.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,7.99,PORO
Bebida Energizante MONSTER Zero Sugar Lata 473ml,CONCHA Y TORO,473.0,ml,8.0,vivanda,2024-12-05 22:13:54.568659,PORO,473.0,ml,8.0,PORO
Espárragos Verdes BELL'S FRESCOS Paquete 300g,,1.0,un,8.0,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,8.0,PORO
Choclo Desgranado BELL'S Bolsa 500g,,500.0,g,8.49,plaza_vea,2024-12-05 15:35:20.873418,PORO,500.0,g,8.49,PORO
Espinaca Bebé VERDE PURO Bolsa 180g,,180.0,g,8.59,plaza_vea,2024-12-05 15:35:20.873418,PORO,180.0,g,8.59,PORO
Ensalada Jardinera Precocida BELL'S Bolsa 500g,,500.0,g,8.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,500.0,g,8.9,PORO
Champiñones Enteros FRUTO DE ORO Lata 400g,FRUTO DE ORO,400.0,g,8.9,vivanda,2024-12-05 22:13:54.568659,PORO,400.0,g,8.9,PORO
Champiñones Congelados BELL'S Bolsa 500g,,500.0,g,8.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,500.0,g,8.9,PORO
Espinaca VERDE PURO Bolsa 500g,,500.0,g,8.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,500.0,g,8.99,PORO
Cereal GRANO DE ORO Salvado de Avena Doypack 300g,GRANO DE ORO,300.0,g,9.4,vivanda,2024-12-05 22:13:54.568659,PORO,300.0,g,9.4,PORO
Papas Prefritas Rizadas AVIKO Bolsa 750g,,750.0,g,9.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,750.0,g,9.9,PORO
Kion,,0.3,kg,9.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.3,kg,9.9,PORO
Bambú en Tajadas FRUTO DE ORO Lata 567g,FRUTO DE ORO,567.0,g,9.9,vivanda,2024-12-05 22:13:54.568659,PORO,567.0,g,9.9,PORO
Ajos Pelados EL SABOR Arequipeños Bandeja 250g,,250.0,g,9.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,250.0,g,9.99,PORO
Sopa de Verduras BELL'S Bandeja 500g,,500.0,g,9.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,500.0,g,9.99,PORO
Choclo Americano Precocido Congelado GREEN FOO...,,400.0,g,10.0,plaza_vea,2024-12-05 15:35:20.873418,PORO,400.0,g,10.0,PORO
Papa Prefrita Congelada AVIKO Bolsa 1kg,,1.0,kg,10.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,kg,10.9,PORO
Castaña de Agua FRUTO DE ORO Lata 567g,FRUTO DE ORO,567.0,g,10.99,vivanda,2024-12-05 22:13:54.568659,PORO,567.0,g,10.99,PORO
Frutas en Conserva FRUTO DE ORO Pera en Mitades Lata 820g,FRUTO DE ORO,820.0,g,11.3,vivanda,2024-12-05 22:13:54.568659,PORO,820.0,g,11.3,PORO
Papa Crinkle Congelada BEM BRASIL Bolsa 1.05kg,,1.05,kg,11.9,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.05,kg,11.9,PORO
Cocktail de Frutas FRUTO DE ORO Lata 820g,FRUTO DE ORO,820.0,g,11.9,vivanda,2024-12-05 22:13:54.568659,PORO,820.0,g,11.9,PORO
Salvado de Trigo GRANO DE ORO Pote 350g,GRANO ORO,350.0,g,11.9,vivanda,2024-12-05 22:13:54.568659,PORO,350.0,g,11.9,PORO
Brócoli VIVA,,1.0,un,11.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,1.0,un,11.99,PORO
Nísperos en Conserva FRUTO DE ORO Lata 567g,FRUTO DE ORO,567.0,g,14.2,vivanda,2024-12-05 22:13:54.568659,PORO,567.0,g,14.2,PORO
Ajo Entero,,0.25,kg,14.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.25,kg,14.99,PORO
Lychees en Almíbar FRUTO DE ORO Lata 567g,FRUTO DE ORO,567.0,g,18.2,vivanda,2024-12-05 22:13:54.568659,PORO,567.0,g,18.2,PORO
Zapallo Loche,,0.4,kg,18.99,plaza_vea,2024-12-05 15:35:20.873418,PORO,0.4,kg,18.99,PORO
Queso Crema Gourmet Delice con Prosciutto & Poro Molde 150 g,,150.0,g,21.1,metro,2024-12-05 16:16:07.305742,PORO,150.0,g,21.1,PORO
Queso Crema Gourmet Delice con Prosciutto & Poro Molde 150 g,,150.0,g,21.8,wong,2024-12-05 18:51:52.034765,PORO,150.0,g,21.8,PORO
Espumante RICCADONNA Ruby Botella 200ml,CONCHA Y TORO,200.0,ml,23.7,vivanda,2024-12-05 22:13:54.568659,PORO,200.0,ml,23.7,PORO
Vino Blanco CONCHA Y TORO Reservado Sauvignon Blanc Botella 750ml,CONCHA Y TORO,750.0,ml,27.9,vivanda,2024-12-05 22:13:54.568659,PORO,750.0,ml,27.9,PORO
