description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
LAVADORA 10.5 KG ECOBUBBLE NEGRA CL,SAMSUNG,10.5,kg,1.0,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,10.5,kg,1.0
Refrigeradora Bottom Freezer 317L RMB315PTPRO0,MABE,317.0,l,1.0,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,317.0,l,1.0
Bebida Chocolatada La Preferida 800ml,,800.0,ml,3.0,wong,2024-12-05 19:29:25.311092,PRODUCTO ACHOCOLATADO,800.0,ml,3.0
Mezcla Láctea Oquendo Chocolatada Bolsa 946ml,,946.0,ml,3.4,metro,2024-12-05 16:52:06.030323,PRODUCTO ACHOCOLATADO,946.0,ml,3.4
Bebida de Leche UHT BONLÉ Chocolatada Bolsa 800ml,BONLÉ,800.0,ml,3.5,vivanda,2024-12-05 22:34:16.872120,PRODUCTO ACHOCOLATADO,800.0,ml,3.5
Bebida Chocolatada La Preferida 800ml,,800.0,ml,3.6,metro,2024-12-05 16:52:06.030323,PRODUCTO ACHOCOLATADO,800.0,ml,3.6
Frasco conservero 1000mL,CASA JOVEN,1000.0,ml,4.9,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,1000.0,ml,4.9
Leche Chocolatada VAKIMU Botella 350ml,VAKIMU,350.0,ml,4.9,vivanda,2024-12-05 22:34:16.872120,PRODUCTO ACHOCOLATADO,350.0,ml,4.9
Artesco Proyecto de Cerámica Ultraligera Pote 32 g,,32.0,g,5.2,wong,2024-12-05 19:29:25.311092,PRODUCTO ACHOCOLATADO,32.0,g,5.2
Bebida de Leche Chocolatada LAIVE Bolsa 900ml,LAIVE,900.0,ml,5.5,vivanda,2024-12-05 22:34:16.872120,PRODUCTO ACHOCOLATADO,900.0,ml,5.5
Kiwicha Pop Productos Andinos 150 g,,150.0,g,5.7,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,150.0,g,5.7
Cereal Quinua Pop Productos Andinos 100 g,,100.0,g,5.7,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,100.0,g,5.7
Leche Chocolatada UHT GLORIA Bolsa 900ml,GLORIA,900.0,ml,6.0,vivanda,2024-12-05 22:34:16.872120,PRODUCTO ACHOCOLATADO,900.0,ml,6.0
Frijol Red Kid 500 g,TESORO DEL CAMPO,500.0,g,6.5,tottus,2024-12-05 12:47:01.414089,PRODUCTO ACHOCOLATADO,500.0,g,6.5
