description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Queso Edam Sandwich Kg,S/ 4.09,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,0.1,kg,Queso Edam Sandwich Kg,4.09,plaza_vea,Presentación 0.1 kg aprox.,,QUESO EDAM
Queso Edam BONLÉ Molde x kg,S/ 4.90,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,0.1,kg,Queso Edam BONLÉ Molde,4.9,plaza_vea,Presentación 0.1 kg aprox.,,QUESO EDAM
Queso Edam Braedt Tajadas 90 g,S/ 6.50,metro,QUESO EDAM,2024-12-05 15:48:04.181126,90.0,g,Queso Edam Braedt Tajadas,6.5,metro,,,QUESO EDAM
Queso Edam Laive 90g,S/ 6.70,metro,QUESO EDAM,2024-12-05 15:48:04.181126,90.0,g,Queso Edam Laive,6.7,metro,,,QUESO EDAM
Pack Máxima: Jamonada de Pollo 85g + Queso Tipo Edam 80g,S/ 6.90,metro,QUESO EDAM,2024-12-05 15:48:04.181126,85.0,g,Pack Máxima: Jamonada de Pollo  + Queso Tipo Edam,6.9,metro,,,QUESO EDAM
Queso Edam Gloria Paquete 90 gr,S/ 7.10,metro,QUESO EDAM,2024-12-05 15:48:04.181126,90.0,g,Queso Edam Gloria Paquete r,7.1,metro,,,QUESO EDAM
Queso Edam Gloria Paquete 90 gr,S/ 7.60,wong,QUESO EDAM,2024-12-05 18:21:22.760421,90.0,g,Queso Edam Gloria Paquete r,7.6,wong,,,QUESO EDAM
Pack Jamón Sandwich y Queso Edam San Fernando 157g,S/ 8.60,metro,QUESO EDAM,2024-12-05 15:48:04.181126,157.0,g,Pack Jamón Sandwich y Queso Edam San Fernando,8.6,metro,,,QUESO EDAM
Pack Jamonada de Pollo + Queso Edam Braedt Paquete 180 g,S/ 9.10,metro,QUESO EDAM,2024-12-05 15:48:04.181126,180.0,g,Pack Jamonada de Pollo + Queso Edam Braedt Paquete,9.1,metro,,,QUESO EDAM
Queso Edam Cuisine & Co Tajadas 150g,S/ 9.90,metro,QUESO EDAM,2024-12-05 15:48:04.181126,150.0,g,Queso Edam Cuisine & Co Tajadas,9.9,metro,,,QUESO EDAM
Queso Edam President en Tajadas 150g,S/ 10.00,metro,QUESO EDAM,2024-12-05 15:48:04.181126,150.0,g,Queso Edam President en Tajadas,10.0,metro,,,QUESO EDAM
Queso Edam PRESIDENT Paquete 150g,S/ 10.30,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,150.0,g,Queso Edam PRESIDENT Paquete,10.3,vivanda,,PRÉSIDENT,QUESO EDAM
Queso Edam Laminado 200 g,S/ 10.50,metro,QUESO EDAM,2024-12-05 15:48:04.181126,200.0,g,Queso Edam Laminado,10.5,metro,,,QUESO EDAM
QUESO EDAM 180G,S/ 10.90,tottus,QUESO EDAM,2024-12-05 11:49:35.575819,180.0,g,QUESO EDAM,10.9,tottus,,TOTTUS,QUESO EDAM
Queso Edam en Tajadas Braedt 180g,S/ 10.90,metro,QUESO EDAM,2024-12-05 15:48:04.181126,180.0,g,Queso Edam en Tajadas Braedt,10.9,metro,,,QUESO EDAM
Queso Edam en Tajadas Braedt 180g,S/ 10.90,wong,QUESO EDAM,2024-12-05 18:21:22.760421,180.0,g,Queso Edam en Tajadas Braedt,10.9,wong,,,QUESO EDAM
Pack Jamón Pizzero + Queso Edam Braedt 370g,S/ 11.50,metro,QUESO EDAM,2024-12-05 15:48:04.181126,370.0,g,Pack Jamón Pizzero + Queso Edam Braedt,11.5,metro,,,QUESO EDAM
Queso Edam BRAEDT Paquete 180g,S/ 11.90 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,180.0,g,Queso Edam BRAEDT Paquete,11.9,plaza_vea,Paquete 180g,,QUESO EDAM
Queso Edam BONLÉ Bolsa 185g,S/ 11.90 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,185.0,g,Queso Edam BONLÉ Bolsa,11.9,plaza_vea,Bolsa 185g,,QUESO EDAM
Queso Edam Laive 180g,S/ 11.90,metro,QUESO EDAM,2024-12-05 15:48:04.181126,180.0,g,Queso Edam Laive,11.9,metro,,,QUESO EDAM
Queso Edam Laive + Jamón Americano Suiza 300g,S/ 11.90,metro,QUESO EDAM,2024-12-05 15:48:04.181126,300.0,g,Queso Edam Laive + Jamón Americano Suiza,11.9,metro,,,QUESO EDAM
Queso Edam LAIVE Paquete 180g,S/ 11.90 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,180.0,g,Queso Edam LAIVE Paquete,11.9,plaza_vea,Paquete 180g,,QUESO EDAM
Pack Mixto Queso Edam + Jamón Americano LAIVE Paquete 300g,S/ 11.90,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,300.0,g,Pack Mixto Queso Edam + Jamón Americano LAIVE Paquete,11.9,vivanda,,LAIVE,QUESO EDAM
Pack Queso Edam + Jamón Americano 300 g,S/ 11.90,tottus,QUESO EDAM,2024-12-05 11:49:35.575819,300.0,g,Pack Queso Edam + Jamón Americano,11.9,tottus,,SUIZA,QUESO EDAM
Queso Edam LAIVE Sin Lactosa Paquete 180g,S/ 11.90 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,180.0,g,Queso Edam LAIVE Sin Lactosa Paquete,11.9,plaza_vea,Paquete 180g,,QUESO EDAM
Queso Edam LAIVE Sin Lactosa Paquete 180g,S/ 11.90,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,180.0,g,Queso Edam LAIVE Sin Lactosa Paquete,11.9,vivanda,,LAIVE,QUESO EDAM
Queso Edam Cuisine & Co Tajadas 150g,S/ 11.90,wong,QUESO EDAM,2024-12-05 18:21:22.760421,150.0,g,Queso Edam Cuisine & Co Tajadas,11.9,wong,,,QUESO EDAM
Queso Edam Laive + Jamón Americano Suiza 300g,S/ 11.90,wong,QUESO EDAM,2024-12-05 18:21:22.760421,300.0,g,Queso Edam Laive + Jamón Americano Suiza,11.9,wong,,,QUESO EDAM
Queso Edam Bonlé en tajadas paquete 185 g,S/ 12.20,metro,QUESO EDAM,2024-12-05 15:48:04.181126,185.0,g,Queso Edam Bonlé en tajadas paquete,12.2,metro,,,QUESO EDAM
Queso Edam Romaggio 200g,S/ 12.30,metro,QUESO EDAM,2024-12-05 15:48:04.181126,200.0,g,Queso Edam Romaggio,12.3,metro,,,QUESO EDAM
Queso Edam BELLS Paquete 250g,S/ 12.50 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,250.0,g,Queso Edam BELLS Paquete,12.5,plaza_vea,Paquete 250g,,QUESO EDAM
Queso Edam LAIVE Paquete 180g,S/ 12.70,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,180.0,g,Queso Edam LAIVE Paquete,12.7,vivanda,,LAIVE,QUESO EDAM
Queso Edam GLORIA Paquete 185g,S/ 12.90 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,185.0,g,Queso Edam GLORIA Paquete,12.9,plaza_vea,Paquete 185g,,QUESO EDAM
Pack Jamón Pizzero + Queso Edam Braedt 370g,S/ 12.90,wong,QUESO EDAM,2024-12-05 18:21:22.760421,370.0,g,Pack Jamón Pizzero + Queso Edam Braedt,12.9,wong,,,QUESO EDAM
Queso Edam Laive Sin Lactosa 180g,S/ 13.10,metro,QUESO EDAM,2024-12-05 15:48:04.181126,180.0,g,Queso Edam Laive Sin Lactosa,13.1,metro,,,QUESO EDAM
Queso Edam Gloria Paquete 185 gr,S/ 13.20,metro,QUESO EDAM,2024-12-05 15:48:04.181126,185.0,g,Queso Edam Gloria Paquete r,13.2,metro,,,QUESO EDAM
Queso Edam Gloria Paquete 185 gr,S/ 13.30,wong,QUESO EDAM,2024-12-05 18:21:22.760421,185.0,g,Queso Edam Gloria Paquete r,13.3,wong,,,QUESO EDAM
Pack Cuisine & Co: Jamón Pizzero 150g + Queso Edam 140g,S/ 13.50,wong,QUESO EDAM,2024-12-05 18:21:22.760421,150.0,g,Pack Cuisine & Co: Jamón Pizzero  + Queso Edam,13.5,wong,,,QUESO EDAM
Queso Edam La Matilde 200 g,S/ 13.50,metro,QUESO EDAM,2024-12-05 15:48:04.181126,200.0,g,Queso Edam La Matilde,13.5,metro,,,QUESO EDAM
Jamón Pizzero Salchichería Alemana 200g + Queso Edam Delice 140g,S/ 13.90,metro,QUESO EDAM,2024-12-05 15:48:04.181126,200.0,g,Jamón Pizzero Salchichería Alemana  + Queso Edam Delice,13.9,metro,,,QUESO EDAM
Jamón Pizza Otto Kunz + Queso Edam 340g,S/ 14.20,wong,QUESO EDAM,2024-12-05 18:21:22.760421,340.0,g,Jamón Pizza Otto Kunz + Queso Edam,14.2,wong,,,QUESO EDAM
Pack Mixto Jamón Pizza y Queso Edam OTTO KUNZ ...,S/ 14.50 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,340.0,g,Pack Mixto Jamón Pizza y Queso Edam OTTO KUNZ,14.5,plaza_vea,Paquete 340g,,QUESO EDAM
Pack San Fernando 338g: Jamón Sandwich + Queso Edam,S/ 14.50,wong,QUESO EDAM,2024-12-05 18:21:22.760421,338.0,g,Pack San Fernando : Jamón Sandwich + Queso Edam,14.5,wong,,,QUESO EDAM
Queso Edam BONLÉ Paquete 250g,S/ 14.50 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,250.0,g,Queso Edam BONLÉ Paquete,14.5,plaza_vea,Paquete 250g,,QUESO EDAM
Queso Edam Laminado Piamonte Paquete 200 g,S/ 14.50,wong,QUESO EDAM,2024-12-05 18:21:22.760421,200.0,g,Queso Edam Laminado Piamonte Paquete,14.5,wong,,,QUESO EDAM
Pack Jamón Pizzero + Queso EDAM Paquete 340g,S/ 14.90,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,340.0,g,Pack Jamón Pizzero + Queso EDAM Paquete,14.9,vivanda,,SALCHICHERÍA ALEMANA,QUESO EDAM
Queso Edam LA CAMPESINA Paquete 180g,S/ 14.90,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,180.0,g,Queso Edam LA CAMPESINA Paquete,14.9,vivanda,,LA CAMPESINA PERUANA,QUESO EDAM
Pack Jamón Sándwich + Queso Edam SAN FERNANDO ...,S/ 14.90 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,338.0,g,Pack Jamón Sándwich + Queso Edam SAN FERNANDO,14.9,plaza_vea,Bolsa 338g,,QUESO EDAM
Pack Mixto Jamón Pizza y Queso Edam OTTO KUNZ Paquete 340g,S/ 15.40,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,340.0,g,Pack Mixto Jamón Pizza y Queso Edam OTTO KUNZ Paquete,15.4,vivanda,,OTTO KUNZ,QUESO EDAM
Queso Edam GLORIA Paquete 250g,S/ 15.50,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,250.0,g,Queso Edam GLORIA Paquete,15.5,vivanda,,GLORIA,QUESO EDAM
Queso Edam GLORIA Paquete 250g,S/ 15.50 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,250.0,g,Queso Edam GLORIA Paquete,15.5,plaza_vea,Paquete 250g,,QUESO EDAM
QUESO EDAM 250G TAJADA,S/ 15.50,tottus,QUESO EDAM,2024-12-05 11:49:35.575819,250.0,g,QUESO EDAM  TAJADA,15.5,tottus,,GLORIA,QUESO EDAM
Queso Edam Président 225g,S/ 15.90,wong,QUESO EDAM,2024-12-05 18:21:22.760421,225.0,g,Queso Edam Président,15.9,wong,,,QUESO EDAM
Queso Edam LA CAMPESINA en Bloque Paquete 200g,S/ 15.90,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,200.0,g,Queso Edam LA CAMPESINA en Bloque Paquete,15.9,vivanda,,LA CAMPESINA PERUANA,QUESO EDAM
Queso Edam PRÉSIDENT Cheese Wedge Envase 225g,S/ 17.90 un,plaza_vea,QUESO EDAM,2024-12-05 15:07:44.251094,225.0,g,Queso Edam PRÉSIDENT Cheese Wedge Envase,17.9,plaza_vea,Bandeja 225g,,QUESO EDAM
Queso Edam PRÉSIDENT Cheese Wedge Envase 225g,S/ 17.90,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,225.0,g,Queso Edam PRÉSIDENT Cheese Wedge Envase,17.9,vivanda,,PRÉSIDENT,QUESO EDAM
Queso Edam BELLS Paquete 440g,S/ 19.50,vivanda,QUESO EDAM,2024-12-05 21:55:51.034806,440.0,g,Queso Edam BELLS Paquete,19.5,vivanda,,BELL'S FRESCOS,QUESO EDAM
