description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Maca Avena Premium 3 OSITOS Bolsa 150gr,S/ 2.20,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,150.0,g,Maca Avena Premium 3 OSITOS Bolsa r,2.2,vega,,3 Ositos,QUESO FRESCO DE VACA
Maca Avena 3 Ositos Bolsa 270g,S/ 3.60,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,270.0,g,Maca Avena 3 Ositos Bolsa,3.6,vega,,3 Ositos,QUESO FRESCO DE VACA
CHEETOS Sabot a Queso Horneados Bolsa 90 gr,S/ 4.20,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,90.0,g,CHEETOS Sabot a Queso Horneados Bolsa r,4.2,vega,,Cheetos,QUESO FRESCO DE VACA
Tortillas de Maíz DORITOS Queso Atrevido Bolsa 90g,S/ 4.20,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,90.0,g,Tortillas de Maíz DORITOS Queso Atrevido Bolsa,4.2,vega,,Doritos,QUESO FRESCO DE VACA
Salsa Roja DON VITTORIO Doypack 200g,S/ 4.20,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,200.0,g,Salsa Roja DON VITTORIO Doypack,4.2,vega,,Don Vittorio,QUESO FRESCO DE VACA
Piqueos CHEETOS Queso Picante Bolsa 180g,S/ 4.20,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,180.0,g,Piqueos CHEETOS Queso Picante Bolsa,4.2,vega,,Cheetos,QUESO FRESCO DE VACA
Galleta RITZ Sabor a Queso 30g Paquete 6u,S/ 5.20,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,30.0,g,Galleta RITZ Sabor a Queso  Paquete 6u,5.2,vega,,Ritz,QUESO FRESCO DE VACA
CHIZITOS Fiesta Queso Bolsa 190 gr,S/ 6.50,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,190.0,g,CHIZITOS Fiesta Queso Bolsa r,6.5,vega,,Chizito,QUESO FRESCO DE VACA
Salsa Roja DON VITTORIO Doypack 400g,S/ 6.80,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,400.0,g,Salsa Roja DON VITTORIO Doypack,6.8,vega,,Don Vittorio,QUESO FRESCO DE VACA
Jabón Líquido Antibacterial VCLEAN Fresco y Sensual con Glicerina Frasco 400ml,S/ 8.50,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,400.0,ml,Jabón Líquido Antibacterial VCLEAN Fresco y Sensual con Glicerina Frasco,8.5,vega,,Timonel,QUESO FRESCO DE VACA
Papas PRINGLES Queso Lata 109g,S/ 8.90,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,109.0,g,Papas PRINGLES Queso Lata,8.9,vega,,Pringles,QUESO FRESCO DE VACA
Shampoo SAVITAL Multioleos Frasco 510ml,S/ 11.90 20%,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,510.0,ml,Shampoo SAVITAL Multioleos Frasco,11.9,vega,,Savital,QUESO FRESCO DE VACA
Acondicionador SAVITAL Sábila y Colágeno Frasco 490ml,S/ 11.90 20%,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,490.0,ml,Acondicionador SAVITAL Sábila y Colágeno Frasco,11.9,vega,,Savital,QUESO FRESCO DE VACA
Shampoo SAVITAL Sábila y Colágeno Frasco 510ml,S/ 11.90 20%,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,510.0,ml,Shampoo SAVITAL Sábila y Colágeno Frasco,11.9,vega,,Savital,QUESO FRESCO DE VACA
Acondicionador SAVITAL con Multióleos y Sábila Frasco 490ml,S/ 11.90 20%,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,490.0,ml,Acondicionador SAVITAL con Multióleos y Sábila Frasco,11.9,vega,,Savital,QUESO FRESCO DE VACA
Refresco Instantáneo ZUKO de Maracuya Display 12u Sobre 15gr,S/ 14.40,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,15.0,g,Refresco Instantáneo ZUKO de Maracuya Display 12u Sobre r,14.4,vega,,Zuko,QUESO FRESCO DE VACA
Refresco instantáneo ZUKO de Naranja Display 12u Sobre 15gr,S/ 14.40,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,15.0,g,Refresco instantáneo ZUKO de Naranja Display 12u Sobre r,14.4,vega,,Zuko,QUESO FRESCO DE VACA
Refresco instantáneo ZUKO de Piña Display 12u Sobre 15gr,S/ 14.40,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,15.0,g,Refresco instantáneo ZUKO de Piña Display 12u Sobre r,14.4,vega,,Zuko,QUESO FRESCO DE VACA
Queso Fresco de Vaca Deslactosado DUMAN x Kg,S/ 16.17,plaza_vea,QUESO FRESCO DE VACA,2024-12-05 15:05:43.331526,0.3,kg,Queso Fresco de Vaca Deslactosado DUMAN,16.17,plaza_vea,Presentación 0.3 kg aprox.,,QUESO FRESCO DE VACA
Refresco TAMPICO Granadilla Punch Paquete 12u Botella 500ml,S/ 18.00,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,500.0,ml,Refresco TAMPICO Granadilla Punch Paquete 12u Botella,18.0,vega,,Tampico,QUESO FRESCO DE VACA
Queso Fresco de Vaca DUMAN,S/ 19.96,plaza_vea,QUESO FRESCO DE VACA,2024-12-05 15:05:43.331526,0.4,kg,Queso Fresco de Vaca DUMAN,19.96,plaza_vea,Presentación 0.4 kg aprox.,,QUESO FRESCO DE VACA
Queso Fresco de Vaca Light DUMAN Paquete 400g,S/ 27.68,plaza_vea,QUESO FRESCO DE VACA,2024-12-05 15:05:43.331526,0.45,kg,Queso Fresco de Vaca Light DUMAN Paquete,27.68,plaza_vea,Presentación 0.45 kg aprox.,,QUESO FRESCO DE VACA
Acondicionador SAVITAL MultiVitaminas y Sábila Frasco 510ml x 2u,S/ 29.80,vega,QUESO FRESCO DE VACA,2024-12-05 12:25:22.098074,510.0,ml,Acondicionador SAVITAL MultiVitaminas y Sábila Frasco  x 2u,29.8,vega,,Savital,QUESO FRESCO DE VACA
Queso Fresco De Vaca Light Duman x kg,S/ 50.32 x kg,metro,QUESO FRESCO DE VACA,2024-12-05 15:46:42.672684,1.0,kg,Queso Fresco De Vaca Light Duman,50.32,metro,,,QUESO FRESCO DE VACA
