description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Sal de Ajos Molido Sobre 16 g,,16.0,g,1.1,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,68.75,SAL
Galletas Saladas FIELD Cream Cracker Paquete 7...,,5.0,g,1.4,plaza_vea,2024-12-05 14:35:08.977138,GALLETAS SALADAS,5.0,g,1.4,SAL
"Galleta RITZ Taco 52,5gr",Ritz,5.0,g,1.5,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,5.0,g,1.5,SAL
Galletas Saladas Ritz Mini 50g,,50.0,g,1.5,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,50.0,g,1.5,SAL
Galleta Mini RITZ Bolsa 50gr,Ritz,50.0,g,1.5,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,50.0,g,1.5,SAL
Galletas Saladas RITZ Mini Original Bolsa 50g,,50.0,g,1.5,plaza_vea,2024-12-05 14:35:08.977138,GALLETAS SALADAS,50.0,g,1.5,SAL
Galleta SAN JORGE Soda Familiar 75gr,San Jorge,75.0,g,1.6,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,75.0,g,1.6,SAL
Galletas FIELD Cream Crakers Bolsa 73.5gr,Cream Cracker,73.5,g,1.6,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,73.5,g,1.6,SAL
Galletas Saladas Ritz Mini 50g,,50.0,g,1.7,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,50.0,g,1.7,SAL
Pasta de Tomate Cuisine & Co Doypack 100 g,,100.0,g,1.7,metro,2024-12-05 16:40:39.678401,PASTA Y SALSA DE TOMATE,100.0,g,1.7,SAL
Pasta de Tomate Cuisine & Co Doypack 100 g,,100.0,g,1.7,wong,2024-12-05 19:17:48.131239,PASTA Y SALSA DE TOMATE,100.0,g,1.7,SAL
Puré de Tomate Pomarola Concentrado 110 g,MOLITALIA,110.0,g,1.8,tottus,2024-12-05 12:39:28.205497,PASTA Y SALSA DE TOMATE,110.0,g,1.8,SAL
Salsa De Tomate x 145 gr,TOTTUS,145.0,g,1.8,tottus,2024-12-05 12:39:28.205497,PASTA Y SALSA DE TOMATE,145.0,g,1.8,SAL
Galletas Saladas Ritz Original 52.5g,,52.5,g,1.9,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,52.5,g,1.9,SAL
Salsa de tomate Pomarola clásica 145 g,MOLITALIA,145.0,g,1.9,tottus,2024-12-05 12:39:28.205497,PASTA Y SALSA DE TOMATE,145.0,g,1.9,SAL
Galletas Saladas Ritz Original 52.5g,,52.5,g,1.9,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,52.5,g,1.9,SAL
Sal de Cocina BELL'S Bolsa 1Kg,,1.0,kg,2.0,plaza_vea,2024-12-05 15:51:25.130417,SAL,1.0,kg,2.0,SAL
Sal de Mesa Cuisine & Co 1kg,,1.0,kg,2.0,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,2.0,SAL
Sal de Cocina Gruesa Cuisine & Co 1kg,,1.0,kg,2.0,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,2.0,SAL
Sal de Mesa Cuisine & Co 1kg,,1.0,kg,2.0,wong,2024-12-05 19:11:30.903657,SAL,1.0,kg,2.0,SAL
Sal de Cocina Gruesa Cuisine & Co 1kg,,1.0,kg,2.0,wong,2024-12-05 19:11:30.903657,SAL,1.0,kg,2.0,SAL
Sal de Cocina BELL'S Bolsa 1Kg,BELL'S,1.0,kg,2.0,vivanda,2024-12-05 22:24:21.654975,SAL,1.0,kg,2.0,SAL
Galletas Saladas Ritz 70g,,70.0,g,2.0,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,70.0,g,2.0,SAL
SAL DE MESA X 1 KG,TOTTUS,1.0,kg,2.1,tottus,2024-12-05 12:32:25.931684,SAL,1.0,kg,2.1,SAL
Pasta de Tomate B & D 100g,,100.0,g,2.2,metro,2024-12-05 16:40:39.678401,PASTA Y SALSA DE TOMATE,100.0,g,2.2,SAL
Sal EMSAL Cocina Bolsa 1Kg,Emsal,1.0,kg,2.4,vega,2024-12-05 13:13:21.077037,SAL,1.0,kg,2.4,SAL
Sal Marina EMSAL Mesa Bolsa 1Kg,EMSAL,1.0,kg,2.4,vivanda,2024-12-05 22:24:21.654975,SAL,1.0,kg,2.4,SAL
Sal Marina EMSAL Mesa Bolsa 1Kg,,1.0,kg,2.4,plaza_vea,2024-12-05 15:51:25.130417,SAL,1.0,kg,2.4,SAL
Sal Marina EMSAL Cocina Bolsa 1Kg,EMSAL,1.0,kg,2.4,vivanda,2024-12-05 22:24:21.654975,SAL,1.0,kg,2.4,SAL
Sal Marina EMSAL Cocina Bolsa 1Kg,,1.0,kg,2.4,plaza_vea,2024-12-05 15:51:25.130417,SAL,1.0,kg,2.4,SAL
Sal EMSAL MARINA de mesa en bolsa 1kg,Emsal,1.0,kg,2.4,vega,2024-12-05 13:13:21.077037,SAL,1.0,kg,2.4,SAL
Sal de Mesa Marina Emsal Bolsa 1 kg,,1.0,kg,2.4,wong,2024-12-05 19:11:30.903657,SAL,1.0,kg,2.4,SAL
Sal de Mesa Marina Emsal Bolsa 1 kg,,1.0,kg,2.4,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,2.4,SAL
Sal de Cocina Marina Emsal Bolsa 1 kg,,1.0,kg,2.4,wong,2024-12-05 19:11:30.903657,SAL,1.0,kg,2.4,SAL
Sal de mar de mesa Emsal de 1 kg,MARINA,1.0,kg,2.5,tottus,2024-12-05 12:32:25.931684,SAL,1.0,kg,2.5,SAL
Sal de mar para cocina de 1 kg,MARINA,1.0,kg,2.5,tottus,2024-12-05 12:32:25.931684,SAL,1.0,kg,2.5,SAL
Sal de Mesa LOBOS Fina Pote 125g,,125.0,g,2.6,plaza_vea,2024-12-05 15:51:25.130417,SAL,1.0,kg,20.8,SAL
Pack x6 Galletas Saladas Horneadas Cuisine & Co Gustits 21g,,6.0,g,2.9,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,6.0,g,2.9,SAL
Pack x6 Galletas Saladas Horneadas Cuisine & Co Gustits 21g,,6.0,g,2.9,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,6.0,g,2.9,SAL
Papas Fritas Lays Artesanas Sal Marina 34g,,34.0,g,2.9,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,85.29411764705881,SAL
Galletas RITZ Taco 52.5g x 2u,Ritz,52.5,g,3.0,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,52.5,g,3.0,SAL
Cancha Chulpi Salada Cuisine & Co Bolsa 100 g,,100.0,g,3.12,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,100.0,g,3.12,SAL
Galletas SAN JORGE Familiar Paquete 75g x 2u,San Jorge,75.0,g,3.2,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,75.0,g,3.2,SAL
Galletas Saladas FIELD Soda Paquete 6un,,6.0,un,3.5,plaza_vea,2024-12-05 14:35:08.977138,GALLETAS SALADAS,6.0,un,3.5,SAL
Pasta de Tomate B & D 200g,,200.0,g,3.6,metro,2024-12-05 16:40:39.678401,PASTA Y SALSA DE TOMATE,200.0,g,3.6,SAL
Salsa de Tomate Pomarola Bolognesa con Carne de 170 g,MOLITALIA,170.0,g,3.7,tottus,2024-12-05 12:39:28.205497,PASTA Y SALSA DE TOMATE,170.0,g,3.7,SAL
Piqueo BELL'S Chifles Salados Táper 100g,BELL'S,100.0,g,3.79,vivanda,2024-12-05 21:35:34.448824,PASTELES SALADOS,100.0,g,3.79,SAL
