description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Yogurt Griego LAIVE con Trozos de Fresa Vaso 1...,,120.0,g,2.2,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,120.0,g,2.2
Yogurt Griego LAIVE con Trozos de Blueberry Va...,,120.0,g,2.2,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,120.0,g,2.2
Conserva de Maíz BELL'S Lata 150g,,150.0,g,3.79,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,150.0,g,3.79
Conserva de Maíz BELL'S Lata 150g,BELL'S,150.0,g,3.79,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,150.0,g,3.79
Comida para Perros SUPERCAT Cachorro Todas las...,,190.0,g,3.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,190.0,g,3.9
Trozos de Atún en Aceite Vegetal Metro 140g,,140.0,g,3.9,metro,2024-12-05 15:41:02.430373,TROZO DE PESCADO EN CONSERVA,140.0,g,3.9
Trozos de Atún en Aceite Vegetal Cuisine & Co 140g,,140.0,g,3.9,metro,2024-12-05 15:41:02.430373,TROZO DE PESCADO EN CONSERVA,140.0,g,3.9
Trozos de Jurel en Aceite Vegetal Campomar 170g,,170.0,g,4.1,metro,2024-12-05 15:41:02.430373,TROZO DE PESCADO EN CONSERVA,170.0,g,4.1
Trozos de Jurel en Aceite Vegetal Campomar 170g,,170.0,g,4.1,wong,2024-12-05 18:12:07.729270,TROZO DE PESCADO EN CONSERVA,170.0,g,4.1
Aceitunas Verdes Deshuesadas OLIVALLE en Conse...,,160.0,g,4.2,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,160.0,g,4.2
Aguaymanto Pelado BELL'S Bandeja 200g,,200.0,g,4.29,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,200.0,g,4.29
Tomate Entero Pelado CIDACOS Lata 400g,,400.0,g,4.3,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,400.0,g,4.3
Trozos de Atún BELL'S en Aceite Lata 150gr,BELL'S,150.0,g,4.4,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,150.0,g,4.4
Trozos de Atún en Aceite Vegetal Cuisine & Co 140g,,140.0,g,4.4,metro,2024-12-05 15:41:02.430373,TROZO DE PESCADO EN CONSERVA,140.0,g,4.4
Alimento Húmedo para Gatos CAT CHOW Esteriliza...,,85.0,g,4.5,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,85.0,g,4.5
Comida para Perros RICOCAT Adulto Todas las Ra...,,190.0,g,4.5,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,190.0,g,4.5
Trozos De Jurel 170 g,FRESCOMAR,170.0,g,4.7,tottus,2024-12-05 11:43:29.753920,TROZO DE PESCADO EN CONSERVA,170.0,g,4.7
Trozos De Caballa 170 g,FRESCOMAR,170.0,g,4.8,tottus,2024-12-05 11:43:29.753920,TROZO DE PESCADO EN CONSERVA,170.0,g,4.8
Maní Tostado y Pelado TOÑA Bolsa 98g,,98.0,g,4.8,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,98.0,g,4.8
Trozos de Atún en Aceite Vegetal Marinero 140g,,140.0,g,4.9,metro,2024-12-05 15:41:02.430373,TROZO DE PESCADO EN CONSERVA,140.0,g,4.9
D Gussto Trozos Atún Aceite Vegetal 170 g,,170.0,g,5.0,tottus,2024-12-05 11:43:29.753920,TROZO DE PESCADO EN CONSERVA,170.0,g,5.0
D Gussto Trozos Atún Aceite Vegetal 140 g,D'GUSSTO,140.0,g,5.0,tottus,2024-12-05 11:43:29.753920,TROZO DE PESCADO EN CONSERVA,140.0,g,5.0
Trozos de Atún en Aceite Vegetal Cuisine & Co 140g,,140.0,g,5.1,wong,2024-12-05 18:12:07.729270,TROZO DE PESCADO EN CONSERVA,140.0,g,5.1
Trozos De Atún Aceite Vegetal 140 g,COMPASS,140.0,g,5.1,tottus,2024-12-05 11:43:29.753920,TROZO DE PESCADO EN CONSERVA,140.0,g,5.1
Trozos de Atún en Aceite Vegetal Cuisine & Co 140g,,140.0,g,5.1,wong,2024-12-05 18:12:07.729270,TROZO DE PESCADO EN CONSERVA,140.0,g,5.1
Champiñon Picado BELL'S Bandeja 200g,,200.0,g,5.19,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,200.0,g,5.19
Trozos de Atún en Aceite Vegetal CAMPOMAR Lata 150g,CAMPOMAR,150.0,g,5.4,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,150.0,g,5.4
Trozos de Atún FRESCOMAR en Aceite Vegetal Lat...,,170.0,g,5.4,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,170.0,g,5.4
