description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Sandía,S/ 1.29 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,2.5,kg,Sandía,1.29,plaza_vea,Presentación 2.5 kg aprox.,,TUNA
Aguaymanto BELL'S Bandeja 100g,S/ 1.99 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,100.0,g,Aguaymanto BELL'S Bandeja,1.99,plaza_vea,Bandeja 100g,,TUNA
Naranja para Jugo,S/ 2.39 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,1.0,kg,Naranja para Jugo,2.39,plaza_vea,Presentación 1 kg aprox.,,TUNA
Mango Kent x kg,S/ 2.40 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.6,kg,Mango Kent,2.4,plaza_vea,Presentación 0.6 kg aprox.,,TUNA
Piña Hawai,S/ 2.69 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,2.0,kg,Piña Hawai,2.69,plaza_vea,Presentación 2 kg aprox.,,TUNA
Plátano de Seda,S/ 2.79 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,1.0,kg,Plátano de Seda,2.79,plaza_vea,Presentación 1 kg aprox.,,TUNA
Mango Edward,S/ 2.90 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.6,kg,Mango Edward,2.9,plaza_vea,Presentación 0.6 kg aprox.,,TUNA
Blueberries BELL'S FRESCOS Bandeja 100g,S/ 3.29 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,100.0,g,Blueberries BELL'S FRESCOS Bandeja,3.29,plaza_vea,Bandeja 100g,,TUNA
Melón Coquito,S/ 3.29 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,1.2,kg,Melón Coquito,3.29,plaza_vea,Presentación 1.2 kg aprox.,,TUNA
Sandía Amarilla x kg,S/ 3.49 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,1.0,kg,Sandía Amarilla,3.49,plaza_vea,Presentación 1 kg aprox.,,TUNA
Papaya,S/ 3.50 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,1.5,kg,Papaya,3.5,plaza_vea,Presentación 1.5 kg aprox.,,TUNA
Aceitunas Enteras en Conserva OLIVALLE Botija ...,S/ 4 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-05 15:38:51.787912,180.0,g,Aceitunas Enteras en Conserva OLIVALLE Botija,4.0,plaza_vea,Doypack 180g,,TUNA
Aguaymanto Pelado BELL'S Bandeja 200g,S/ 4.29 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,200.0,g,Aguaymanto Pelado BELL'S Bandeja,4.29,plaza_vea,Bandeja 200g,,TUNA
Piña Golden,S/ 5.20 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,2.5,kg,Piña Golden,5.2,plaza_vea,Presentación 2.5 kg aprox.,,TUNA
Tuna Roja Metro x kg,S/ 5.29 x kg,metro,TUNA,2024-12-05 16:05:40.195828,1.0,kg,Tuna Roja Metro,5.29,metro,,,TUNA
Plátano Bellaco,S/ 5.30 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.3,kg,Plátano Bellaco,5.3,plaza_vea,Presentación 0.3 kg aprox.,,TUNA
Sandía en Trozos BELL'S Bandeja 300g,S/ 5.69 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,300.0,g,Sandía en Trozos BELL'S Bandeja,5.69,plaza_vea,Bandeja 300g,,TUNA
"Ensalada de Piña, Sandía y Papaya BELL'S Bande...",S/ 5.69 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,300.0,g,"Ensalada de Piña, Sandía y Papaya BELL'S Bande",5.69,plaza_vea,Bandeja 300g,,TUNA
"Ensalada de Papaya, Sandía y Melón BELL'S Band...",S/ 5.69 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,300.0,g,"Ensalada de Papaya, Sandía y Melón BELL'S Band",5.69,plaza_vea,Bandeja 300g,,TUNA
Manzana Delicia,S/ 5.80 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,1.0,kg,Manzana Delicia,5.8,plaza_vea,Presentación 1 kg aprox.,,TUNA
Plátano de Isla BELL'S,S/ 5.80 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,1.0,kg,Plátano de Isla BELL'S,5.8,plaza_vea,Presentación 1 kg aprox.,,TUNA
Tuna Roja,S/ 5.88 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.25,kg,Tuna Roja,5.88,plaza_vea,Presentación 0.25 kg aprox.,,TUNA
"Ensalada de Uva, Sandía y Piña BELL'S Bandeja ...",S/ 5.99 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,300.0,g,"Ensalada de Uva, Sandía y Piña BELL'S Bandeja",5.99,plaza_vea,Bandeja 300g,,TUNA
Tuna Roja x kg,S/ 5.99 x kg,wong,TUNA,2024-12-05 18:41:17.719606,1.0,kg,Tuna Roja,5.99,wong,,,TUNA
Aceitunas en Conserva BELL'S Botija entera Bol...,S/ 6.10 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-05 15:38:51.787912,250.0,g,Aceitunas en Conserva BELL'S Botija entera Bol,6.1,plaza_vea,Bolsa 250g,,TUNA
Aceitunas en Conserva BELL'S Botija Entera Bolsa 250g,S/ 6.10,vivanda,ACEITUNA DE BOTIJA,2024-12-05 22:16:55.860359,250.0,g,Aceitunas en Conserva BELL'S Botija Entera Bolsa,6.1,vivanda,,BELL'S,TUNA
Pera Packhams Importada,S/ 6.20 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.5,kg,Pera Packhams Importada,6.2,plaza_vea,Presentación 0.5 kg aprox.,,TUNA
Plátano Bizcochito BELL'S,S/ 6.40 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,1.0,kg,Plátano Bizcochito BELL'S,6.4,plaza_vea,Presentación 1 kg aprox.,,TUNA
Pepino Melón,S/ 6.49 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.6,kg,Pepino Melón,6.49,plaza_vea,Presentación 0.6 kg aprox.,,TUNA
Piña en Trozos BELL'S Bandeja 300g,S/ 6.50 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,300.0,g,Piña en Trozos BELL'S Bandeja,6.5,plaza_vea,Bandeja 300g,,TUNA
Aceitunas en Conserva BELL'S Botija en Tiras B...,S/ 6.50 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-05 15:38:51.787912,250.0,g,Aceitunas en Conserva BELL'S Botija en Tiras B,6.5,plaza_vea,Bolsa 250g,,TUNA
Plátano Palillo,S/ 6.70 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.25,kg,Plátano Palillo,6.7,plaza_vea,Presentación 0.25 kg aprox.,,TUNA
Melocotón para Dulce,S/ 6.90 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.75,kg,Melocotón para Dulce,6.9,plaza_vea,Presentación 0.75 kg aprox.,,TUNA
Mani tostado cáscara Bandeja 250g,S/ 6.90 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,250.0,g,Mani tostado cáscara Bandeja,6.9,plaza_vea,Bandeja 250g,,TUNA
Manzana Nacional,S/ 7 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.2,kg,Manzana Nacional,7.0,plaza_vea,Presentación 0.2 kg aprox.,,TUNA
Maracuyá,S/ 7.79 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.5,kg,Maracuyá,7.79,plaza_vea,Presentación 0.5 kg aprox.,,TUNA
Manzana Roja Importada,S/ 7.90 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.6,kg,Manzana Roja Importada,7.9,plaza_vea,Presentación 0.6 kg aprox.,,TUNA
Manzana Royal Gala Importada,S/ 7.90 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.6,kg,Manzana Royal Gala Importada,7.9,plaza_vea,Presentación 0.6 kg aprox.,,TUNA
Manzana Verde Importada,S/ 7.98 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.6,kg,Manzana Verde Importada,7.98,plaza_vea,Presentación 0.6 kg aprox.,,TUNA
Cocona,S/ 8.49 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.25,kg,Cocona,8.49,plaza_vea,Presentación 0.25 kg aprox.,,TUNA
Aceituna Botija Extra 240 g,S/ 8.50,tottus,ACEITUNA DE BOTIJA,2024-12-05 12:22:19.367329,240.0,g,Aceituna Botija Extra,8.5,tottus,,CALE,TUNA
Mix Blueberries Frambuesa BELL'S Bandeja 100g,S/ 8.60 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,100.0,g,Mix Blueberries Frambuesa BELL'S Bandeja,8.6,plaza_vea,Bandeja 100g,,TUNA
Mango en Trozos Congelado FEST Paquete 500g,S/ 8.70 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,500.0,g,Mango en Trozos Congelado FEST Paquete,8.7,plaza_vea,Paquete 500g,,TUNA
Aceitunas Botija 240 g,S/ 8.90,tottus,ACEITUNA DE BOTIJA,2024-12-05 12:22:19.367329,240.0,g,Aceitunas Botija,8.9,tottus,,EL OLIVAR,TUNA
Zumo de Limón Congelado FIFU Bolsa 500g,S/ 8.90 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,500.0,g,Zumo de Limón Congelado FIFU Bolsa,8.9,plaza_vea,Bolsa 500g,,TUNA
Carambola Premium,S/ 8.90 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.25,kg,Carambola Premium,8.9,plaza_vea,Presentación 0.25 kg aprox.,,TUNA
Piña Golden en Trozos Congelada FEST Paquete 5...,S/ 8.90 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,500.0,g,Piña Golden en Trozos Congelada FEST Paquete 5,8.9,plaza_vea,Paquete 500g,,TUNA
Mix Blueberries Aguaymanto BELL'S Bandeja 300g,S/ 8.90 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,300.0,g,Mix Blueberries Aguaymanto BELL'S Bandeja,8.9,plaza_vea,Bandeja 300g,,TUNA
Blueberries BELL'S FRESCOS Bandeja 300g,S/ 8.99 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,1.0,un,Blueberries BELL'S FRESCOS Bandeja,8.99,plaza_vea,Bandeja 1un,,TUNA
Palta Hass Madura LA CASERITA Empaque 500g,S/ 8.99 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,500.0,g,Palta Hass Madura LA CASERITA Empaque,8.99,plaza_vea,Paquete 500g,,TUNA
Fresa entera Congelada FEST Paquete 500g,S/ 9 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,500.0,g,Fresa entera Congelada FEST Paquete,9.0,plaza_vea,Paquete 500g,,TUNA
Pulpa de Fresa Congelada EL FRUTERO Bolsa 500g,S/ 9.20 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,500.0,g,Pulpa de Fresa Congelada EL FRUTERO Bolsa,9.2,plaza_vea,Bolsa 500g,,TUNA
Cremi Creamy Treats Salmon&Tuna Recipe 5un,S/ 9.30,metro,TUNA,2024-12-05 16:05:40.195828,5.0,un,Cremi Creamy Treats Salmon&Tuna Recipe,9.3,metro,,,TUNA
Cremi Creamy Treats Tuna Recipe 5un,S/ 9.30,metro,TUNA,2024-12-05 16:05:40.195828,5.0,un,Cremi Creamy Treats Tuna Recipe,9.3,metro,,,TUNA
Cremi Creamy Treats Salmon&Tuna Recipe 5un,S/ 9.30,wong,TUNA,2024-12-05 18:41:17.719606,5.0,un,Cremi Creamy Treats Salmon&Tuna Recipe,9.3,wong,,,TUNA
Cremi Creamy Treats Tuna Recipe 5un,S/ 9.30,wong,TUNA,2024-12-05 18:41:17.719606,5.0,un,Cremi Creamy Treats Tuna Recipe,9.3,wong,,,TUNA
Aceitunas en Conserva BELL'S Botija Deshuesada Bolsa 250g,S/ 9.40,vivanda,ACEITUNA DE BOTIJA,2024-12-05 22:16:55.860359,250.0,g,Aceitunas en Conserva BELL'S Botija Deshuesada Bolsa,9.4,vivanda,,BELL'S,TUNA
Aceitunas en Conserva BELL'S Botija deshuesada...,S/ 9.40 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-05 15:38:51.787912,250.0,g,Aceitunas en Conserva BELL'S Botija deshuesada,9.4,plaza_vea,Bolsa 250g,,TUNA
Palta Hass,S/ 9.49 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.2,kg,Palta Hass,9.49,plaza_vea,Presentación 0.2 kg aprox.,,TUNA
Jugo KING FRUITS Mix fresa y naranja Botella 1...,S/ 9.69 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,1.0,l,Jugo KING FRUITS Mix fresa y naranja Botella 1,9.69,plaza_vea,Botella 1L,,TUNA
Pulpa de Mango Congelado EL FRUTERO Bolsa 500g,S/ 9.80 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,500.0,g,Pulpa de Mango Congelado EL FRUTERO Bolsa,9.8,plaza_vea,Bolsa 500g,,TUNA
Piña en Trozos BELL'S Bandeja 500g,S/ 9.89 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,500.0,g,Piña en Trozos BELL'S Bandeja,9.89,plaza_vea,Bandeja 500g,,TUNA
Zarzamora BELL'S Bandeja 100g,S/ 9.90 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,100.0,g,Zarzamora BELL'S Bandeja,9.9,plaza_vea,Bandeja 100g,,TUNA
Mango en Trozos SOLEI Caja 300g,S/ 9.90 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,300.0,g,Mango en Trozos SOLEI Caja,9.9,plaza_vea,Caja 300g,,TUNA
Palta Fuerte,S/ 9.90 x kg,plaza_vea,TUNA,2024-12-05 15:24:45.139127,0.6,kg,Palta Fuerte,9.9,plaza_vea,Presentación 0.6 kg aprox.,,TUNA
Arándano Congelado FEST Paquete 500g,S/ 9.90 un,plaza_vea,TUNA,2024-12-05 15:24:45.139127,500.0,g,Arándano Congelado FEST Paquete,9.9,plaza_vea,Paquete 500g,,TUNA
Aceituna Botija con Pepa 240 g,S/ 9.90,tottus,ACEITUNA DE BOTIJA,2024-12-05 12:22:19.367329,240.0,g,Aceituna Botija con Pepa,9.9,tottus,,TOTTUS,TUNA
Tuna Andina x kg,S/ 10.49 x kg,metro,TUNA,2024-12-05 16:05:40.195828,1.0,kg,Tuna Andina,10.49,metro,,,TUNA
