description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Zanahoria Especial x kg,S/ 1.49 x kg,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,1.0,kg,Zanahoria Especial,1.49,metro,,VAINITA VERDE (AMERICANA)
Bebida de Té Verde Sabor Limón Leaf Tea Botella 400 ml,S/ 1.70,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,400.0,ml,Bebida de Té Verde Sabor Limón Leaf Tea Botella,1.7,metro,,VAINITA VERDE (AMERICANA)
Bebida de Té Verde Sabor Limón Free Tea Botella 500ml,S/ 2.70,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,500.0,ml,Bebida de Té Verde Sabor Limón Free Tea Botella,2.7,metro,,VAINITA VERDE (AMERICANA)
Gaseosa Fanta Beetlejuice Manzana Verde Botella 500ml,S/ 2.70,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,500.0,ml,Gaseosa Fanta Beetlejuice Manzana Verde Botella,2.7,metro,,VAINITA VERDE (AMERICANA)
Alverja Verde Tesoro del Campo Bolsa 350 g,S/ 2.90,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,350.0,g,Alverja Verde Tesoro del Campo Bolsa,2.9,metro,,VAINITA VERDE (AMERICANA)
Snacks de Alcachofa Casa Verde 45g,S/ 3.50,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,45.0,g,Snacks de Alcachofa Casa Verde,3.5,metro,,VAINITA VERDE (AMERICANA)
Rabanito Corte Juliana Línea Verde 200 g,S/ 4.10,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,200.0,g,Rabanito Corte Juliana Línea Verde,4.1,wong,,VAINITA VERDE (AMERICANA)
Maíz Pop Corn TESORO VERDE Bolsa 500g,S/ 4.20,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,500.0,g,Maíz Pop Corn TESORO VERDE Bolsa,4.2,vivanda,TESORO VERDE,VAINITA VERDE (AMERICANA)
Salsa Roja Casa Verde 160g,S/ 4.20,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,160.0,g,Salsa Roja Casa Verde,4.2,wong,,VAINITA VERDE (AMERICANA)
Salsa Roja CASA VERDE Doypack 160g,S/ 4.20,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,160.0,g,Salsa Roja CASA VERDE Doypack,4.2,vivanda,CASA VERDE,VAINITA VERDE (AMERICANA)
Toalla de Mano Krea 50x70cm 400gsm Verde,S/ 4.20,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,400.0,g,Toalla de Mano Krea 50x70cm sm Verde,4.2,metro,,VAINITA VERDE (AMERICANA)
Arveja Verde Partida INCATRAIL Bolsa 500g,S/ 4.29,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,500.0,g,Arveja Verde Partida INCATRAIL Bolsa,4.29,vivanda,INCATRAIL,VAINITA VERDE (AMERICANA)
Lechuga Romana Entera Verde Puro 200g,S/ 4.30,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,200.0,g,Lechuga Romana Entera Verde Puro,4.3,wong,,VAINITA VERDE (AMERICANA)
Aceituna Verde Deshuesada Olivalle 160g,S/ 4.30,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,160.0,g,Aceituna Verde Deshuesada Olivalle,4.3,metro,,VAINITA VERDE (AMERICANA)
Lechuga Crespa Entera Verde Puro 300g,S/ 4.30,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,300.0,g,Lechuga Crespa Entera Verde Puro,4.3,wong,,VAINITA VERDE (AMERICANA)
Lechuga Crespa Entera Verde Puro 300g,S/ 4.30,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,300.0,g,Lechuga Crespa Entera Verde Puro,4.3,metro,,VAINITA VERDE (AMERICANA)
Arveja Verde COSTEÑO Bolsa 500g,S/ 4.40,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,500.0,g,Arveja Verde COSTEÑO Bolsa,4.4,vivanda,COSTENO,VAINITA VERDE (AMERICANA)
Menta Verde Puro 45g,S/ 4.50,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,45.0,g,Menta Verde Puro,4.5,wong,,VAINITA VERDE (AMERICANA)
Orégano Verde Puro 45g,S/ 4.50,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,45.0,g,Orégano Verde Puro,4.5,wong,,VAINITA VERDE (AMERICANA)
Hierba Buena Verde Puro 45g,S/ 4.50,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,45.0,g,Hierba Buena Verde Puro,4.5,wong,,VAINITA VERDE (AMERICANA)
