description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Orégano BELL'S Entero Sobre 8Gr,S/ 1.10 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,8.0,g,Orégano BELL'S Entero Sobre r,1.1,plaza_vea,Sobre 8g,,YOGUR DE LECHE ENTERA
Poro Entero un,S/ 1.29 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,1.0,un,Poro Entero un,1.29,plaza_vea,Paquete 1un,,YOGUR DE LECHE ENTERA
Yogurt GLORIA Batti Shake Vainilla Vaso 120g,S/ 1.60 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,120.0,g,Yogurt GLORIA Batti Shake Vainilla Vaso,1.6,plaza_vea,Vaso 120g,,YOGUR DE LECHE ENTERA
Yogurt GLORIA Batti Shake Fresa Vaso 120g,S/ 1.60 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,120.0,g,Yogurt GLORIA Batti Shake Fresa Vaso,1.6,plaza_vea,Vaso 120g,,YOGUR DE LECHE ENTERA
Yogurt Batishake Gloria Vainilla Vaso 120 g,S/ 1.70,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,120.0,g,Yogurt Batishake Gloria Vainilla Vaso,1.7,wong,,,YOGUR DE LECHE ENTERA
Yogurt GLORIA Frutado Fresa Vaso 120g,S/ 1.70 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,120.0,g,Yogurt GLORIA Frutado Fresa Vaso,1.7,plaza_vea,Vaso 120g,,YOGUR DE LECHE ENTERA
Choclo Entero un,S/ 1.89 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,1.0,un,Choclo Entero un,1.89,plaza_vea,Paquete 1un,,YOGUR DE LECHE ENTERA
Yogurt Frutado Gloria Durazno Vaso 120 g,S/ 1.90,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,120.0,g,Yogurt Frutado Gloria Durazno Vaso,1.9,wong,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Slim Sabor Fresa 120g,S/ 2.00,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,120.0,g,Yogurt Gloria Slim Sabor Fresa,2.0,wong,,,YOGUR DE LECHE ENTERA
Yogurt Bebible Laive Fresa Botella 180g,S/ 2.10,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,180.0,g,Yogurt Bebible Laive Fresa Botella,2.1,wong,,,YOGUR DE LECHE ENTERA
Yogurt Batido GLORIA Griego Sabor Frutos Rojos...,S/ 2.20 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,120.0,g,Yogurt Batido GLORIA Griego Sabor Frutos Rojos,2.2,plaza_vea,Vaso 120g,,YOGUR DE LECHE ENTERA
Yogurt Bebible Gloria Durazno Botella 180 g,S/ 2.20,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,180.0,g,Yogurt Bebible Gloria Durazno Botella,2.2,wong,,,YOGUR DE LECHE ENTERA
Yogurt Bebible Gloria Fresa Botella 180 g,S/ 2.20,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,180.0,g,Yogurt Bebible Gloria Fresa Botella,2.2,wong,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Griego con Miel 120g,S/ 2.20,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,120.0,g,Yogurt Gloria Griego con Miel,2.2,wong,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Griego Sabor Maracuyá 120g,S/ 2.20,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,120.0,g,Yogurt Gloria Griego Sabor Maracuyá,2.2,wong,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Griego con Miel 120g,S/ 2.20,metro,YOGUR DE LECHE ENTERA,2024-12-05 15:45:52.964089,120.0,g,Yogurt Gloria Griego con Miel,2.2,metro,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Griego Sabor Mango 120g,S/ 2.20,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,120.0,g,Yogurt Gloria Griego Sabor Mango,2.2,wong,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Griego Sabor Frutos Rojos 120g,S/ 2.20,metro,YOGUR DE LECHE ENTERA,2024-12-05 15:45:52.964089,120.0,g,Yogurt Gloria Griego Sabor Frutos Rojos,2.2,metro,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Griego Sabor Frutos Rojos 120g,S/ 2.20,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,120.0,g,Yogurt Gloria Griego Sabor Frutos Rojos,2.2,wong,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Batti Mix Mini Cookies 138g,S/ 2.99,wong,YOGUR DE LECHE ENTERA,2024-12-05 18:19:44.895174,138.0,g,Yogurt Gloria Batti Mix Mini Cookies,2.99,wong,,,YOGUR DE LECHE ENTERA
