description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Tratamiento Para el Cabello NUTRIBELA Células Madre Sachet 27ml,S/ 1.50,vega,ZAPALLO MACRE,2024-12-05 12:50:29.813068,27.0,ml,Tratamiento Para el Cabello NUTRIBELA Células Madre Sachet,1.5,vega,,NUTRIBELA,ZAPALLO MACRE
Zapallo Macre x kg,S/ 1.99 x kg,metro,ZAPALLO MACRE,2024-12-05 16:10:51.032275,1.0,kg,Zapallo Macre,1.99,metro,,,ZAPALLO MACRE
Zapallo Macre,S/ 1.99 x kg,plaza_vea,ZAPALLO MACRE,2024-12-05 15:29:42.538185,1.5,kg,Zapallo Macre,1.99,plaza_vea,Presentación 1.5 kg aprox.,,ZAPALLO MACRE
Zapallo Italiano x unidad,S/ 1.99 un,plaza_vea,ZAPALLO MACRE,2024-12-05 15:29:42.538185,1.0,un,Zapallo Italiano ad,1.99,plaza_vea,Paquete 1un,,ZAPALLO MACRE
Berenjena un,S/ 2.99 un,plaza_vea,ZAPALLO MACRE,2024-12-05 15:29:42.538185,1.0,un,Berenjena un,2.99,plaza_vea,Paquete 1un,,ZAPALLO MACRE
Caigua Chilena x un,S/ 2.99 un,plaza_vea,ZAPALLO MACRE,2024-12-05 15:29:42.538185,1.0,un,Caigua Chilena,2.99,plaza_vea,Paquete 1un,,ZAPALLO MACRE
Zapallo Macre x kg,S/ 3.20 x kg,wong,ZAPALLO MACRE,2024-12-05 18:46:22.365190,1.0,kg,Zapallo Macre,3.2,wong,,,ZAPALLO MACRE
Crema para Peinar SEDAL Células Madre Frasco 300ml,S/ 13.20,vega,ZAPALLO MACRE,2024-12-05 12:50:29.813068,300.0,ml,Crema para Peinar SEDAL Células Madre Frasco,13.2,vega,,Sedal,ZAPALLO MACRE
Desodorante en Aerosol AXE Body Apollo Frasco 150 ml,S/ 13.50,vega,ZAPALLO MACRE,2024-12-05 12:50:29.813068,150.0,ml,Desodorante en Aerosol AXE Body Apollo Frasco,13.5,vega,,Axe,ZAPALLO MACRE
Acondicionador SEDAL Células Madre Frasco 340ml,S/ 13.50,vega,ZAPALLO MACRE,2024-12-05 12:50:29.813068,340.0,ml,Acondicionador SEDAL Células Madre Frasco,13.5,vega,,Sedal,ZAPALLO MACRE
Zapallo Loche,S/ 18.99 x kg,plaza_vea,ZAPALLO MACRE,2024-12-05 15:29:42.538185,0.4,kg,Zapallo Loche,18.99,plaza_vea,Presentación 0.4 kg aprox.,,ZAPALLO MACRE
Shampoo SEDAL Células Madre Frasco 650ml,S/ 22.50,vega,ZAPALLO MACRE,2024-12-05 12:50:29.813068,650.0,ml,Shampoo SEDAL Células Madre Frasco,22.5,vega,,Sedal,ZAPALLO MACRE
Acondicionador SEDAL Células Madre Frasco 340ml x 2u,S/ 27.00,vega,ZAPALLO MACRE,2024-12-05 12:50:29.813068,340.0,ml,Acondicionador SEDAL Células Madre Frasco  x 2u,27.0,vega,,Sedal,ZAPALLO MACRE
Shampoo SEDAL Células Madre Frasco 340ml x 2u,S/ 27.00,vega,ZAPALLO MACRE,2024-12-05 12:50:29.813068,340.0,ml,Shampoo SEDAL Células Madre Frasco  x 2u,27.0,vega,,Sedal,ZAPALLO MACRE
