description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Agua Mineral sin gas 625 mL,CIELO,625.0,ml,1.5,tottus,2024-12-06 14:09:54.461490,AGUA MINERAL SIN GAS,625.0,ml,1.5,AGUA MINERAL SIN GAS
Agua Mineral SAN LUIS Con Gas Botella 625ml,,625.0,ml,1.6,plaza_vea,2024-12-06 14:47:44.068857,AGUA MINERAL SIN GAS,625.0,ml,1.6,AGUA MINERAL SIN GAS
Agua Mineral SAN LUIS Con Gas Botella 625ml,SAN LUIS,625.0,ml,1.6,vivanda,2024-12-06 12:21:12.479453,AGUA MINERAL SIN GAS,625.0,ml,1.6,AGUA MINERAL SIN GAS
Agua Mineral SAN MATEO Con Gas Botella 600ml,,600.0,ml,1.8,plaza_vea,2024-12-06 14:47:44.068857,AGUA MINERAL SIN GAS,600.0,ml,1.8,AGUA MINERAL SIN GAS
Agua Mineral SAN MATEO Con Gas Botella 600ml,SAN MATEO,600.0,ml,1.8,vivanda,2024-12-06 12:21:12.479453,AGUA MINERAL SIN GAS,600.0,ml,1.8,AGUA MINERAL SIN GAS
Agua con Gas Mineral San Mateo Botella 600ml,,600.0,ml,1.8,wong,2024-12-06 15:01:33.385822,AGUA MINERAL SIN GAS,600.0,ml,1.8,AGUA MINERAL SIN GAS
Agua con Gas Mineral San Mateo Botella 600ml,,600.0,ml,1.8,metro,2024-12-06 19:36:17.820043,AGUA MINERAL SIN GAS,600.0,ml,1.8,AGUA MINERAL SIN GAS
Agua Sin Gas Mineral San Mateo Botella 600ml,,600.0,ml,1.8,wong,2024-12-06 15:01:33.385822,AGUA MINERAL SIN GAS,600.0,ml,1.8,AGUA MINERAL SIN GAS
Agua Mineral con gas 625 mL,SAN LUIS,625.0,ml,1.9,tottus,2024-12-06 14:09:54.461490,AGUA MINERAL SIN GAS,625.0,ml,1.9,AGUA MINERAL SIN GAS
Agua Mineral Con Gas Socosani Botella 500 ml,,500.0,ml,1.99,metro,2024-12-06 19:36:17.820043,AGUA MINERAL SIN GAS,500.0,ml,1.99,AGUA MINERAL SIN GAS
Agua Mineral SOCOSANI Con Gas Botella 500ml,SOCOSANI,500.0,ml,2.0,vivanda,2024-12-06 12:21:12.479453,AGUA MINERAL SIN GAS,500.0,ml,2.0,AGUA MINERAL SIN GAS
Agua Mineral SOCOSANI Con Gas Botella 500ml,,500.0,ml,2.0,plaza_vea,2024-12-06 14:47:44.068857,AGUA MINERAL SIN GAS,500.0,ml,2.0,AGUA MINERAL SIN GAS
Agua Mineral SAN MATEO Con Gas Botella 1.5L,,1.5,l,2.2,plaza_vea,2024-12-06 14:47:44.068857,AGUA MINERAL SIN GAS,1.5,l,2.2,AGUA MINERAL SIN GAS
Agua Mineral con gas 500 mL,SOCOSANI,500.0,ml,2.4,tottus,2024-12-06 14:09:54.461490,AGUA MINERAL SIN GAS,500.0,ml,2.4,AGUA MINERAL SIN GAS
