description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Bizcocho Chocolate RICCO'S Reyenito Bolsa 56g,RICCO S,56.0,g,1.5,vivanda,2024-12-06 11:13:15.028822,BIZCOCHOS,56.0,g,1.5,BIZCOCHOS
Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack 90g,,90.0,g,2.0,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,90.0,g,2.0,BIZCOCHOS
Kekitos Todinno 2un,,2.0,un,2.5,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,2.0,un,2.5,BIZCOCHOS
Mini Panetón Minions Caja 80g Surtido,,80.0,g,2.8,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,80.0,g,2.8,BIZCOCHOS
Mini Panetón Donofrio Chocotoncito Bolsa 80g,,80.0,g,3.52,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,80.0,g,3.52,BIZCOCHOS
Mini Panetón Sapito Doypack 75g,,75.0,g,3.6,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,75.0,g,3.6,BIZCOCHOS
Panetón D'onofrio Panetoncito Caja 90g,,90.0,g,3.6,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,90.0,g,3.6,BIZCOCHOS
Bizcocho CANCÚN COSTA Sabor coco y cobertura d...,,6.0,un,3.7,plaza_vea,2024-12-06 13:11:24.195727,BIZCOCHOS,6.0,un,3.7,BIZCOCHOS
Keke Sabor Vainilla PYC Kekitos 3un,,3.0,un,3.7,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,3.0,un,3.7,BIZCOCHOS
Bizcocho CANCÚN COSTA Sabor coco y cobertura de chocolate Paquete 6Un,COSTA,6.0,un,3.7,vivanda,2024-12-06 11:13:15.028822,BIZCOCHOS,6.0,un,3.7,BIZCOCHOS
Keke Sabor Naranja PYC Kekitos 3un,,3.0,un,3.7,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,3.0,un,3.7,BIZCOCHOS
Bizcocho COSTA Caritas Paquete 6un,,6.0,un,3.79,plaza_vea,2024-12-06 13:11:24.195727,BIZCOCHOS,6.0,un,3.79,BIZCOCHOS
Keke Sabor Chocolate Relleno con Crema Pingüinos Marinela Paquete 2 unid,,2.0,un,3.8,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,2.0,un,3.8,BIZCOCHOS
Keke Bimboletes Chispas Sabor Chocolate 3un,,3.0,un,3.8,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,3.0,un,3.8,BIZCOCHOS
Bizcocho Chocotoncito Bolsa 80 gr,DONOFRIO,80.0,g,3.9,tottus,2024-12-06 12:39:49.018035,BIZCOCHOS,80.0,g,3.9,BIZCOCHOS
Mini Panetón Relleno Bon o Bon 80g,,80.0,g,3.92,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,80.0,g,3.92,BIZCOCHOS
Bizcocho Chocman Relleno De Manjar 6 Unidades x 33.5 g,COSTA,6.0,un,3.95,tottus,2024-12-06 12:39:49.018035,BIZCOCHOS,6.0,un,3.95,BIZCOCHOS
Keke Bimbo Bimbolete Marmoleado 3un,,3.0,un,4.0,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,3.0,un,4.0,BIZCOCHOS
Keke Sabor Vainilla Bimbolete Bimbo Paquete 3 unid,,3.0,un,4.0,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,3.0,un,4.0,BIZCOCHOS
Mini Panetón Bauducco Chocolate 80g,,80.0,g,4.08,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,80.0,g,4.08,BIZCOCHOS
Mini Panetón Bauducco Frutas Caja 80g,,80.0,g,4.08,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,80.0,g,4.08,BIZCOCHOS
Bizcocho Chocman Black 29 g,COSTA,29.0,g,4.2,tottus,2024-12-06 12:39:49.018035,BIZCOCHOS,29.0,g,4.2,BIZCOCHOS
Bizcocho Relleno Chocman Black Pack 6un,,6.0,un,4.3,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,6.0,un,4.3,BIZCOCHOS
Bizcocho Sabor Chocolate Relleno de Crema 6 Unidades,CANCUN,6.0,un,4.5,tottus,2024-12-06 12:39:49.018035,BIZCOCHOS,6.0,un,4.5,BIZCOCHOS
Sixpack Bizcocho Chocman 33.5g,,33.5,g,4.5,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,33.5,g,4.5,BIZCOCHOS
Bizcocho Relleno con Manjar CHOCMAN Paquete 6u...,,6.0,un,4.5,plaza_vea,2024-12-06 13:11:24.195727,BIZCOCHOS,6.0,un,4.5,BIZCOCHOS
Bizcocho Relleno con Manjar CHOCMAN Paquete 6un,COSTA,6.0,un,4.5,vivanda,2024-12-06 11:13:15.028822,BIZCOCHOS,6.0,un,4.5,BIZCOCHOS
Bizcocho COSTA Chocman 33.5gr Paquete 6u,Costa,33.5,g,4.5,vega,2024-12-06 11:05:23.475565,BIZCOCHOS,33.5,g,4.5,BIZCOCHOS
BIZCOCHO CARITAS RELL VAINILLA BOL 28GX6UND,COSTA,28.0,g,4.5,tottus,2024-12-06 12:39:49.018035,BIZCOCHOS,28.0,g,4.5,BIZCOCHOS
Bizcocho Chocman Relleno Manjar 24g 6 Unidades,COSTA,24.0,g,5.9,tottus,2024-12-06 12:39:49.018035,BIZCOCHOS,24.0,g,5.9,BIZCOCHOS
Bizcocho Relleno con Doble Manjar COSTA Chocma...,,6.0,un,6.3,plaza_vea,2024-12-06 13:11:24.195727,BIZCOCHOS,6.0,un,6.3,BIZCOCHOS
Bizcocho CHOCMAN Doble Black Paquete 6un,,6.0,un,6.5,plaza_vea,2024-12-06 13:11:24.195727,BIZCOCHOS,6.0,un,6.5,BIZCOCHOS
Brownies Gustozzi Clásicos 3un,,3.0,un,6.6,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,3.0,un,6.6,BIZCOCHOS
Plátano Bizcocho Orgánico x kg,,1.0,kg,6.99,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,1.0,kg,6.99,BIZCOCHOS
Plátano Bizcocho Tipo Exportación x kg,,1.0,kg,6.99,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,1.0,kg,6.99,BIZCOCHOS
Bizcocho Chocman Doble Black 53g,COSTA,53.0,g,7.2,tottus,2024-12-06 12:39:49.018035,BIZCOCHOS,53.0,g,7.2,BIZCOCHOS
Kekitos Gustozzito 3un,,3.0,un,7.5,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,3.0,un,7.5,BIZCOCHOS
Turron de Doña Pepa Gustozzi 3un,,3.0,un,7.5,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,3.0,un,7.5,BIZCOCHOS
Bizcocho Relleno Chocman Doble Black Pack 6 unid,,6.0,un,7.8,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,6.0,un,7.8,BIZCOCHOS
Bizcocho Pokeke COSTA Paquete 12un,,12.0,un,7.9,plaza_vea,2024-12-06 13:11:24.195727,BIZCOCHOS,12.0,un,7.9,BIZCOCHOS
Bizcochos Madeleines de Vainilla 170g,,170.0,g,7.92,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,170.0,g,7.92,BIZCOCHOS
Brownies Gustozzi Selección 3un,,3.0,un,8.3,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,3.0,un,8.3,BIZCOCHOS
Panetón Vegano Bona Stella Chocolate Caja 100g,,100.0,g,8.72,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,100.0,g,8.72,BIZCOCHOS
Panetón Vegano Bona Stella Premium Caja 100g,,100.0,g,8.72,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,100.0,g,8.72,BIZCOCHOS
Bizcocho Chocman Doble Manjar 50g,COSTA,50.0,g,9.0,tottus,2024-12-06 12:39:49.018035,BIZCOCHOS,50.0,g,9.0,BIZCOCHOS
Keke Sabor Vainilla Bimbo Bimbolete Minix 10un.,,10.0,un,9.3,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,10.0,un,9.3,BIZCOCHOS
Keke Bimboletes Minix Chispas Sabor Chocolate 10un,,10.0,un,9.3,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,10.0,un,9.3,BIZCOCHOS
Pasteles Pingüino Minix Triple Sabor Chocolate 10un,,10.0,un,9.5,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,10.0,un,9.5,BIZCOCHOS
Pasteles Gansito Minix 8un,,8.0,un,9.5,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,8.0,un,9.5,BIZCOCHOS
Kekes Sabor Limón Mr Brownie 8un,,8.0,un,10.1,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,8.0,un,10.1,BIZCOCHOS
Blondies Mr Brownie 8un,,8.0,un,10.1,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,8.0,un,10.1,BIZCOCHOS
Brownies Galáctivos Mr Brownies 8un,,8.0,un,10.1,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,8.0,un,10.1,BIZCOCHOS
Brownie Gustozzi Toppings 3un,,3.0,un,10.3,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,3.0,un,10.3,BIZCOCHOS
Brownichoc Nutra Bien 4un,,4.0,un,10.9,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,4.0,un,10.9,BIZCOCHOS
Panetón Tradicional Máxima Doypack 800g,,800.0,g,10.9,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,800.0,g,10.9,BIZCOCHOS
Keke Marmoleado Bimbo Paquete 380 g,,380.0,g,11.2,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,380.0,g,11.2,BIZCOCHOS
Keke Naranja Bimbo Paquete 380 g,,380.0,g,11.2,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,380.0,g,11.2,BIZCOCHOS
Bizcocho Mini 20un Chocman Costa 21g,,20.0,un,12.5,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,20.0,un,12.5,BIZCOCHOS
Brownie Nutra Bien Mini 6un,,6.0,un,12.9,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,6.0,un,12.9,BIZCOCHOS
Panetón Winter's Choco Chispas Doypack 500g,,500.0,g,13.52,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,500.0,g,13.52,BIZCOCHOS
Panetón Winter's Sin Pasas Sin Frutas Doypack 500g,,500.0,g,13.52,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,500.0,g,13.52,BIZCOCHOS
Panetón con Gotas Sabor Chocolate Todinno Cioccolato 500g,,500.0,g,13.52,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,500.0,g,13.52,BIZCOCHOS
Bizcocho Chocman Mini Relleno de Manjar 21 g,COSTA,21.0,g,13.8,tottus,2024-12-06 12:39:49.018035,BIZCOCHOS,21.0,g,13.8,BIZCOCHOS
Panetón de Lúcuma Ricco's Chocolúcuma Caja 500g,,500.0,g,14.32,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,500.0,g,14.32,BIZCOCHOS
Panetón Andino Ricco's Kusi Raymi Caja 500g,,500.0,g,14.32,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,500.0,g,14.32,BIZCOCHOS
Panetón Cuisine & Co Tradicional Doypack 800g,,800.0,g,14.32,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,800.0,g,14.32,BIZCOCHOS
Mix Mr Brownies Surtido Sweet Moments 12un,,12.0,un,14.7,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,12.0,un,14.7,BIZCOCHOS
Brownie Chip Nutra Bien 4un,,4.0,un,14.9,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,4.0,un,14.9,BIZCOCHOS
Brownie Clásico Nutra Bien 4un,,4.0,un,14.9,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,4.0,un,14.9,BIZCOCHOS
Panetón con Chocolate Blanca Flor Caja 450g,,450.0,g,15.04,wong,2024-12-06 12:58:26.779461,BIZCOCHOS,450.0,g,15.04,BIZCOCHOS
