description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Huesitos de Ganado Vacuno Deshidratado Pet's Fun 30g,,30.0,g,5.2,metro,2024-12-06 17:54:23.531502,CHURRASCO DE VACUNO,1.0,kg,173.33333333333334,CHURRASCO DE VACUNO
Huesitos de Ganado Vacuno Deshidratado Pet's Fun 30g,,30.0,g,5.2,wong,2024-12-06 13:15:42.763932,CHURRASCO DE VACUNO,1.0,kg,173.33333333333334,CHURRASCO DE VACUNO
Hojuelas de ganado Vacuno deshidrat Pet's Fun 60g,,60.0,g,6.5,wong,2024-12-06 13:15:42.763932,CHURRASCO DE VACUNO,1.0,kg,108.33333333333334,CHURRASCO DE VACUNO
Doguitos Bocaditos para Perro Churrasco de Carne Doypack 65 gr,,65.0,g,8.0,wong,2024-12-06 13:15:42.763932,CHURRASCO DE VACUNO,1.0,kg,123.07692307692307,CHURRASCO DE VACUNO
Doguitos Bocaditos para Perro Churrasco de Carne Doypack 65 gr,,65.0,g,8.0,metro,2024-12-06 17:54:23.531502,CHURRASCO DE VACUNO,1.0,kg,123.07692307692307,CHURRASCO DE VACUNO
Hojuelas de ganado Vacuno deshidrat Pet's Fun 100g,,100.0,g,9.1,metro,2024-12-06 17:54:23.531502,CHURRASCO DE VACUNO,1.0,kg,91.0,CHURRASCO DE VACUNO
Huesos de ganado Vacuno Deshidratado Pet's Fun 75g,,75.0,g,9.8,wong,2024-12-06 13:15:42.763932,CHURRASCO DE VACUNO,1.0,kg,130.66666666666669,CHURRASCO DE VACUNO
Hojuelas de Ganado Vacuno Deshidratado Pet's Fun 250g,,250.0,g,12.9,metro,2024-12-06 17:54:23.531502,CHURRASCO DE VACUNO,1.0,kg,51.6,CHURRASCO DE VACUNO
Premios de Vacuno Ahumados Pet's Fun 250g,,250.0,g,14.2,metro,2024-12-06 17:54:23.531502,CHURRASCO DE VACUNO,1.0,kg,56.8,CHURRASCO DE VACUNO
Premios de Vacuno Ahumados Pet's Fun 250g,,250.0,g,14.2,wong,2024-12-06 13:15:42.763932,CHURRASCO DE VACUNO,1.0,kg,56.8,CHURRASCO DE VACUNO
Huesos de ganado Vacuno deshidratad Pet's Fun 250g,,250.0,g,14.5,metro,2024-12-06 17:54:23.531502,CHURRASCO DE VACUNO,1.0,kg,58.0,CHURRASCO DE VACUNO
Hueso de Ganado Vacuno Deshidratado Pet's Fun 100g,,100.0,g,14.59,metro,2024-12-06 17:54:23.531502,CHURRASCO DE VACUNO,1.0,kg,145.9,CHURRASCO DE VACUNO
