description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Trigo Mote Tesoro Del Campo Bolsa 500 g,,500.0,g,3.7,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,7.4,GARBANZO
Garbanzo VEGA Bolsa 400g,Vega,400.0,g,3.8,vega,2024-12-06 12:15:52.841526,GARBANZO,1.0,kg,9.5,GARBANZO
Trigo Mote Cuisine & Co 500g,,500.0,g,3.9,wong,2024-12-06 14:23:52.781307,GARBANZO,1.0,kg,7.8,GARBANZO
Garbanzo TIMONEL Bolsa 400g,Timonel,400.0,g,4.0,vega,2024-12-06 12:15:52.841526,GARBANZO,1.0,kg,10.0,GARBANZO
Palitos De Quinua Y Garbanzo Q Sticks Sabor Finas Hierbas Bolsa 30 g,WASI ORGANICS,30.0,g,4.1,tottus,2024-12-06 13:42:51.151184,GARBANZO,1.0,kg,136.66666666666666,GARBANZO
Palitos de Quinua y Garbanzo con Finas Hierbas Q Sticks Wasi Bolsa 30 g,,30.0,g,4.1,wong,2024-12-06 14:23:52.781307,GARBANZO,1.0,kg,136.66666666666666,GARBANZO
Trigo Mote Costeño 500g,,500.0,g,4.4,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,8.8,GARBANZO
Trigo Mote Costeño 500g,,500.0,g,4.6,wong,2024-12-06 14:23:52.781307,GARBANZO,1.0,kg,9.2,GARBANZO
Lenteja Máxima 500g,,500.0,g,4.9,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,9.8,GARBANZO
Lenteja Cuisine & Co 500g,,500.0,g,4.9,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,9.8,GARBANZO
Lenteja Bebé Cuisine & Co 500g,,500.0,g,4.9,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,9.8,GARBANZO
Garbanzos BELL'S Bolsa 500g,,500.0,g,4.9,plaza_vea,2024-12-06 14:18:10.266562,GARBANZO,1.0,kg,9.8,GARBANZO
Garbanzo Maixma Bolsa 500 g,,500.0,g,4.99,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,9.98,GARBANZO
Garbanzo COSECHA ANDINA Bolsa 500g,COSECHA ANDINA,500.0,g,5.3,vega,2024-12-06 12:15:52.841526,GARBANZO,1.0,kg,10.6,GARBANZO
Lenteja Costeño 500g,,500.0,g,5.4,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,10.8,GARBANZO
Lenteja Costeño 500g,,500.0,g,5.4,wong,2024-12-06 14:23:52.781307,GARBANZO,1.0,kg,10.8,GARBANZO
Garbanzos Cuisine & Co 500g,,500.0,g,5.4,wong,2024-12-06 14:23:52.781307,GARBANZO,1.0,kg,10.8,GARBANZO
Garbanzos Cuisine & Co 500g,,500.0,g,5.4,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,10.8,GARBANZO
Lenteja Bebé Tesoro Del Campo Bolsa 500 g,,500.0,g,5.5,wong,2024-12-06 14:23:52.781307,GARBANZO,1.0,kg,11.0,GARBANZO
Lenteja Bebé Tesoro Del Campo Bolsa 500 g,,500.0,g,5.5,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,11.0,GARBANZO
Lenteja Bebé Cuisine & Co 500g,,500.0,g,5.7,wong,2024-12-06 14:23:52.781307,GARBANZO,1.0,kg,11.4,GARBANZO
Lenteja Tesoro Del Campo Bolsa 500 g,,500.0,g,5.85,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,11.7,GARBANZO
Lenteja Tesoro Del Campo Bolsa 500 g,,500.0,g,5.85,wong,2024-12-06 14:23:52.781307,GARBANZO,1.0,kg,11.7,GARBANZO
Lentejón Tesoro Del Campo Bolsa 500 g,,500.0,g,6.1,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,12.2,GARBANZO
Garbanzo INCATRAIL Bolsa 500g,,500.0,g,6.1,plaza_vea,2024-12-06 14:18:10.266562,GARBANZO,1.0,kg,12.2,GARBANZO
Lenteja Valle Norte Bolsa 500 g,,500.0,g,6.2,metro,2024-12-06 18:56:55.556156,GARBANZO,1.0,kg,12.4,GARBANZO
Crunch Garbanzo Cheddar Dyff 100 g,DYFFERENT,100.0,g,6.3,tottus,2024-12-06 13:42:51.151184,GARBANZO,1.0,kg,63.0,GARBANZO
Lenteja Valle Norte Bolsa 500 g,,500.0,g,6.3,wong,2024-12-06 14:23:52.781307,GARBANZO,1.0,kg,12.6,GARBANZO
