description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Agua de Mesa CIELO con Gas Botella 625ml,,625.0,ml,1.3,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,625.0,ml,1.3,HELADO DE HIELO PERSONAL
Agua sin Gas CIELO Alcalina Botella 650ml,,650.0,ml,1.8,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,650.0,ml,1.8,HELADO DE HIELO PERSONAL
Agua sin Gas CIELO Tapa Sport Botella 1L,,1.0,l,2.4,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,1.0,l,2.4,HELADO DE HIELO PERSONAL
Agua sin Gas CIELO Botella 2.5L,,2.5,l,2.7,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,2.5,l,2.7,HELADO DE HIELO PERSONAL
Fideos Tallarín Delgado NICOLINI Bolsa 450g,,450.0,g,3.6,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,450.0,g,3.6,HELADO DE HIELO PERSONAL
Fideos NICOLINI Tallarín Delgado Bolsa 500g,,500.0,g,3.7,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,500.0,g,3.7,HELADO DE HIELO PERSONAL
Piqueo BELL'S Chifles Salados Táper 100g,,100.0,g,3.79,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,100.0,g,3.79,HELADO DE HIELO PERSONAL
Maní KARINTO Engalletado Salado Bolsa 100g,,100.0,g,4.2,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,100.0,g,4.2,HELADO DE HIELO PERSONAL
Piqueo BELL'S Maní salado Bolsa 180Gr,,180.0,g,4.2,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,180.0,g,4.2,HELADO DE HIELO PERSONAL
Aguaymanto Pelado BELL'S Bandeja 200g,,200.0,g,4.29,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,200.0,g,4.29,HELADO DE HIELO PERSONAL
Papas al Hilo BELL'S Bolsa 125g,,125.0,g,4.9,plaza_vea,2024-12-06 14:30:24.744239,HELADO DE HIELO PERSONAL,125.0,g,4.9,HELADO DE HIELO PERSONAL
