description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Pan para Hot Dog 5un,,5.0,un,2.5,wong,2024-12-06 13:24:25.482663,HOT DOG,5.0,un,2.5,HOT DOG
Salchicha de pollo 250 g,REDONDOS,250.0,g,3.5,tottus,2024-12-06 12:59:59.121012,HOT DOG,250.0,g,3.5,HOT DOG
Pan Hot Dog LA FLORENCIA Paquete 360g,,6.0,un,4.2,plaza_vea,2024-12-06 13:32:59.429255,HOT DOG,6.0,un,4.2,HOT DOG
Hot Dog de Pollo Ahumado San Fernando 220g,,220.0,g,4.2,metro,2024-12-06 18:03:11.827897,HOT DOG,220.0,g,4.2,HOT DOG
Hot Dog de Cerdo San Fernando 200g,,200.0,g,4.35,metro,2024-12-06 18:03:11.827897,HOT DOG,200.0,g,4.35,HOT DOG
Pan para Hot Dog 5un,,5.0,un,4.59,metro,2024-12-06 18:03:11.827897,HOT DOG,5.0,un,4.59,HOT DOG
Hot Dog Ahumado de Pollo SAN FERNANDO Paquete ...,,220.0,g,4.6,plaza_vea,2024-12-06 13:32:59.429255,HOT DOG,220.0,g,4.6,HOT DOG
Hot Dog de Pollo Metro Paquete 250 g,,250.0,g,4.9,metro,2024-12-06 18:03:11.827897,HOT DOG,250.0,g,4.9,HOT DOG
Hot Dog Ahumado De Pollo 220 g (6 unidades),SAN FERNANDO,220.0,g,5.2,tottus,2024-12-06 12:59:59.121012,HOT DOG,220.0,g,5.2,HOT DOG
Pan Hot Dog Wong Bolsa 6 Unid,,6.0,un,5.49,wong,2024-12-06 13:24:25.482663,HOT DOG,6.0,un,5.49,HOT DOG
Hot Dog BELL'S Paquete 250g,,250.0,g,5.49,plaza_vea,2024-12-06 13:32:59.429255,HOT DOG,250.0,g,5.49,HOT DOG
Salchicha de pollo San Fernando 250 g,,250.0,g,5.5,tottus,2024-12-06 12:59:59.121012,HOT DOG,250.0,g,5.5,HOT DOG
Hot Dog Rico Pollo 250 g,,250.0,g,5.6,metro,2024-12-06 18:03:11.827897,HOT DOG,250.0,g,5.6,HOT DOG
Hot Dog con Pollo Suiza 200g,,200.0,g,5.6,metro,2024-12-06 18:03:11.827897,HOT DOG,200.0,g,5.6,HOT DOG
Hot Dog BRAEDT Paquete 200g,,200.0,g,5.7,plaza_vea,2024-12-06 13:32:59.429255,HOT DOG,200.0,g,5.7,HOT DOG
Hot Dog de Cerdo San Fernando 200g,,200.0,g,5.8,wong,2024-12-06 13:24:25.482663,HOT DOG,200.0,g,5.8,HOT DOG
HOT DOG VIENESA SALCHICHERI ALE PQ 250G,SALCHICHERIA ALEMANA,250.0,g,5.8,tottus,2024-12-06 12:59:59.121012,HOT DOG,250.0,g,5.8,HOT DOG
Hot Dog de Pollo Wong 250g,,250.0,g,5.9,wong,2024-12-06 13:24:25.482663,HOT DOG,250.0,g,5.9,HOT DOG
Hot Dog de Cerdo Wong 250g,,250.0,g,5.9,wong,2024-12-06 13:24:25.482663,HOT DOG,250.0,g,5.9,HOT DOG
Pan Hot Dog Metro 6un.,,6.0,un,5.9,metro,2024-12-06 18:03:11.827897,HOT DOG,6.0,un,5.9,HOT DOG
Hot Dog BRAEDT Paquete 200g,BRAEDT,200.0,g,5.9,vivanda,2024-12-06 11:27:36.079934,HOT DOG,200.0,g,5.9,HOT DOG
Hot Dog de Pollo Cuisine & Co 250g,,250.0,g,5.9,wong,2024-12-06 13:24:25.482663,HOT DOG,250.0,g,5.9,HOT DOG
Pan para Hot Dog 6un,,6.0,un,5.9,metro,2024-12-06 18:03:11.827897,HOT DOG,6.0,un,5.9,HOT DOG
Hot Dog de Cerdo Metro Paquete 250 g,,250.0,g,5.9,metro,2024-12-06 18:03:11.827897,HOT DOG,250.0,g,5.9,HOT DOG
Hot Dog Braedt Paquete 200 g,,200.0,g,6.2,metro,2024-12-06 18:03:11.827897,HOT DOG,200.0,g,6.2,HOT DOG
Hot Dog SALCHICHERÍA SUIZA Paquete 200g,SUIZA,200.0,g,6.3,vivanda,2024-12-06 11:27:36.079934,HOT DOG,200.0,g,6.3,HOT DOG
Hot Dog SALCHICHERÍA SUIZA Paquete 200g,,200.0,g,6.3,plaza_vea,2024-12-06 13:32:59.429255,HOT DOG,200.0,g,6.3,HOT DOG
Hot Dog de Pavita SAN FERNANDO Paquete 250g,,250.0,g,6.5,plaza_vea,2024-12-06 13:32:59.429255,HOT DOG,250.0,g,6.5,HOT DOG
Hot Dog Pelado Suiza 200g,,200.0,g,6.5,metro,2024-12-06 18:03:11.827897,HOT DOG,200.0,g,6.5,HOT DOG
Salchicha de pollo 500 g,REDONDOS,500.0,g,6.9,tottus,2024-12-06 12:59:59.121012,HOT DOG,500.0,g,6.9,HOT DOG
Salchicha Del Norte 150g,OTTO KUNZ,150.0,g,6.9,tottus,2024-12-06 12:59:59.121012,HOT DOG,150.0,g,6.9,HOT DOG
Hot Dog La Segoviana Paquete 5 unid,,5.0,un,6.99,metro,2024-12-06 18:03:11.827897,HOT DOG,5.0,un,6.99,HOT DOG
Hot Dog Vienesa Ahumado SALCHICHERÍA ALEMANA P...,,250.0,g,7.2,plaza_vea,2024-12-06 13:32:59.429255,HOT DOG,250.0,g,7.2,HOT DOG
Hot Dog de Pollo BRAEDT Paquete 250g,,250.0,g,7.4,plaza_vea,2024-12-06 13:32:59.429255,HOT DOG,250.0,g,7.4,HOT DOG
Pan para Hot Dog BELL'S Bolsa 8un,,8.0,un,7.5,plaza_vea,2024-12-06 13:32:59.429255,HOT DOG,8.0,un,7.5,HOT DOG
Pan para Hot Dog BELL’S Bolsa 8un,BELL'S,8.0,un,7.7,vivanda,2024-12-06 11:27:36.079934,HOT DOG,8.0,un,7.7,HOT DOG
