description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Patitas Picantes Sin Pollo Marciano Vegano 200g,,200.0,g,7.7,wong,2024-12-06 13:26:57.886994,MILANESA,200.0,g,7.7,MILANESA
Deditos de Pollo Avinka 12un,,12.0,un,11.5,metro,2024-12-06 18:05:50.730676,MILANESA,12.0,un,11.5,MILANESA
Deditos de Pollo Avinka 12un,,12.0,un,11.5,wong,2024-12-06 13:26:57.886994,MILANESA,12.0,un,11.5,MILANESA
Chicken Pop Redondos Bolsa 300 g,,300.0,g,12.7,metro,2024-12-06 18:05:50.730676,MILANESA,300.0,g,12.7,MILANESA
Deditos de Pechuga de Pollo Redondos 15un,,15.0,un,13.0,wong,2024-12-06 13:26:57.886994,MILANESA,15.0,un,13.0,MILANESA
Pop Corn Chicken Avinka 350g,,350.0,g,13.99,metro,2024-12-06 18:05:50.730676,MILANESA,350.0,g,13.99,MILANESA
Pop Corn Chicken Avinka 350g,,350.0,g,13.99,wong,2024-12-06 13:26:57.886994,MILANESA,350.0,g,13.99,MILANESA
Dados de Pollo San Fernando 300g,,300.0,g,14.0,metro,2024-12-06 18:05:50.730676,MILANESA,300.0,g,14.0,MILANESA
Dados de Pollo San Fernando 300g,,300.0,g,14.0,wong,2024-12-06 13:26:57.886994,MILANESA,300.0,g,14.0,MILANESA
Tiras de Pechuga de Pollo Bolsa 300 g,,300.0,g,14.9,metro,2024-12-06 18:05:50.730676,MILANESA,300.0,g,14.9,MILANESA
Tiras de Pechuga de Pollo Bolsa 300 g,,300.0,g,14.9,wong,2024-12-06 13:26:57.886994,MILANESA,300.0,g,14.9,MILANESA
Chicken Bites Oregon Foods 300g,,300.0,g,15.2,metro,2024-12-06 18:05:50.730676,MILANESA,300.0,g,15.2,MILANESA
Milanesa de Pollo Cuisine & Co 400g,,400.0,g,15.7,metro,2024-12-06 18:05:50.730676,MILANESA,400.0,g,15.7,MILANESA
Milanesas Veggie DELLANATURA Bolsa 300g,DELLANATURA,300.0,g,16.4,vivanda,2024-12-06 11:29:12.607073,MILANESA,300.0,g,16.4,MILANESA
Milanesas Veggie Della Natura 4un,,4.0,un,16.9,wong,2024-12-06 13:26:57.886994,MILANESA,4.0,un,16.9,MILANESA
Milanesa de Pavo San Fernando Bolsa 4 Unid / 415 g,,4.0,un,17.8,metro,2024-12-06 18:05:50.730676,MILANESA,4.0,un,17.8,MILANESA
Milanesa de Pavo San Fernando Bolsa 4 Unid / 415 g,,4.0,un,17.8,wong,2024-12-06 13:26:57.886994,MILANESA,4.0,un,17.8,MILANESA
Milanesa de Pescado SEAFROST Caja 600g,,600.0,g,17.9,plaza_vea,2024-12-06 13:35:40.058568,MILANESA,600.0,g,17.9,MILANESA
Milanesa de Pescado Empanizado Seafrost 600g,,600.0,g,20.5,wong,2024-12-06 13:26:57.886994,MILANESA,600.0,g,20.5,MILANESA
Apanado de Pollo Oregon Foods 400g,,400.0,g,20.7,wong,2024-12-06 13:26:57.886994,MILANESA,400.0,g,20.7,MILANESA
Apanado de Pollo Oregon Foods 400g,,400.0,g,20.7,metro,2024-12-06 18:05:50.730676,MILANESA,400.0,g,20.7,MILANESA
Milanesas de Pollo LA CHARCUTERÍA Caja 400g,,400.0,g,22.9,plaza_vea,2024-12-06 13:35:40.058568,MILANESA,400.0,g,22.9,MILANESA
Milanesas de Pollo LA CHARCUTERÍA Caja 400g,LA CHARCUTERÍA,400.0,g,22.9,vivanda,2024-12-06 11:29:12.607073,MILANESA,400.0,g,22.9,MILANESA
Milanesa de Res Super RANCHERAS Bolsa x 3un,,3.0,un,24.99,plaza_vea,2024-12-06 13:35:40.058568,MILANESA,3.0,un,24.99,MILANESA
Chick'n Bites Artisan 350g,,350.0,g,25.49,wong,2024-12-06 13:26:57.886994,MILANESA,350.0,g,25.49,MILANESA
Milanesa de Pollo AVINKA Bolsa 4un,,600.0,g,25.7,plaza_vea,2024-12-06 13:35:40.058568,MILANESA,600.0,g,25.7,MILANESA
Milanesa de Pechuga de Pollo OREGON FOODS Bols...,,4.0,un,27.9,plaza_vea,2024-12-06 13:35:40.058568,MILANESA,4.0,un,27.9,MILANESA
Chicharrón de Pollo Cuisine & Co 450g,,450.0,g,29.5,metro,2024-12-06 18:05:50.730676,MILANESA,450.0,g,29.5,MILANESA
Chicharrón de Pollo Cuisine & Co 450g,,450.0,g,29.5,wong,2024-12-06 13:26:57.886994,MILANESA,450.0,g,29.5,MILANESA
Milanesa de Pollo x kg,,1.0,kg,29.99,wong,2024-12-06 13:26:57.886994,MILANESA,1.0,kg,29.99,MILANESA
Suprema de Pollo Redondos 1kg,,1.0,kg,30.9,wong,2024-12-06 13:26:57.886994,MILANESA,1.0,kg,30.9,MILANESA
Suprema de Pollo Redondos 1kg,,1.0,kg,30.9,metro,2024-12-06 18:05:50.730676,MILANESA,1.0,kg,30.9,MILANESA
Milanesa de Pollo Oregon Foods 4un,,4.0,un,31.9,wong,2024-12-06 13:26:57.886994,MILANESA,4.0,un,31.9,MILANESA
Milanesa de Pollo Oregon Foods 4un,,4.0,un,31.9,metro,2024-12-06 18:05:50.730676,MILANESA,4.0,un,31.9,MILANESA
Milanesa de Pollo Redondos 1kg,,1.0,kg,32.9,metro,2024-12-06 18:05:50.730676,MILANESA,1.0,kg,32.9,MILANESA
Milanesa de Res Nacional x kg,,1.0,kg,39.9,metro,2024-12-06 18:05:50.730676,MILANESA,1.0,kg,39.9,MILANESA
