description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack 90g,,90.0,g,2.0,metro,2024-12-06 17:40:15.313772,PANETÓN,90.0,g,2.0,PANETÓN
Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack 90g,,90.0,g,2.0,wong,2024-12-06 13:01:36.979330,PANETÓN,90.0,g,2.0,PANETÓN
Panetón con Chispas Bimbo Panetoncito Doypack 90g,,90.0,g,3.04,metro,2024-12-06 17:40:15.313772,PANETÓN,90.0,g,3.04,PANETÓN
Panetón BELL'S Chispas de Chocolate Bolsa 90g,,90.0,g,3.1,plaza_vea,2024-12-06 13:14:57.884194,PANETÓN,90.0,g,3.1,PANETÓN
Panetón D'onofrio Panetoncito Caja 90g,,90.0,g,3.6,metro,2024-12-06 17:40:15.313772,PANETÓN,90.0,g,3.6,PANETÓN
Panetón GLORIA Mini Bolsa 80g,Gloria,80.0,g,3.7,vega,2024-12-06 11:08:42.842843,PANETÓN,80.0,g,3.7,PANETÓN
Panetón con Trozos de Chocolate TODINNO Ciocco...,,80.0,g,4.6,plaza_vea,2024-12-06 13:14:57.884194,PANETÓN,80.0,g,4.6,PANETÓN
Panetón Tradicional Máxima Doypack 800g,,800.0,g,8.4,metro,2024-12-06 17:40:15.313772,PANETÓN,800.0,g,8.4,PANETÓN
Panetón Vegano Bona Stella Chocolate Caja 100g,,100.0,g,8.72,wong,2024-12-06 13:01:36.979330,PANETÓN,100.0,g,8.72,PANETÓN
Panetón Tradicional x 750 gr,PRECIO UNO,750.0,g,9.9,tottus,2024-12-06 12:42:39.986673,PANETÓN,750.0,g,9.9,PANETÓN
Panetón BELL'S Bolsa 800g,,800.0,g,10.2,plaza_vea,2024-12-06 13:14:57.884194,PANETÓN,800.0,g,10.2,PANETÓN
Panetón Tradicional Máxima Doypack 800g,,800.0,g,10.9,wong,2024-12-06 13:01:36.979330,PANETÓN,800.0,g,10.9,PANETÓN
Panetón con Gotas Sabor Chocolate Todinno Cioccolato 500g,,500.0,g,13.52,wong,2024-12-06 13:01:36.979330,PANETÓN,500.0,g,13.52,PANETÓN
Panetón Winter's Choco Chispas Doypack 500g,,500.0,g,13.52,metro,2024-12-06 17:40:15.313772,PANETÓN,500.0,g,13.52,PANETÓN
Panetón Winter's Sin Pasas Sin Frutas Doypack 500g,,500.0,g,13.52,wong,2024-12-06 13:01:36.979330,PANETÓN,500.0,g,13.52,PANETÓN
Panetón con Gotas Sabor Chocolate Todinno Cioccolato 500g,,500.0,g,13.52,metro,2024-12-06 17:40:15.313772,PANETÓN,500.0,g,13.52,PANETÓN
Panetón con Chispas Sabor Chocolate Cuisine & Co Caja 500g,,500.0,g,14.0,metro,2024-12-06 17:40:15.313772,PANETÓN,500.0,g,14.0,PANETÓN
Panetón Cuisine & Co Tradicional Doypack 800g,,800.0,g,14.32,metro,2024-12-06 17:40:15.313772,PANETÓN,800.0,g,14.32,PANETÓN
Panetón DONOFRIO Chariton Bolsa 750g,,750.0,g,14.9,plaza_vea,2024-12-06 13:14:57.884194,PANETÓN,750.0,g,14.9,PANETÓN
Panetón BELL'S Chispas de Chocolate 500g,,500.0,g,15.9,plaza_vea,2024-12-06 13:14:57.884194,PANETÓN,500.0,g,15.9,PANETÓN
Panetón WINTERS sin Agregados Bolsa 500g,,500.0,g,16.0,plaza_vea,2024-12-06 13:14:57.884194,PANETÓN,500.0,g,16.0,PANETÓN
Panetón Clásico Sayón Doypack 750g,,750.0,g,16.4,wong,2024-12-06 13:01:36.979330,PANETÓN,750.0,g,16.4,PANETÓN
Panetón Clásico Sayón Doypack 750g,,750.0,g,16.4,metro,2024-12-06 17:40:15.313772,PANETÓN,750.0,g,16.4,PANETÓN
Panetón Arcor 450g,,450.0,g,16.4,wong,2024-12-06 13:01:36.979330,PANETÓN,450.0,g,16.4,PANETÓN
Panetón D'Gussto Doypack 900g,,900.0,g,16.4,metro,2024-12-06 17:40:15.313772,PANETÓN,900.0,g,16.4,PANETÓN
Panetón Costa Doypack 800g,,800.0,g,16.72,metro,2024-12-06 17:40:15.313772,PANETÓN,800.0,g,16.72,PANETÓN
Panetón Costa Doypack 800g,,800.0,g,16.72,wong,2024-12-06 13:01:36.979330,PANETÓN,800.0,g,16.72,PANETÓN
Panetón Clásico LA FLORENCIA Bolsa 600g,,600.0,g,16.9,plaza_vea,2024-12-06 13:14:57.884194,PANETÓN,600.0,g,16.9,PANETÓN
