description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Alverja Verde Tesoro del Campo Bolsa 350 g,,350.0,g,2.9,metro,2024-12-06 19:01:26.002566,PAPA SECA,350.0,g,2.9,PAPA SECA
Arveja Partida Máxima 500g,,500.0,g,3.5,wong,2024-12-06 14:27:45.897485,PAPA SECA,500.0,g,3.5,PAPA SECA
Arveja Cuisine & Co 500g,,500.0,g,3.5,metro,2024-12-06 19:01:26.002566,PAPA SECA,500.0,g,3.5,PAPA SECA
Arveja Bolsa 500g,,500.0,g,3.7,metro,2024-12-06 19:01:26.002566,PAPA SECA,500.0,g,3.7,PAPA SECA
Arveja Partida Costeño 500g,,500.0,g,3.8,wong,2024-12-06 14:27:45.897485,PAPA SECA,500.0,g,3.8,PAPA SECA
Arveja Verde Tesoro Del Campo Bolsa 500 g,,500.0,g,3.8,metro,2024-12-06 19:01:26.002566,PAPA SECA,500.0,g,3.8,PAPA SECA
Arveja Partida Costeño 500g,,500.0,g,3.8,metro,2024-12-06 19:01:26.002566,PAPA SECA,500.0,g,3.8,PAPA SECA
Mezcla de nueces 40 g,GRANUTS,40.0,g,3.9,tottus,2024-12-06 13:47:47.468996,PAPA SECA,40.0,g,3.9,PAPA SECA
Mezcla de arándanos maní y almendras 50 g,GRANUTS,50.0,g,3.9,tottus,2024-12-06 13:47:47.468996,PAPA SECA,50.0,g,3.9,PAPA SECA
Papa seca VEGA Bolsa 400g,Vega,400.0,g,4.3,vega,2024-12-06 12:21:17.633822,PAPA SECA,400.0,g,4.3,PAPA SECA
Arveja Verde Valle Norte Bolsa 500 g,,500.0,g,4.7,metro,2024-12-06 19:01:26.002566,PAPA SECA,500.0,g,4.7,PAPA SECA
Papa Seca TIMONEL Bolsa 400gr,Timonel,400.0,g,5.1,vega,2024-12-06 12:21:17.633822,PAPA SECA,400.0,g,5.1,PAPA SECA
Papa Seca 400 g,TOTTUS,400.0,g,5.65,tottus,2024-12-06 13:47:47.468996,PAPA SECA,400.0,g,5.65,PAPA SECA
Papa Seca Máxima Bolsa 500 g,,500.0,g,5.7,metro,2024-12-06 19:01:26.002566,PAPA SECA,500.0,g,5.7,PAPA SECA
Habas saladas 150 g,VILLA NATURA,150.0,g,6.9,tottus,2024-12-06 13:47:47.468996,PAPA SECA,150.0,g,6.9,PAPA SECA
Papa Seca 500 g,TESORO DEL CAMPO,500.0,g,7.3,tottus,2024-12-06 13:47:47.468996,PAPA SECA,500.0,g,7.3,PAPA SECA
Papa Seca TESORO DEL CAMPO Bolsa 500g,,500.0,g,7.69,plaza_vea,2024-12-06 14:22:46.954189,PAPA SECA,500.0,g,7.69,PAPA SECA
Papa Seca Tesoro Del Campo Bolsa 500 g,,500.0,g,7.9,metro,2024-12-06 19:01:26.002566,PAPA SECA,500.0,g,7.9,PAPA SECA
Maní Engalletado Picante 200g,KARINTO,200.0,g,8.0,tottus,2024-12-06 13:47:47.468996,PAPA SECA,200.0,g,8.0,PAPA SECA
Papa Seca COSTEÑO Bolsa 500g,COSTENO,500.0,g,8.1,vivanda,2024-12-06 12:04:15.090730,PAPA SECA,500.0,g,8.1,PAPA SECA
Papa Seca Costeño 500g,,500.0,g,8.2,metro,2024-12-06 19:01:26.002566,PAPA SECA,500.0,g,8.2,PAPA SECA
Papa Seca Tesoro Del Campo Bolsa 500 g,,500.0,g,8.3,wong,2024-12-06 14:27:45.897485,PAPA SECA,500.0,g,8.3,PAPA SECA
Papa Seca Costeño 500g,,500.0,g,8.7,wong,2024-12-06 14:27:45.897485,PAPA SECA,500.0,g,8.7,PAPA SECA
Cashews Salados 80 g,TOTTUS,80.0,g,8.9,tottus,2024-12-06 13:47:47.468996,PAPA SECA,80.0,g,8.9,PAPA SECA
